tow; prn3; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
518401.376; 29; 1004177.67871; -552.6396484375; 3684.26431948543; 1503.36; 2180.9; 0; 0; -0; -0; 0; 3684.35; 2751.3; -0.0873392; -2180.99
518401.526; 29; 1004038.67578; -1105.306640625; 3684.44661687094; 4869.77; -1185.32; 0; 0; -0; -0; 0; 3684.33; 2751.28; 0.120296; 1185.44
518401.676; 29; 1003939.55957; -1657.947265625; 3684.27082990209; 3472.39; 211.876; 0; 0; -0; -0; 0; 3684.3; 2751.26; -0.0301329; -211.906
518401.826; 29; 1003888.42676; -2210.59765625; 3684.33593978754; 1791.36; 1892.97; 0; 0; -0; -0; 0; 3684.28; 2751.24; 0.0602563; -1892.91
518401.976; 29; 1003713.30664; -2763.216796875; 3684.12760645407; 6135.08; -2450.96; 0; 0; -0; -0; 0; 3684.25; 2751.23; -0.122713; 2450.83
518402.126; 29; 1003645.54297; -3315.8818359375; 3684.4335903186; 2374; 1310.43; 0; 0; -0; -0; 0; 3684.23; 2751.21; 0.208566; -1310.22
518402.276; 29; 1003491.9209; -3868.5068359375; 3684.1666689541; 5381.93; -1697.76; 0; 0; -0; -0; 0; 3684.2; 2751.19; -0.0329877; 1697.73
518402.426; 29; 1003482.5791; -4421.134765625; 3684.1861944855; 327.276; 3356.91; 0; 0; -0; -0; 0; 3684.17; 2751.17; 0.0119247; -3356.9
518402.576; 29; 1003326.10156; -4973.7685546875; 3684.22526270413; 5481.97; -1797.74; 0; 0; -0; -0; 0; 3684.15; 2751.15; 0.0762128; 1797.82
518402.726; 29; 1003192.93555; -5526.3837890625; 3684.10156478739; 4665.28; -981.179; 0; 0; -0; -0; 0; 3684.12; 2751.13; -0.0221454; 981.157
518402.876; 29; 1003100.3877; -6079.0029296875; 3684.12760073556; 3242.28; 441.846; 0; 0; -0; -0; 0; 3684.1; 2751.11; 0.0292771; -441.817
518403.026; 29; 1003012.03906; -6631.611328125; 3684.0559918707; 3095.17; 588.888; 0; 0; -0; -0; 0; 3684.07; 2751.09; -0.0170118; -588.905
518403.176; 29; 1002929.81055; -7184.2353515625; 3684.16015281886; 2880.76; 803.402; 0; 0; -0; -0; 0; 3684.05; 2751.07; 0.112492; -803.289
518403.326; 29; 1002782.0791; -7736.8505859375; 3684.10156478739; 5175.56; -1491.46; 0; 0; -0; -0; 0; 3684.02; 2751.06; 0.079227; 1491.54
518403.476; 29; 1002716.72656; -8289.443359375; 3683.95182520397; 2289.53; 1394.42; 0; 0; -0; -0; 0; 3684; 2751.04; -0.0451708; -1394.46
