tow; prn4; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
518401.376; 14; -172323.586914; 14.6806640625; -97.8710936588504; -1960.75; 1862.88; 0; 0; -0; -0; 0; -97.8845; -73.0956; 0.0134379; -1862.87
518401.526; 14; -172380.530273; 29.3740234375; -97.9557292274856; 1994.93; -2092.88; 0; 0; -0; -0; 0; -97.9834; -73.1695; 0.0277113; 2092.91
518401.676; 14; -172374.236328; 44.080078125; -98.0403644920261; -220.499; 122.459; 0; 0; -0; -0; 0; -98.0821; -73.2431; 0.041717; -122.417
518401.826; 14; -172333.625977; 58.7998046875; -98.1315104775947; -1422.73; 1324.59; 0; 0; -0; -0; 0; -98.1809; -73.3169; 0.0493771; -1324.54
518401.976; 14; -172319; 73.537109375; -98.2486979776675; -512.4; 414.151; 0; 0; -0; -0; 0; -98.2798; -73.3908; 0.0311512; -414.12
518402.126; 14; -172383.910156; 88.2880859375; -98.3398436584139; 2274.03; -2372.37; 0; 0; -0; -0; 0; -98.3785; -73.4645; 0.0387001; 2372.41
518402.276; 14; -172377.671875; 103.0546875; -98.4440104777888; -218.549; 120.105; 0; 0; -0; -0; 0; -98.4774; -73.5384; 0.0334358; -120.072
518402.426; 14; -172339.410156; 117.8310546875; -98.5091144915896; -1340.44; 1241.94; 0; 0; -0; -0; 0; -98.5762; -73.6121; 0.0670937; -1241.87
518402.576; 14; -172338.330078; 132.6259765625; -98.6328125612393; -37.839; -60.7938; 0; 0; -0; -0; 0; -98.6752; -73.686; 0.0423637; 60.8362
518402.726; 14; -172368.948242; 147.4384765625; -98.7500000613121; 1072.66; -1171.41; 0; 0; -0; -0; 0; -98.7739; -73.7597; 0.0238797; 1171.44
518402.876; 14; -172343.475586; 162.263671875; -98.8346353246197; -892.398; 793.563; 0; 0; -0; -0; 0; -98.8727; -73.8335; 0.0380429; -793.525
518403.026; 14; -172316.605469; 177.1005859375; -98.9127604780798; -941.356; 842.443; 0; 0; -0; -0; 0; -98.9717; -73.9074; 0.0589166; -842.384
518403.176; 14; -172316.686523; 191.9560546875; -99.0364582410984; 2.83964; -101.876; 0; 0; -0; -0; 0; -99.0703; -73.9811; 0.0338719; 101.91
518403.326; 14; -172317.701172; 206.8232421875; -99.1145833948718; 35.5468; -134.661; 0; 0; -0; -0; 0; -99.1693; -74.055; 0.0547415; 134.716
518403.476; 14; -172288.942383; 221.7119140625; -99.2578125616274; -1007.52; 908.265; 0; 0; -0; -0; 0; -99.2682; -74.1288; 0.010341; -908.255
518403.626; 14; -172252.257812; 236.609375; -99.3164061575044; -1285.19; 1185.88; 0; 0; -0; -0; 0; -99.367; -74.2026; 0.0505562; -1185.82
518403.776; 14; -172244.842773; 251.5234375; -99.4270833950658; -259.775; 160.348; 0; 0; -0; -0; 0; -99.4657; -74.2763; 0.0385918; -160.31
518403.926; 14; -172244.664062; 266.4501953125; -99.5117186573225; -6.26088; -93.2508; 0; 0; -0; -0; 0; -99.5646; -74.3502; 0.0528592; 93.3037
518404.076; 14; -172244.364258; 281.3935546875; -99.6223958951871; -10.5032; -89.1192; 0; 0; -0; -0; 0; -99.6633; -74.4239; 0.04094; 89.1601
518404.226; 14; -172246.381836; 296.349609375; -99.7070313119063; 70.683; -170.39; 0; 0; -0; -0; 0; -99.7623; -74.4978; 0.055225; 170.445
518404.376; 14; -172244.994141; 311.328125; -99.8567707403345; -48.6159; -51.2409; 0; 0; -0; -0; 0; -99.8609; -74.5715; 0.00415265; 51.245
518404.526; 14; -172247.070312; 326.314453125; -99.9088542286982; 72.7357; -172.645; 0; 0; -0; -0; 0; -99.9599; -74.6454; 0.0510373; 172.696
518404.676; 14; -172255.698242; 341.3193359375; -100.032551990171; 302.267; -402.3; 0; 0; -0; -0; 0; -100.059; -74.7192; 0.0261898; 402.326
518404.826; 14; -172266.164062; 356.3359375; -100.11067714549; 366.655; -466.766; 0; 0; -0; -0; 0; -100.158; -74.793; 0.046881; 466.813
518404.976; 14; -172283.742188; 371.365234375; -100.195312562209; 615.824; -716.02; 0; 0; -0; -0; 0; -100.256; -74.8667; 0.0609754; 716.081
