tm; rg; carr
331326.6353;0.620674; 140773.679
332349.6353;0.620940; 142445.671
333372.6353;0.621208; 144117.431
334395.6353;0.621468; 145788.830
335418.6353;0.621737; 147459.616
336441.6353;0.622000; 149130.221
337464.6353;0.622264; 150800.384
338487.6353;0.622531; 152470.296
339510.6353;0.622792; 154139.512
340533.6353;0.623058; 155808.610
341556.6353;0.623324; 157476.928
342579.6353;0.623586; 159145.235
343602.6353;0.623850; 160812.859
344625.6353;0.624113; 162480.004
345648.6353;0.624382; 164147.060
346671.6353;0.624639; 165813.695
347694.6353;0.624903; 167479.981
348717.6353;0.625177; 169146.317
349740.6353;0.625435; 170812.069
350763.6353;0.625695; 172477.596
351786.6353;0.625961; 174142.848
352809.6353;0.626227; 175807.532
353832.6353;0.626484; 177471.797
354855.6353;0.626754; 179135.729
355878.6353;0.627021; 180799.160
356901.6353;0.627281; 182462.328
357924.6353;0.627544; 184125.137
358947.6353;0.627807; 185787.454
359970.6353;0.628071; 187449.544
360993.6353;0.628335; 189111.325
362016.6353;0.628598; 190772.729
363039.6353;0.628861; 192433.940
364062.6353;0.629122; 194094.402
365085.6353;0.629385; 195754.527
366108.6353;0.629650; 197414.303
367131.6353;0.629912; 199073.242
368154.6353;0.630175; 200731.674
369177.6353;0.630435; 202389.803
370200.6353;0.630699; 204047.643
371223.6353;0.630963; 205704.908
372246.6353;0.631227; 207362.380
373269.6353;0.631494; 209019.776
374292.6353;0.631757; 210676.666
375315.6353;0.632019; 212333.021
376338.6353;0.632285; 213988.630
377361.6353;0.632546; 215643.688
378384.6353;0.632814; 217298.359
379407.6353;0.633073; 218952.932
380430.6353;0.633336; 220607.386
381453.6353;0.633595; 222261.488
382476.6353;0.633860; 223915.061
383499.6353;0.634118; 225568.447
384522.6353;0.634385; 227221.539
385545.6353;0.634646; 228874.412
386568.6353;0.634908; 230526.657
387591.6353;0.635168; 232178.787
388614.6353;0.635431; 233830.188
389637.6353;0.635693; 235481.565
390660.6353;0.635955; 237132.109
391683.6353;0.636219; 238783.022
392706.6353;0.636484; 240433.087
393729.6353;0.636744; 242083.092
394752.6353;0.637007; 243732.493
395775.6353;0.637268; 245381.814
396798.6353;0.637528; 247030.540
397821.6353;0.637793; 248678.862
398844.6353;0.638051; 250326.760
399867.6353;0.638318; 251974.546
400890.6353;0.638579; 253621.925
401913.6353;0.638838; 255268.818
402936.6353;0.639098; 256915.468
403959.6353;0.639361; 258561.331
404982.6353;0.639624; 260207.048
406005.6353;0.639889; 261852.441
407028.6353;0.640140; 263497.398
408051.6353;0.640401; 265142.057
409074.6353;0.640662; 266786.230
410097.6353;0.640922; 268430.250
411120.6353;0.641183; 270073.812
412143.6353;0.641450; 271716.740
413166.6353;0.641710; 273359.566
414189.6353;0.641969; 275001.859
415212.6353;0.642233; 276643.668
416235.6353;0.642493; 278285.058
417258.6353;0.642752; 279926.334
418281.6353;0.643006; 281567.302
419304.6353;0.643268; 283207.561
420327.6353;0.643528; 284847.528
421350.6353;0.643790; 286487.293
422373.6353;0.644047; 288126.678
423396.6353;0.644313; 289765.562
424419.6353;0.644572; 291404.034
425442.6353;0.644832; 293042.328
426465.6353;0.645097; 294680.384
427488.6353;0.645354; 296318.068
428511.6353;0.645618; 297955.066
429534.6353;0.645872; 299591.456
430557.6353;0.646133; 301227.515
431580.6353;0.646391; 302864.008
432603.6353;0.646653; 304500.365
433626.6353;0.646910; 306136.086
434649.6353;0.647168; 307771.231
435672.6353;0.647430; 309406.025
436695.6353;0.647686; 311040.495
437718.6353;0.647948; 312673.842
438741.6353;0.648209; 314307.076
439764.6353;0.648474; 315940.076
440787.6353;0.648733; 317572.646
441810.6353;0.648993; 319205.062
442833.6353;0.649249; 320836.533
443856.6353;0.649510; 322467.795
444879.6353;0.649766; 324098.955
445902.6353;0.650025; 325730.105
446925.6353;0.650283; 327360.610
447948.6353;0.650541; 328990.782
448971.6353;0.650798; 330620.260
449994.6353;0.651060; 332249.240
451017.6353;0.651316; 333877.749
452040.6353;0.651577; 335505.832
453063.6353;0.651832; 337133.833
454086.6353;0.652093; 338761.620
455109.6353;0.652351; 340388.781
456132.6353;0.652612; 342015.851
457155.6353;0.652865; 343642.372
458178.6353;0.653121; 345268.465
459201.6353;0.653382; 346893.794
460224.6353;0.653638; 348518.427
461247.6353;0.653894; 350143.196
462270.6353;0.654147; 351768.087
463293.6353;0.654407; 353392.244
464316.6353;0.654665; 355015.639
465339.6353;0.654928; 356639.774
466362.6353;0.655182; 358263.925
467385.6353;0.655442; 359887.589
468408.6353;0.655703; 361510.632
469431.6353;0.655956; 363133.186
470454.6353;0.656212; 364755.062
471477.6353;0.656470; 366375.996
472500.6353;0.656724; 367996.571
473523.6353;0.656984; 369616.868
474546.6353;0.657242; 371237.091
475569.6353;0.657500; 372856.875
476592.6353;0.657756; 374476.872
477615.6353;0.658010; 376096.061
478638.6353;0.658270; 377715.107
479661.6353;0.658526; 379334.120
480684.6353;0.658779; 380952.460
481707.6353;0.659036; 382570.386
482730.6353;0.659297; 384188.100
483753.6353;0.659553; 385805.604
484776.6353;0.659808; 387422.046
485799.6353;0.660066; 389038.396
486822.6353;0.660324; 390654.866
487845.6353;0.660579; 392270.351
488868.6353;0.660833; 393885.528
489891.6353;0.661089; 395500.103
490914.6353;0.661348; 397114.217
491937.6353;0.661601; 398728.087
492960.6353;0.661858; 400341.517
493983.6353;0.662115; 401954.574
495006.6353;0.662373; 403567.481
496029.6353;0.662631; 405179.321
497052.6353;0.662886; 406791.276
498075.6353;0.663140; 408403.324
499098.6353;0.663394; 410014.017
500121.6353;0.663649; 411625.038
501144.6353;0.663907; 413235.443
502167.6353;0.664164; 414845.325
503190.6353;0.664420; 416455.479
504213.6353;0.664675; 418065.694
505236.6353;0.664930; 419675.565
506259.6353;0.665184; 421284.732
507282.6353;0.665446; 422893.015
508305.6353;0.665701; 424500.825
509328.6353;0.665958; 426108.931
510351.6353;0.666211; 427716.660
511374.6353;0.666462; 429323.617
512397.6353;0.666720; 430930.046
513420.6353;0.666975; 432535.364
514443.6353;0.667235; 434140.449
515466.6353;0.667483; 435745.527
516489.6353;0.667739; 437350.455
517512.6353;0.667989; 438955.012
518535.6353;0.668247; 440558.763
519558.6353;0.668497; 442161.928
520581.6353;0.668748; 443765.115
521604.6353;0.669002; 445368.116
522627.6353;0.669256; 446970.325
523650.6353;0.669517; 448572.566
524673.6353;0.669772; 450174.564
525696.6353;0.670024; 451776.117
526719.6353;0.670278; 453377.178
527742.6353;0.670529; 454977.878
528765.6353;0.670785; 456578.014
529788.6353;0.671043; 458177.641
530811.6353;0.671294; 459776.849
531834.6353;0.671550; 461375.526
532857.6353;0.671803; 462973.735
533880.6353;0.672056; 464571.534
534903.6353;0.672302; 466169.206
535926.6353;0.672562; 467766.338
536949.6353;0.672810; 469362.723
537972.6353;0.673067; 470959.342
538995.6353;0.673320; 472555.542
540018.6353;0.673571; 474150.829
541041.6353;0.673823; 475745.527
542064.6353;0.674078; 477340.313
543087.6353;0.674331; 478934.608
544110.6353;0.674578; 480528.510
545133.6353;0.674838; 482122.276
546156.6353;0.675087; 483716.215
547179.6353;0.675346; 485309.461
548202.6353;0.675595; 486901.901
549225.6353;0.675849; 488494.305
550248.6353;0.676099; 490086.826
551271.6353;0.676349; 491678.706
552294.6353;0.676606; 493270.050
553317.6353;0.676858; 494861.266
