tow; prn9; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
150285.679; 3; 10462.1054688; 163047.869140625; -1196.55859375; -1202.01; 5.44866; 0; 0; -0; -0; 0; -1117.57; -834.549; -78.9885; -84.4372; -2.6559e+07; 0
150286.679; 3; 10690.3164062; 164245.224609375; -1197.35546875; -1199.26; 1.9011; 0; 0; -0; -0; 0; -1118.02; -834.888; -79.331; -81.2321; -2.65587e+07; 0
150287.679; 3; 10915.4365234; 165443.11328125; -1197.888671875; -1183.01; -14.8745; 0; 0; -0; -0; 0; -1118.48; -835.228; -79.4098; -64.5354; -2.65585e+07; 0
150288.679; 3; 11144.0107422; 166640.9609375; -1197.84765625; -1201.17; 3.31797; 0; 0; -0; -0; 0; -1118.93; -835.567; -78.9145; -82.2325; -2.65583e+07; 0
150289.679; 3; 11370.4042969; 167839.111328125; -1198.150390625; -1189.71; -8.44423; 0; 0; -0; -0; 0; -1119.39; -835.906; -78.7629; -70.3186; -2.65581e+07; 0
150290.679; 3; 11598.7744141; 169037.4013671875; -1198.2900390625; -1200.09; 1.80303; 0; 0; -0; -0; 0; -1119.84; -836.245; -78.4483; -80.2513; -2.65579e+07; 0
150291.679; 3; 11826.0458984; 170236.443359375; -1199.0419921875; -1194.32; -4.72228; 0; 0; -0; -0; 0; -1120.3; -836.585; -78.7459; -74.0236; -2.65577e+07; 0
150292.679; 3; 12055.5507812; 171436.4443359375; -1200.0009765625; -1206.06; 6.05532; 0; 0; -0; -0; 0; -1120.75; -836.924; -79.2506; -85.3059; -2.65575e+07; 0
150293.679; 3; 12283.3759766; 172636.8359375; -1200.3916015625; -1197.23; -3.16212; 0; 0; -0; -0; 0; -1121.2; -837.263; -79.187; -76.0249; -2.65573e+07; 0
150294.679; 3; 12511.9824219; 173837.6455078125; -1200.8095703125; -1201.33; 0.525408; 0; 0; -0; -0; 0; -1121.66; -837.602; -79.1507; -79.6761; -2.65571e+07; 0
150295.679; 3; 12743.1074219; 175039.23828125; -1201.5927734375; -1214.57; 12.9773; 0; 0; -0; -0; 0; -1122.11; -837.942; -79.4797; -92.457; -2.65568e+07; 0
150296.679; 3; 12971.8037109; 176240.943359375; -1201.705078125; -1201.81; 0.102032; 0; 0; -0; -0; 0; -1122.57; -838.281; -79.1377; -79.2398; -2.65566e+07; 0
150297.679; 3; 13198.5234375; 177443.076171875; -1202.1328125; -1191.42; -10.7126; 0; 0; -0; -0; 0; -1123.02; -838.62; -79.1113; -68.3987; -2.65564e+07; 0
150298.679; 3; 13427.5087891; 178646.45703125; -1203.380859375; -1203.33; -0.0547151; 0; 0; -0; -0; 0; -1123.48; -838.959; -79.9051; -79.8504; -2.65562e+07; 0
150299.679; 3; 13655.6650391; 179849.6513671875; -1203.1943359375; -1198.97; -4.22515; 0; 0; -0; -0; 0; -1123.93; -839.298; -79.2644; -75.0393; -2.6556e+07; 0
150300.679; 3; 13883.7773438; 181052.3525390625; -1202.701171875; -1198.74; -3.96292; 0; 0; -0; -0; 0; -1124.38; -839.637; -78.3171; -74.3542; -2.65558e+07; 0
150301.679; 3; 14111.6123047; 182255.609375; -1203.2568359375; -1197.28; -5.97604; 0; 0; -0; -0; 0; -1124.84; -839.977; -78.4186; -72.4426; -2.65556e+07; 0
150302.679; 3; 14343.3144531; 183459.6103515625; -1204.0009765625; -1217.6; 13.602; 0; 0; -0; -0; 0; -1125.29; -840.316; -78.7086; -92.3106; -2.65553e+07; 0
150303.679; 3; 14570.4609375; 184664.203125; -1204.5927734375; -1193.66; -10.9299; 0; 0; -0; -0; 0; -1125.75; -840.655; -78.8463; -67.9164; -2.65551e+07; 0
150304.679; 3; 14802.0537109; 185868.9931640625; -1204.7900390625; -1217.03; 12.2382; 0; 0; -0; -0; 0; -1126.2; -840.994; -78.5895; -90.8277; -2.65549e+07; 0
150305.679; 3; 15031.3007812; 187074.6572265625; -1205.6640625; -1204.7; -0.962577; 0; 0; -0; -0; 0; -1126.65; -841.333; -79.0094; -78.0468; -2.65547e+07; 0
150306.679; 3; 15260.4208984; 188280.68359375; -1206.0263671875; -1204.03; -1.99202; 0; 0; -0; -0; 0; -1127.11; -841.672; -78.9176; -76.9256; -2.65545e+07; 0
150307.679; 3; 15492.3027344; 189487.365234375; -1206.681640625; -1218.55; 11.8656; 0; 0; -0; -0; 0; -1127.56; -842.011; -79.1188; -90.9844; -2.65543e+07; 0
