tow; prn11; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
150146.679; 9; 2008495.1582; -2980.880859375; 2980.880859375; 2966.27; 14.6135; 0; 0; -0; -0; 0; 3059.43; 2284.64; -78.5499; -93.1634; -2.45936e+07; 0
150147.679; 9; 2007924.83398; -5961.87109375; 2980.990234375; 2997.07; -16.0838; 0; 0; -0; -0; 0; 3059.13; 2284.42; -78.1404; -62.0567; -2.45942e+07; 0
150148.679; 9; 2007359.93652; -8942.400390625; 2980.529296875; 2968.56; 11.9731; 0; 0; -0; -0; 0; 3058.83; 2284.19; -78.3012; -90.2744; -2.45948e+07; 0
150149.679; 9; 2006791.59766; -11922.1083984375; 2979.7080078125; 2986.64; -6.9329; 0; 0; -0; -0; 0; 3058.53; 2283.97; -78.8223; -71.8894; -2.45953e+07; 0
150150.679; 9; 2006221.83789; -14901.2158203125; 2979.107421875; 2994.11; -15.0004; 0; 0; -0; -0; 0; 3058.23; 2283.74; -79.1226; -64.1222; -2.45959e+07; 0
150151.679; 9; 2005655.08984; -17879.9296875; 2978.7138671875; 2978.28; 0.432779; 0; 0; -0; -0; 0; 3057.93; 2283.52; -79.2159; -79.6487; -2.45964e+07; 0
150152.679; 9; 2005086.9375; -20858.54296875; 2978.61328125; 2985.66; -7.04744; 0; 0; -0; -0; 0; 3057.63; 2283.29; -79.0161; -71.9687; -2.4597e+07; 0
150153.679; 9; 2004522.75; -23837.1826171875; 2978.6396484375; 2964.83; 13.8143; 0; 0; -0; -0; 0; 3057.33; 2283.07; -78.6893; -92.5036; -2.45975e+07; 0
150154.679; 9; 2003956.2959; -26815.322265625; 2978.1396484375; 2976.74; 1.40325; 0; 0; -0; -0; 0; 3057.03; 2282.85; -78.8888; -80.2921; -2.45981e+07; 0
150155.679; 9; 2003390.90527; -29793.28515625; 2977.962890625; 2971.15; 6.8151; 0; 0; -0; -0; 0; 3056.73; 2282.62; -78.7651; -85.5802; -2.45987e+07; 0
150156.679; 9; 2002825.58594; -32771.2099609375; 2977.9248046875; 2970.77; 7.15164; 0; 0; -0; -0; 0; 3056.43; 2282.4; -78.5026; -85.6543; -2.45992e+07; 0
150157.679; 9; 2002259.37988; -35748.8583984375; 2977.6484375; 2975.43; 2.21554; 0; 0; -0; -0; 0; 3056.13; 2282.17; -78.4783; -80.6939; -2.45998e+07; 0
150158.679; 9; 2001691.04004; -38726.435546875; 2977.5771484375; 2986.65; -9.06889; 0; 0; -0; -0; 0; 3055.83; 2281.95; -78.249; -69.1801; -2.46003e+07; 0
150159.679; 9; 2001124.75391; -41703.3857421875; 2976.9501953125; 2975.85; 1.09648; 0; 0; -0; -0; 0; 3055.53; 2281.72; -78.5752; -79.6717; -2.46009e+07; 0
150160.679; 9; 2000558.52637; -44680.1025390625; 2976.716796875; 2975.55; 1.171; 0; 0; -0; -0; 0; 3055.22; 2281.5; -78.5078; -79.6788; -2.46014e+07; 0
150161.679; 9; 1999992.19336; -47656.80859375; 2976.7060546875; 2976.1; 0.606012; 0; 0; -0; -0; 0; 3054.92; 2281.27; -78.2177; -78.8237; -2.4602e+07; 0
150162.679; 9; 1999425.41113; -50633.123046875; 2976.314453125; 2978.46; -2.14625; 0; 0; -0; -0; 0; 3054.62; 2281.05; -78.3084; -76.1622; -2.46026e+07; 0
150163.679; 9; 1998861.83496; -53609.162109375; 2976.0390625; 2961.61; 14.4263; 0; 0; -0; -0; 0; 3054.32; 2280.82; -78.2829; -92.7092; -2.46031e+07; 0
150164.679; 9; 1998293.18164; -56584.3603515625; 2975.1982421875; 2988.29; -13.0951; 0; 0; -0; -0; 0; 3054.02; 2280.6; -78.8228; -65.7277; -2.46037e+07; 0
