tow; prn10; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518425.654; 25; 1055727.03418; 106221.33203125; -106221.33203125; -5.54788e+06; 5.44166e+06; 0; 0; -0; -0; 0; 2154.67; 1609.01; -108376; -5.55004e+06; -2.54069e+07; 0
518426.654; 25; 1055342.05664; 104203.5185546875; 2017.8134765625; 2023.07; -5.25715; 0; 0; -0; -0; 0; 2154.34; 1608.76; -136.528; -131.271; -2.54073e+07; 0
518427.654; 25; 1054958.2832; 102186.423828125; 2017.0947265625; 2016.74; 0.351701; 0; 0; -0; -0; 0; 2154.01; 1608.51; -136.915; -137.267; -2.54077e+07; 0
518428.654; 25; 1054572.51953; 100170.15625; 2016.267578125; 2027.2; -10.9342; 0; 0; -0; -0; 0; 2153.68; 1608.27; -137.411; -126.477; -2.54081e+07; 0
518429.654; 25; 1054188.77637; 98152.9775390625; 2017.1787109375; 2016.58; 0.594773; 0; 0; -0; -0; 0; 2153.35; 1608.02; -136.168; -136.763; -2.54085e+07; 0
518430.654; 25; 1053805.77441; 96136.2470703125; 2016.73046875; 2012.69; 4.04162; 0; 0; -0; -0; 0; 2153.02; 1607.77; -136.285; -140.327; -2.54089e+07; 0
518431.654; 25; 1053422.49121; 94120.51953125; 2015.7275390625; 2014.17; 1.56071; 0; 0; -0; -0; 0; 2152.68; 1607.52; -136.956; -138.517; -2.54092e+07; 0
518432.654; 25; 1053039.38477; 92105.1123046875; 2015.4072265625; 2013.24; 2.16927; 0; 0; -0; -0; 0; 2152.35; 1607.28; -136.945; -139.114; -2.54096e+07; 0
518433.654; 25; 1052655.29492; 90090.0283203125; 2015.083984375; 2018.41; -3.32177; 0; 0; -0; -0; 0; 2152.02; 1607.03; -136.937; -133.615; -2.541e+07; 0
518434.654; 25; 1052272.02441; 88075.7890625; 2014.2392578125; 2014.1; 0.139145; 0; 0; -0; -0; 0; 2151.69; 1606.78; -137.45; -137.589; -2.54104e+07; 0
518435.654; 25; 1051887.64453; 86060.6201171875; 2015.1689453125; 2019.93; -4.76097; 0; 0; -0; -0; 0; 2151.36; 1606.53; -136.188; -131.428; -2.54108e+07; 0
518436.654; 25; 1051504.05469; 84045.533203125; 2015.0869140625; 2015.78; -0.69132; 0; 0; -0; -0; 0; 2151.03; 1606.29; -135.939; -135.248; -2.54112e+07; 0
518437.654; 25; 1051121.6084; 82031.7548828125; 2013.7783203125; 2009.77; 4.00951; 0; 0; -0; -0; 0; 2150.69; 1606.04; -136.916; -140.925; -2.54116e+07; 0
