tow; prn21; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
519721.654; 23; 131932.307617; -5299.71484375; 5299.71484375; -693309; 698609; 0; 0; -0; -0; 0; 3148.55; 2351.19; 2151.16; -696458; 0; 0
519722.654; 23; 132191.554688; -7235.087890625; 1935.373046875; -1362.35; 3297.73; 0; 0; -0; -0; 0; 3148.58; 2351.21; -1213.21; -4510.94; 0; 0
519723.654; 23; 132323.78418; -9182.392578125; 1947.3046875; -694.871; 2642.18; 0; 0; -0; -0; 0; 3148.62; 2351.24; -1201.31; -3843.49; 0; 0
519805.654; 23; -3988.95996094; 37786.353515625; -46968.74609375; 716328; -763297; 0; 0; -0; -0; 0; 3150.97; 2352.99; -50119.7; 713177; 0; 0
519806.654; 23; -3802.83105469; 29889.5419921875; 7896.8115234375; -978.114; 8874.93; 0; 0; -0; -0; 0; 3150.99; 2353.01; 4745.82; -4129.11; 0; 0
519807.654; 23; -3574.60742188; 21993.7197265625; 7895.822265625; -1199.32; 9095.15; 0; 0; -0; -0; 0; 3151.02; 2353.03; 4744.81; -4350.34; 0; 0
519808.654; 23; -3374.11328125; 14097.6552734375; 7896.064453125; -1053.6; 8949.67; 0; 0; -0; -0; 0; 3151.04; 2353.05; 4745.02; -4204.65; 0; 0
519809.654; 23; -3146.82128906; 6202.2158203125; 7895.439453125; -1194.43; 9089.87; 0; 0; -0; -0; 0; 3151.07; 2353.07; 4744.37; -4345.49; 0; 0
519810.654; 23; -2943.37890625; -1692.740234375; 7894.9560546875; -1069.1; 8964.05; 0; 0; -0; -0; 0; 3151.09; 2353.09; 4743.87; -4220.19; 0; 0
519811.654; 23; -2731.1953125; -9587.4140625; 7894.673828125; -1115.03; 9009.71; 0; 0; -0; -0; 0; 3151.12; 2353.11; 4743.56; -4266.15; 0; 0
519812.654; 23; -2523.875; -17481.7294921875; 7894.3154296875; -1089.48; 8983.79; 0; 0; -0; -0; 0; 3151.14; 2353.12; 4743.18; -4240.62; 0; 0
519813.654; 23; -2307.43164062; -25376.0224609375; 7894.29296875; -1137.42; 9031.71; 0; 0; -0; -0; 0; 3151.16; 2353.14; 4743.13; -4288.58; 0; 0
519814.654; 23; -2089.07324219; -33269.462890625; 7893.4404296875; -1147.48; 9040.92; 0; 0; -0; -0; 0; 3151.19; 2353.16; 4742.25; -4298.67; 0; 0
519815.654; 23; -1882.49023438; -41163.4951171875; 7894.0322265625; -1085.6; 8979.63; 0; 0; -0; -0; 0; 3151.21; 2353.18; 4742.82; -4236.81; 0; 0
519816.654; 23; -1678.63183594; -49056.6748046875; 7893.1796875; -1071.28; 8964.46; 0; 0; -0; -0; 0; 3151.24; 2353.2; 4741.94; -4222.52; 0; 0
