tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518420.654; 12; -116917.600586; 465.03125; -465.03125; -473.143; 8.11182; 0; 0; -0; -0; 0; -328.121; -245.025; -136.91; -145.022; -2.65435e+07; 0
518421.654; 12; -116828.710938; 930.5439453125; -465.5126953125; -467.118; 1.60556; 0; 0; -0; -0; 0; -328.569; -245.36; -136.944; -138.55; -2.65434e+07; 0
518422.654; 12; -116741.469727; 1396.1943359375; -465.650390625; -458.456; -7.19473; 0; 0; -0; -0; 0; -329.016; -245.694; -136.634; -129.44; -2.65433e+07; 0
518423.654; 12; -116652.90625; 1862.3564453125; -466.162109375; -465.404; -0.757899; 0; 0; -0; -0; 0; -329.464; -246.028; -136.698; -135.941; -2.65432e+07; 0
518424.654; 12; -116564.246094; 2328.9541015625; -466.59765625; -465.912; -0.685391; 0; 0; -0; -0; 0; -329.911; -246.362; -136.686; -136.001; -2.65432e+07; 0
518425.654; 12; -116475.015625; 2796.0791015625; -467.125; -468.909; 1.78428; 0; 0; -0; -0; 0; -330.359; -246.696; -136.766; -138.55; -2.65431e+07; 0
518426.654; 12; -116385.24707; 3263.345703125; -467.2666015625; -471.737; 4.47034; 0; 0; -0; -0; 0; -330.806; -247.031; -136.46; -140.931; -2.6543e+07; 0
518427.654; 12; -116296.040039; 3731.451171875; -468.10546875; -468.786; 0.680645; 0; 0; -0; -0; 0; -331.254; -247.365; -136.852; -137.532; -2.6543e+07; 0
518428.654; 12; -116206.845703; 4200.490234375; -469.0390625; -468.719; -0.319664; 0; 0; -0; -0; 0; -331.701; -247.699; -137.338; -137.018; -2.65429e+07; 0
518429.654; 12; -116116.856445; 4668.7314453125; -468.2412109375; -472.897; 4.65553; 0; 0; -0; -0; 0; -332.149; -248.033; -136.092; -140.748; -2.65428e+07; 0
518430.654; 12; -116028.141602; 5137.5439453125; -468.8125; -466.2; -2.61285; 0; 0; -0; -0; 0; -332.596; -248.367; -136.216; -133.603; -2.65427e+07; 0
518431.654; 12; -115939.871094; 5607.4951171875; -469.951171875; -463.865; -6.08652; 0; 0; -0; -0; 0; -333.044; -248.701; -136.907; -130.821; -2.65427e+07; 0
518432.654; 12; -115850.162109; 6077.859375; -470.3642578125; -471.424; 1.05964; 0; 0; -0; -0; 0; -333.491; -249.036; -136.873; -137.933; -2.65426e+07; 0
518433.654; 12; -115761.009766; 6548.671875; -470.8125; -468.499; -2.31377; 0; 0; -0; -0; 0; -333.939; -249.37; -136.874; -134.56; -2.65425e+07; 0
518434.654; 12; -115670.961914; 7020.4365234375; -471.7646484375; -473.205; 1.44001; 0; 0; -0; -0; 0; -334.386; -249.704; -137.379; -138.819; -2.65425e+07; 0
518435.654; 12; -115581.603516; 7491.40234375; -470.9658203125; -469.582; -1.38427; 0; 0; -0; -0; 0; -334.834; -250.038; -136.132; -134.748; -2.65424e+07; 0
518436.654; 12; -115492.032227; 7962.5537109375; -471.1513671875; -470.7; -0.451066; 0; 0; -0; -0; 0; -335.281; -250.372; -135.87; -135.419; -2.65423e+07; 0
518437.654; 12; -115401.430664; 8435.1357421875; -472.58203125; -476.114; 3.53239; 0; 0; -0; -0; 0; -335.728; -250.706; -136.854; -140.386; -2.65422e+07; 0
518438.654; 12; -115311.412109; 8908.5; -473.3642578125; -473.051; -0.31356; 0; 0; -0; -0; 0; -336.176; -251.04; -137.189; -136.875; -2.65422e+07; 0
518439.654; 12; -115220.81543; 9382.3583984375; -473.8583984375; -476.089; 2.23037; 0; 0; -0; -0; 0; -336.623; -251.374; -137.235; -139.466; -2.65421e+07; 0
518440.654; 12; -115130.769531; 9857.0263671875; -474.66796875; -473.194; -1.47358; 0; 0; -0; -0; 0; -337.07; -251.708; -137.597; -136.124; -2.6542e+07; 0
518441.654; 12; -115039.401367; 10332.833984375; -475.8076171875; -480.143; 4.33533; 0; 0; -0; -0; 0; -337.518; -252.043; -138.29; -142.625; -2.6542e+07; 0
518442.654; 12; -114949.549805; 10809.5068359375; -476.6728515625; -472.173; -4.4997; 0; 0; -0; -0; 0; -337.965; -252.377; -138.708; -134.208; -2.65419e+07; 0
518443.654; 12; -114857.845703; 11286.0595703125; -476.552734375; -481.908; 5.35557; 0; 0; -0; -0; 0; -338.413; -252.711; -138.14; -143.496; -2.65418e+07; 0
518444.654; 12; -114768.337891; 11763.25390625; -477.1943359375; -470.367; -6.82761; 0; 0; -0; -0; 0; -338.86; -253.045; -138.334; -131.507; -2.65417e+07; 0
518445.654; 12; -114677.005859; 12240.392578125; -477.138671875; -479.953; 2.81439; 0; 0; -0; -0; 0; -339.307; -253.379; -137.831; -140.646; -2.65417e+07; 0
518446.654; 12; -114586.209961; 12717.9296875; -477.537109375; -477.136; -0.401443; 0; 0; -0; -0; 0; -339.755; -253.713; -137.782; -137.381; -2.65416e+07; 0
518447.654; 12; -114495.776367; 13195.9775390625; -478.0478515625; -475.232; -2.81611; 0; 0; -0; -0; 0; -340.202; -254.047; -137.846; -135.03; -2.65415e+07; 0
518448.654; 12; -114404.544922; 13674.056640625; -478.0791015625; -479.424; 1.34538; 0; 0; -0; -0; 0; -340.649; -254.381; -137.43; -138.775; -2.65414e+07; 0
518449.654; 12; -114314.107422; 14153.7373046875; -479.6806640625; -475.252; -4.42839; 0; 0; -0; -0; 0; -341.097; -254.715; -138.584; -134.156; -2.65414e+07; 0
518450.654; 12; -114221.836914; 14635.5654296875; -481.828125; -484.885; 3.05667; 0; 0; -0; -0; 0; -341.544; -255.049; -140.284; -143.341; -2.65413e+07; 0
518451.654; 12; -114130.689453; 15117.404296875; -481.8388671875; -478.983; -2.85573; 0; 0; -0; -0; 0; -341.991; -255.383; -139.848; -136.992; -2.65412e+07; 0
518452.654; 12; -114038.089844; 15599.7607421875; -482.3564453125; -486.614; 4.25779; 0; 0; -0; -0; 0; -342.438; -255.717; -139.918; -144.176; -2.65411e+07; 0
518453.654; 12; -113947.126953; 16081.9716796875; -482.2109375; -478.013; -4.19772; 0; 0; -0; -0; 0; -342.886; -256.051; -139.325; -135.128; -2.65411e+07; 0
518454.654; 12; -113855.256836; 16564.587890625; -482.6162109375; -482.781; 0.164513; 0; 0; -0; -0; 0; -343.333; -256.385; -139.283; -139.448; -2.6541e+07; 0
518455.654; 12; -113762.900391; 17048.6484375; -484.060546875; -485.336; 1.27585; 0; 0; -0; -0; 0; -343.78; -256.719; -140.28; -141.556; -2.65409e+07; 0
518456.654; 12; -113670.130859; 17532.7138671875; -484.0654296875; -487.507; 3.44175; 0; 0; -0; -0; 0; -344.227; -257.053; -139.838; -143.28; -2.65409e+07; 0
518457.654; 12; -113578.462891; 18017.1572265625; -484.443359375; -481.718; -2.72493; 0; 0; -0; -0; 0; -344.675; -257.387; -139.769; -137.044; -2.65408e+07; 0
518458.654; 12; -113486.05957; 18501.8330078125; -484.67578125; -485.583; 0.906944; 0; 0; -0; -0; 0; -345.122; -257.721; -139.554; -140.461; -2.65407e+07; 0
518459.654; 12; -113393.838867; 18986.6552734375; -484.822265625; -484.623; -0.1992; 0; 0; -0; -0; 0; -345.569; -258.055; -139.253; -139.054; -2.65406e+07; 0
518460.654; 12; -113301.453125; 19471.705078125; -485.0498046875; -485.49; 0.440547; 0; 0; -0; -0; 0; -346.016; -258.389; -139.034; -139.474; -2.65406e+07; 0
518461.654; 12; -113208.310547; 19957.3564453125; -485.6513671875; -489.468; 3.81618; 0; 0; -0; -0; 0; -346.463; -258.723; -139.188; -143.004; -2.65405e+07; 0
518462.654; 12; -113116.148438; 20443.2392578125; -485.8828125; -484.315; -1.56766; 0; 0; -0; -0; 0; -346.911; -259.057; -138.972; -137.405; -2.65404e+07; 0
518463.654; 12; -113023.432617; 20929.9609375; -486.7216796875; -487.225; 0.503245; 0; 0; -0; -0; 0; -347.358; -259.391; -139.364; -139.867; -2.65403e+07; 0
518464.654; 12; -112930.542969; 21417.220703125; -487.259765625; -488.138; 0.878632; 0; 0; -0; -0; 0; -347.805; -259.724; -139.455; -140.334; -2.65403e+07; 0
518465.654; 12; -112838.509766; 21906.8720703125; -489.6513671875; -483.638; -6.01362; 0; 0; -0; -0; 0; -348.252; -260.058; -141.399; -135.386; -2.65402e+07; 0
518466.654; 12; -112743.444336; 22396.41015625; -489.5380859375; -499.572; 10.0341; 0; 0; -0; -0; 0; -348.699; -260.392; -140.839; -150.873; -2.65401e+07; 0
