tow; prn13; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518479.654; 6; 2300993.61328; 10903.439453125; -10903.439453125; -1.20918e+07; 1.20809e+07; 0; 0; -0; -0; 0; -7.67921; -5.73448; -10895.8; -1.20918e+07; 0.787606; 0.00824815
518480.654; 6; 2301021.88379; 11052.4423828125; -149.0029296875; -148.563; -0.440408; 0; 0; -0; -0; 0; -8.36211; -6.24443; -140.641; -140.2; 0.588485; 0.0555438
518481.654; 6; 2301051.24414; 11201.990234375; -149.5478515625; -154.29; 4.74184; 0; 0; -0; -0; 0; -9.04493; -6.75433; -140.503; -145.245; 1.04509; -0.119144
518482.654; 6; 2301080.78613; 11351.6044921875; -149.6142578125; -155.244; 5.62996; 0; 0; -0; -0; 0; -9.7278; -7.26426; -139.886; -145.516; 1.67551; -0.230488
518483.654; 6; 2301108.15527; 11501.84765625; -150.2431640625; -143.826; -6.41736; 0; 0; -0; -0; 0; -10.4107; -7.77425; -139.832; -133.415; 0.421298; -0.12178
518484.654; 6; 2301135.72656; 11653.271484375; -151.423828125; -144.888; -6.53573; 0; 0; -0; -0; 0; -11.0936; -8.28419; -140.33; -133.794; -0.289528; 0.284764
518485.654; 6; 2301166.29004; 11806.005859375; -152.734375; -160.612; 7.87778; 0; 0; -0; -0; 0; -11.7765; -8.79411; -140.958; -148.836; 0.998841; 0.0734005
518486.654; 6; 2301196.50293; 11958.767578125; -152.76171875; -158.77; 6.00809; 0; 0; -0; -0; 0; -12.4594; -9.30408; -140.302; -146.31; 1.7714; -0.0910568
518487.654; 6; 2301223.49219; 12112.685546875; -153.91796875; -141.83; -12.0885; 0; 0; -0; -0; 0; -13.1423; -9.81406; -140.776; -128.687; -0.177514; 0.218497
518488.654; 6; 2301255.18945; 12267.7490234375; -155.0634765625; -166.57; 11.5068; 0; 0; -0; -0; 0; -13.8252; -10.324; -141.238; -152.745; 1.52629; -0.150149
518489.654; 6; 2301284.18359; 12424.8525390625; -157.103515625; -152.365; -4.73828; 0; 0; -0; -0; 0; -14.5081; -10.834; -142.595; -137.857; 0.895745; 0.166761
518490.654; 6; 2301313.95898; 12582.0595703125; -157.20703125; -156.471; -0.736297; 0; 0; -0; -0; 0; -15.1911; -11.344; -142.016; -141.28; 0.615959; 0.0261232
518491.654; 6; 2301344.90332; 12739.9736328125; -157.9140625; -162.614; 4.69952; 0; 0; -0; -0; 0; -15.874; -11.854; -142.04; -146.74; 1.29757; -0.10633
518492.654; 6; 2301375.7373; 12898.6572265625; -158.68359375; -162.034; 3.35009; 0; 0; -0; -0; 0; -16.5569; -12.3639; -142.127; -145.477; 1.86276; -0.0886409
518493.654; 6; 2301404.97168; 13057.3515625; -158.6943359375; -153.628; -5.06666; 0; 0; -0; -0; 0; -17.2399; -12.8739; -141.454; -136.388; 0.889977; -0.0558194
518494.654; 6; 2301436.40723; 13216.1552734375; -158.8037109375; -165.195; 6.3912; 0; 0; -0; -0; 0; -17.9228; -13.3839; -140.881; -147.272; 2.04416; -0.0260575
