tow; prn16; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518725.654; 20; 5129845.7207; -129132.18359375; 129132.18359375; -2.69575e+07; 2.70867e+07; 0; 0; -0; -0; 0; 130.922; 97.7667; 129001; -2.69577e+07; 0; 0
518726.654; 20; 5129847.87402; -129116.2900390625; -15.8935546875; -11.3158; -4.57778; 0; 0; -0; -0; 0; 130.319; 97.3163; -146.213; -141.635; 0; 0
518727.654; 20; 5129847.97461; -129100.1123046875; -16.177734375; -0.528583; -15.6492; 0; 0; -0; -0; 0; 129.716; 96.8658; -145.894; -130.245; 0; 0
518728.654; 20; 5129855.36621; -129083.8154296875; -16.296875; -38.8431; 22.5463; 0; 0; -0; -0; 0; 129.113; 96.4153; -145.41; -167.956; 0; 0
518729.654; 20; 5129855.04395; -129067.6689453125; -16.146484375; 1.69352; -17.84; 0; 0; -0; -0; 0; 128.509; 95.9648; -144.656; -126.816; 0; 0
518730.654; 20; 5129859.93066; -129051.033203125; -16.6357421875; -25.6799; 9.04414; 0; 0; -0; -0; 0; 127.906; 95.5144; -144.542; -153.586; 0; 0
518731.654; 20; 5129863.19824; -129032.90625; -18.126953125; -17.1712; -0.955714; 0; 0; -0; -0; 0; 127.303; 95.0639; -145.43; -144.474; 0; 0
518732.654; 20; 5129867.39453; -129014.4482421875; -18.4580078125; -22.0516; 3.59364; 0; 0; -0; -0; 0; 126.7; 94.6133; -145.158; -148.751; 0; 0
518733.654; 20; 5129871.40039; -128995.6640625; -18.7841796875; -21.0509; 2.26675; 0; 0; -0; -0; 0; 126.096; 94.1628; -144.881; -147.147; 0; 0
518734.654; 20; 5129870.37793; -128975.994140625; -19.669921875; 5.37307; -25.043; 0; 0; -0; -0; 0; 125.493; 93.7123; -145.163; -120.12; 0; 0
