tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518542.654; 24; 1290378.62305; 298054.125; -2730.6650390625; -2732.19; 1.52746; 0; 0; -0; -0; 0; -2589.88; -1934; -140.788; -142.315; 0.915541; -0.0322218
518543.654; 24; 1290898.37402; 300785.32421875; -2731.19921875; -2731.31; 0.110598; 0; 0; -0; -0; 0; -2590.32; -1934.33; -140.877; -140.988; 0.943444; -0.0190427
518544.654; 24; 1291418.55371; 303517.0029296875; -2731.6787109375; -2733.56; 1.884; 0; 0; -0; -0; 0; -2590.77; -1934.66; -140.912; -142.796; 1.22267; -0.0992622
518545.654; 24; 1291938.25781; 306249.0390625; -2732.0361328125; -2731.06; -0.972646; 0; 0; -0; -0; 0; -2591.21; -1935; -140.825; -139.853; 1.26865; 0.127642
518546.654; 24; 1292457.9375; 308981.2177734375; -2732.1787109375; -2730.94; -1.24352; 0; 0; -0; -0; 0; -2591.66; -1935.33; -140.524; -139.28; 0.885567; -0.0278779
518547.654; 24; 1292978.21777; 311714.0859375; -2732.8681640625; -2734.09; 1.22313; 0; 0; -0; -0; 0; -2592.1; -1935.66; -140.769; -141.992; 1.10856; -0.0266222
518548.654; 24; 1293498.64355; 314448.14453125; -2734.05859375; -2734.86; 0.797345; 0; 0; -0; -0; 0; -2592.54; -1935.99; -141.515; -142.312; 1.17878; -0.0999973
518549.654; 24; 1294017.80273; 317182.6357421875; -2734.4912109375; -2728.2; -6.29131; 0; 0; -0; -0; 0; -2592.99; -1936.32; -141.504; -135.212; 0.34465; 0.25143
518550.654; 24; 1294539.88379; 319917.5888671875; -2734.953125; -2743.55; 8.60133; 0; 0; -0; -0; 0; -2593.43; -1936.65; -141.521; -150.123; 1.56858; -0.156101
518551.654; 24; 1295059.76367; 322652.7041015625; -2735.115234375; -2731.99; -3.12801; 0; 0; -0; -0; 0; -2593.88; -1936.99; -141.24; -138.112; 1.02448; -0.103359
518552.654; 24; 1295579.82129; 325388.5029296875; -2735.798828125; -2732.92; -2.8776; 0; 0; -0; -0; 0; -2594.32; -1937.32; -141.479; -138.602; 0.550732; -0.0345251
518553.654; 24; 1296101.32129; 328124.3349609375; -2735.83203125; -2740.5; 4.66897; 0; 0; -0; -0; 0; -2594.76; -1937.65; -141.068; -145.737; 1.69897; 0.216828
518554.654; 24; 1296621.1748; 330861.34765625; -2737.0126953125; -2731.85; -5.16403; 0; 0; -0; -0; 0; -2595.21; -1937.98; -141.805; -136.641; 0.686882; 0.176878
518555.654; 24; 1297143.36035; 333599.025390625; -2737.677734375; -2744.1; 6.42584; 0; 0; -0; -0; 0; -2595.65; -1938.31; -142.027; -148.452; 1.52184; -0.196247
518556.654; 24; 1297662.75781; 336337.1328125; -2738.107421875; -2729.45; -8.65534; 0; 0; -0; -0; 0; -2596.09; -1938.64; -142.013; -133.357; 0.00927206; -0.0721391
518557.654; 24; 1298184.33789; 339075.693359375; -2738.560546875; -2740.92; 2.36126; 0; 0; -0; -0; 0; -2596.54; -1938.97; -142.022; -144.383; 0.627857; 0.0881683
518558.654; 24; 1298706.63184; 341814.953125; -2739.259765625; -2744.67; 5.41344; 0; 0; -0; -0; 0; -2596.98; -1939.3; -142.278; -147.691; 1.469; -0.100744
518559.654; 24; 1299227.38184; 344553.94140625; -2738.98828125; -2736.56; -2.42856; 0; 0; -0; -0; 0; -2597.43; -1939.64; -141.563; -139.134; 0.894124; -0.203661
518560.654; 24; 1299749.10156; 347293.966796875; -2740.025390625; -2741.66; 1.63028; 0; 0; -0; -0; 0; -2597.87; -1939.97; -142.156; -143.787; 1.55555; 0.145946
518561.654; 24; 1300270.34863; 350033.8232421875; -2739.8564453125; -2739.17; -0.684603; 0; 0; -0; -0; 0; -2598.31; -1940.3; -141.544; -140.859; 1.38729; 0.112517
518562.654; 24; 1300791.85059; 352774.5400390625; -2740.716796875; -2740.51; -0.205536; 0; 0; -0; -0; 0; -2598.76; -1940.63; -141.961; -141.756; 1.29685; 0.0592585
