tow; prn9; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518479.654; 29; 3519259.29785; 81827.39453125; -81827.39453125; -1.84938e+07; 1.8412e+07; 0; 0; -0; -0; 0; 3670.93; 2741.28; -85498.3; -1.84975e+07; -3.73101; -0.039041
518480.654; 29; 3518589.03906; 78297.529296875; 3529.865234375; 3522.23; 7.63152; 0; 0; -0; -0; 0; 3670.75; 2741.15; -140.889; -148.521; -1.6537; 0.0352003
518481.654; 29; 3517919.01855; 74767.703125; 3529.826171875; 3520.98; 8.84464; 0; 0; -0; -0; 0; 3670.58; 2741.02; -140.754; -149.598; -0.269974; -0.132426
518482.654; 29; 3517248.2959; 71237.4560546875; 3530.2470703125; 3524.67; 5.57572; 0; 0; -0; -0; 0; 3670.41; 2740.89; -140.159; -145.734; 0.466898; -0.237254
518483.654; 29; 3516575.17383; 67707.2919921875; 3530.1640625; 3537.28; -7.11629; 0; 0; -0; -0; 0; 3670.23; 2740.76; -140.067; -132.951; -0.849548; -0.129603
518484.654; 29; 3515903.29785; 64177.8203125; 3529.4716796875; 3530.73; -1.26041; 0; 0; -0; -0; 0; 3670.06; 2740.63; -140.585; -139.325; -0.576073; 0.278651
518485.654; 29; 3515233.29492; 60649.138671875; 3528.681640625; 3520.89; 7.79248; 0; 0; -0; -0; 0; 3669.88; 2740.5; -141.201; -148.993; 0.645412; 0.0666269
518486.654; 29; 3514558.68262; 57119.9931640625; 3529.1455078125; 3545.11; -15.9661; 0; 0; -0; -0; 0; 3669.71; 2740.37; -140.562; -124.596; -2.40271; -0.0951235
518487.654; 29; 3513888.12891; 53591.4833984375; 3528.509765625; 3523.78; 4.72623; 0; 0; -0; -0; 0; 3669.53; 2740.24; -141.023; -145.749; -1.10714; 0.214168
518488.654; 29; 3513218.00781; 50063.61328125; 3527.8701171875; 3521.51; 6.36; 0; 0; -0; -0; 0; 3669.36; 2740.11; -141.488; -147.848; -0.293205; -0.154183
518489.654; 29; 3512545.37012; 46537.2783203125; 3526.3349609375; 3534.73; -8.39999; 0; 0; -0; -0; 0; 3669.18; 2739.97; -142.848; -134.448; -1.48579; 0.163487
518490.654; 29; 3511876.39941; 43010.53515625; 3526.7431640625; 3515.46; 11.2784; 0; 0; -0; -0; 0; 3669.01; 2739.84; -142.265; -153.543; 0.504224; 0.02272
518491.654; 29; 3511203.82422; 39483.98828125; 3526.546875; 3534.41; -7.85963; 0; 0; -0; -0; 0; 3668.83; 2739.71; -142.286; -134.427; -1.10019; -0.110164
518492.654; 29; 3510532.96777; 35957.701171875; 3526.287109375; 3525.37; 0.912695; 0; 0; -0; -0; 0; 3668.66; 2739.58; -142.371; -143.284; -0.896932; -0.0931691
518493.654; 29; 3509862.23633; 32430.935546875; 3526.765625; 3524.72; 2.04809; 0; 0; -0; -0; 0; 3668.48; 2739.45; -141.718; -143.766; -0.471235; -0.0578396
518494.654; 29; 3509189.50781; 28903.74609375; 3527.189453125; 3535.21; -8.02276; 0; 0; -0; -0; 0; 3668.31; 2739.32; -141.119; -133.096; -1.88753; -0.0301515
