tow; prn19; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
519907.654; 19; -85071.3232422; -127808.4140625; 127808.4140625; 447053; -319244; 0; 0; -0; -0; 0; 131.755; 98.3888; 127677; 446921; 0; 0
519908.654; 19; -84836.4208984; -127661.9951171875; -146.4189453125; -1234.42; 1088; 0; 0; -0; -0; 0; 132.141; 98.677; -278.56; -1366.56; 0; 0
519909.654; 19; -84628.3564453; -127513.201171875; -148.7939453125; -1093.39; 944.592; 0; 0; -0; -0; 0; 132.527; 98.9652; -281.321; -1225.91; 0; 0
520387.654; 26; 141816.09375; 11272.19921875; -11272.19921875; -745249; 733976; 0; 0; -0; -0; 0; -1612.45; -1204.1; -9659.75; -743636; 0; 0
