tow; prn9; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
575600.956; 61; -1027984.99707; -1014.3203125; 1014.3203125; 1017.52; -3.19619; 0; 0; -0; -0; 0; 1104.21; 824.575; -89.8938; -86.6976; -3.06159e+07; 0
575601.956; 61; -1028178.31055; -2028.0703125; 1013.75; 1015.87; -2.11918; 0; 0; -0; -0; 0; 1103.82; 824.28; -90.068; -87.9488; -3.06161e+07; 0
575602.956; 61; -1028370.85645; -3041.255859375; 1013.185546875; 1011.84; 1.35002; 0; 0; -0; -0; 0; 1103.42; 823.984; -90.2363; -91.5863; -3.06163e+07; 0
575603.956; 61; -1028562.53027; -4054.5; 1013.244140625; 1007.25; 5.99138; 0; 0; -0; -0; 0; 1103.03; 823.688; -89.7815; -95.7728; -3.06165e+07; 0
575604.956; 61; -1028756.36719; -5067.3798828125; 1012.8798828125; 1018.62; -5.73998; 0; 0; -0; -0; 0; 1102.63; 823.392; -89.7494; -84.0095; -3.06167e+07; 0
575605.956; 61; -1028948.59863; -6079.544921875; 1012.1650390625; 1010.18; 1.98198; 0; 0; -0; -0; 0; 1102.23; 823.096; -90.068; -92.05; -3.06169e+07; 0
575606.956; 61; -1029141.14453; -7091.6982421875; 1012.1533203125; 1011.84; 0.317795; 0; 0; -0; -0; 0; 1101.84; 822.8; -89.6834; -90.0012; -3.0617e+07; 0
575607.956; 61; -1029333.34082; -8103.2353515625; 1011.537109375; 1010; 1.53879; 0; 0; -0; -0; 0; 1101.44; 822.504; -89.9032; -91.442; -3.06172e+07; 0
575608.956; 61; -1029527.28223; -9114.453125; 1011.2177734375; 1019.17; -7.9512; 0; 0; -0; -0; 0; 1101.04; 822.208; -89.8261; -81.8749; -3.06174e+07; 0
575609.956; 61; -1029719.16504; -10124.9755859375; 1010.5224609375; 1008.35; 2.17148; 0; 0; -0; -0; 0; 1100.65; 821.912; -90.125; -92.2965; -3.06176e+07; 0
575610.956; 61; -1029911.0127; -11134.8603515625; 1009.884765625; 1008.17; 1.71853; 0; 0; -0; -0; 0; 1100.25; 821.616; -90.3662; -92.0847; -3.06178e+07; 0
575611.956; 61; -1030103.52344; -12144.6142578125; 1009.75390625; 1011.65; -1.89687; 0; 0; -0; -0; 0; 1099.85; 821.32; -90.1005; -88.2036; -3.0618e+07; 0
575612.956; 61; -1030295.47656; -13154.1953125; 1009.5810546875; 1008.72; 0.860575; 0; 0; -0; -0; 0; 1099.46; 821.024; -89.8767; -90.7373; -3.06182e+07; 0
575613.956; 61; -1030486.55566; -14163.318359375; 1009.123046875; 1004.13; 4.99559; 0; 0; -0; -0; 0; 1099.06; 820.727; -89.9381; -94.9337; -3.06184e+07; 0
575614.956; 61; -1030678.99707; -15171.8505859375; 1008.5322265625; 1011.29; -2.75419; 0; 0; -0; -0; 0; 1098.66; 820.431; -90.1322; -87.3781; -3.06186e+07; 0
575615.956; 61; -1030870.14648; -16179.9052734375; 1008.0546875; 1004.5; 3.55774; 0; 0; -0; -0; 0; 1098.27; 820.135; -90.2131; -93.7708; -3.06188e+07; 0
575616.956; 61; -1031061.99414; -17187.57421875; 1007.6689453125; 1008.17; -0.497293; 0; 0; -0; -0; 0; 1097.87; 819.839; -90.2021; -89.7048; -3.0619e+07; 0
575617.956; 61; -1031253.24902; -18194.8173828125; 1007.2431640625; 1005.05; 2.19197; 0; 0; -0; -0; 0; 1097.47; 819.542; -90.2311; -92.4231; -3.06192e+07; 0
575618.956; 61; -1031443.77051; -19202.2509765625; 1007.43359375; 1001.2; 6.23644; 0; 0; -0; -0; 0; 1097.08; 819.246; -89.6438; -95.8803; -3.06193e+07; 0
575619.956; 61; -1031635.72266; -20209.47265625; 1007.2216796875; 1008.72; -1.49367; 0; 0; -0; -0; 0; 1096.68; 818.95; -89.4588; -87.9652; -3.06195e+07; 0
575620.956; 61; -1031826.03516; -21215.7392578125; 1006.2666015625; 1000.1; 6.16766; 0; 0; -0; -0; 0; 1096.28; 818.653; -90.017; -96.1847; -3.06197e+07; 0
575621.956; 61; -1032017.11426; -22221.470703125; 1005.7314453125; 1004.13; 1.60399; 0; 0; -0; -0; 0; 1095.89; 818.357; -90.1552; -91.7592; -3.06199e+07; 0
575622.956; 61; -1032208.61328; -23227.1552734375; 1005.6845703125; 1006.33; -0.64959; 0; 0; -0; -0; 0; 1095.49; 818.06; -89.8051; -89.1555; -3.06201e+07; 0
575623.956; 61; -1032397.63379; -24232.0849609375; 1004.9296875; 993.309; 11.6202; 0; 0; -0; -0; 0; 1095.09; 817.764; -90.1629; -101.783; -3.06203e+07; 0
575624.956; 61; -1032590.11035; -25236.69921875; 1004.6142578125; 1011.47; -6.8569; 0; 0; -0; -0; 0; 1094.7; 817.467; -90.0813; -83.2244; -3.06205e+07; 0
575625.956; 61; -1032779.89844; -26241.115234375; 1004.416015625; 997.343; 7.07289; 0; 0; -0; -0; 0; 1094.3; 817.171; -89.8824; -96.9553; -3.06207e+07; 0
575626.956; 61; -1032971.11816; -27245.2138671875; 1004.0986328125; 1004.87; -0.767813; 0; 0; -0; -0; 0; 1093.9; 816.874; -89.8026; -89.0348; -3.06209e+07; 0
575627.956; 61; -1033161.81348; -28248.8359375; 1003.6220703125; 1002.11; 1.51144; 0; 0; -0; -0; 0; 1093.5; 816.578; -89.882; -91.3934; -3.06211e+07; 0
575628.956; 61; -1033352.75391; -29251.978515625; 1003.142578125; 1003.4; -0.256152; 0; 0; -0; -0; 0; 1093.11; 816.281; -89.9642; -89.7081; -3.06213e+07; 0
575629.956; 61; -1033543.72949; -30254.59765625; 1002.619140625; 1003.58; -0.964337; 0; 0; -0; -0; 0; 1092.71; 815.984; -90.0904; -89.1261; -3.06214e+07; 0
575630.956; 61; -1033734.21582; -31256.921875; 1002.32421875; 1001.01; 1.31181; 0; 0; -0; -0; 0; 1092.31; 815.688; -89.988; -91.2998; -3.06216e+07; 0
575631.956; 61; -1033925.99414; -32258.91796875; 1001.99609375; 1007.8; -5.80578; 0; 0; -0; -0; 0; 1091.91; 815.391; -89.9188; -84.113; -3.06218e+07; 0
575632.956; 61; -1034115.99219; -33260.03515625; 1001.1171875; 998.446; 2.67071; 0; 0; -0; -0; 0; 1091.52; 815.094; -90.4002; -93.071; -3.0622e+07; 0
575633.956; 61; -1034307.45605; -34260.5888671875; 1000.5537109375; 1006.15; -5.5957; 0; 0; -0; -0; 0; 1091.12; 814.797; -90.5663; -84.9706; -3.06222e+07; 0
575634.956; 61; -1034497.10449; -35260.984375; 1000.3955078125; 996.609; 3.78624; 0; 0; -0; -0; 0; 1090.72; 814.501; -90.327; -94.1133; -3.06224e+07; 0
575635.956; 61; -1034687.69629; -36261.080078125; 1000.095703125; 1001.57; -1.47095; 0; 0; -0; -0; 0; 1090.32; 814.204; -90.2293; -88.7583; -3.06226e+07; 0
575636.956; 61; -1034877.37988; -37260.744140625; 999.6640625; 996.794; 2.87005; 0; 0; -0; -0; 0; 1089.93; 813.907; -90.2633; -93.1334; -3.06228e+07; 0
575637.956; 61; -1035068.7041; -38259.9609375; 999.216796875; 1005.42; -6.19876; 0; 0; -0; -0; 0; 1089.53; 813.61; -90.313; -84.1142; -3.0623e+07; 0
575638.956; 61; -1035258.98145; -39258.8818359375; 998.9208984375; 999.914; -0.993292; 0; 0; -0; -0; 0; 1089.13; 813.313; -90.2112; -89.2179; -3.06232e+07; 0
575639.956; 61; -1035448.17676; -40257.3779296875; 998.49609375; 994.228; 4.26802; 0; 0; -0; -0; 0; 1088.73; 813.016; -90.2384; -94.5064; -3.06234e+07; 0
575640.956; 61; -1035638.97754; -41255.5107421875; 998.1328125; 1002.66; -4.53206; 0; 0; -0; -0; 0; 1088.34; 812.719; -90.2039; -85.6719; -3.06235e+07; 0
575641.956; 61; -1035828.10254; -42253.142578125; 997.6318359375; 993.859; 3.77325; 0; 0; -0; -0; 0; 1087.94; 812.422; -90.3072; -94.0804; -3.06237e+07; 0
575642.956; 61; -1036017.92578; -43250.81640625; 997.673828125; 997.528; 0.145958; 0; 0; -0; -0; 0; 1087.54; 812.125; -89.8673; -90.0133; -3.06239e+07; 0
575643.956; 61; -1036209.18066; -44248.1259765625; 997.3095703125; 1005.05; -7.74162; 0; 0; -0; -0; 0; 1087.14; 811.828; -89.8337; -82.0921; -3.06241e+07; 0
575644.956; 61; -1036397.85254; -45244.923828125; 996.7978515625; 991.477; 5.32046; 0; 0; -0; -0; 0; 1086.75; 811.531; -89.9475; -95.268; -3.06243e+07; 0
