time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
604702.931973; 0.404678; 0.2056; 2.20901; 2.96945; -0.443926
604703.931973; 0.528022; 0.227023; 2.20891; 4.63605; -0.276463
604704.931973; 0.225173; 0.181506; 2.20881; -6.96033; 0.582189
604705.931973; 0.190861; 0.186851; 2.20871; -3.63692; 0.383002
604706.931972; 0.261649; 0.126292; 2.20861; 4.44923; -0.144939
604707.931972; 0.366012; 0.150701; 2.20851; 2.89488; 0.13366
604708.931972; 0.37685; 0.168184; 2.20841; -1.79978; 0.274302
604709.931972; 0.420178; 0.19118; 2.20831; -1.08532; -0.0522586
604710.931972; 0.466913; 0.204565; 2.20822; 4.88729; -0.555432
604711.931971; 0.261737; 0.122545; 2.20812; -4.60372; 0.637897
604712.931971; 0.403665; 0.182562; 2.20802; 3.50489; 0.07433
604713.931971; 0.280172; 0.121098; 2.20792; -3.17947; 0.380554
604714.931971; 0.224356; 0.110041; 2.20782; 2.94391; -0.224981
604715.93197; 0.243983; 0.103559; 2.20772; -3.60937; -0.173667
604716.93197; 0.291851; 0.122795; 2.20762; 3.75569; -0.584921
604717.93197; 0.259455; 0.111928; 2.20752; -1.74999; 0.224672
604718.93197; 0.276455; 0.108727; 2.20742; -2.74443; 0.0817187
604719.93197; 0.283966; 0.12441; 2.20732; -4.37823; 0.508746
604720.931969; 0.261175; 0.146641; 2.20722; 4.7646; -0.474943
604721.931969; 0.370826; 0.149956; 2.20712; 4.04831; -0.591835
604722.931969; 0.406435; 0.183473; 2.20702; -2.50086; 0.531988
604723.931969; 0.413588; 0.174879; 2.20692; 2.48317; -0.336552
604724.931968; 0.41662; 0.182207; 2.20682; -1.15833; -0.18126
604725.931968; 0.385711; 0.169109; 2.20672; 1.72487; -0.335854
604726.931968; 0.267376; 0.142416; 2.20662; -5.56826; 0.294912
604727.931968; 0.273728; 0.131562; 2.20652; 1.95997; 0.100596
604728.931967; 0.199983; 0.113831; 2.20643; -3.74821; 0.486118
604729.931967; 0.172114; 0.0959588; 2.20633; -2.38156; 0.0339366
604730.931967; 0.17082; 0.100893; 2.20623; 2.00029; -0.0677537
604731.931967; 0.166668; 0.0995324; 2.20613; -1.62016; 0.354021
604732.931967; 0.160599; 0.103517; 2.20603; 1.63234; 0.134179
604733.931966; 0.180937; 0.128192; 2.20593; 3.05125; -0.504286
604734.931966; 0.203444; 0.123499; 2.20583; 1.90355; 0.066216
604735.931966; 0.224001; 0.133098; 2.20573; -2.93072; -0.169679
604736.931966; 0.192272; 0.110832; 2.20563; -2.11184; 0.292678
604737.931965; 0.166346; 0.102952; 2.20553; -2.03263; 0.132573
604738.931965; 0.225393; 0.0905497; 2.20543; 3.17641; -0.490657
604739.931965; 0.208243; 0.104359; 2.20533; 3.69641; -0.140135
604740.931965; 0.20051; 0.0980626; 2.20523; -3.50035; 0.545257
604741.931965; 0.169398; 0.0913254; 2.20513; -2.50621; 0.311248
604742.931964; 0.154596; 0.0686137; 2.20503; -4.21178; 0.637965
604743.931964; 0.172677; 0.0711011; 2.20493; 1.85098; -0.224458
604744.931964; 0.16617; 0.075207; 2.20483; -2.06699; -0.0557925
604745.931964; 0.16055; 0.0738479; 2.20473; 1.93955; -0.0474932
604746.931963; 0.162678; 0.0744245; 2.20463; -2.12206; 0.216759
604747.931963; 0.237349; 0.101005; 2.20453; 3.5456; -0.409502
604748.931963; 0.230762; 0.0863505; 2.20443; 2.97482; -0.261321
604749.931963; 0.248841; 0.0839415; 2.20433; 2.22792; -0.387399
604750.931962; 0.242568; 0.0827435; 2.20423; 1.47802; -0.156847
604751.931962; 0.198964; 0.0561704; 2.20413; 2.32537; 0.230646
604752.931962; 0.193306; 0.046072; 2.20403; 2.80488; -0.25038
604753.931962; 0.199538; 0.0588556; 2.20393; -2.19414; -0.142096
604754.931962; 0.222365; 0.0631175; 2.20383; -1.30214; 0.0616115
604755.931961; 0.22268; 0.0745901; 2.20373; -3.32794; 0.423842
604756.931961; 0.259762; 0.0891399; 2.20363; -2.23231; 0.0808166
604757.931961; 0.227741; 0.081846; 2.20353; 2.84129; 0.201873
604758.931961; 0.256471; 0.105604; 2.20343; -2.99343; 0.233035
604759.93196; 0.291628; 0.115054; 2.20333; -2.41684; 0.175277
604760.93196; 0.347539; 0.148507; 2.20323; 2.80576; 0.0819241
604761.93196; 0.361; 0.160459; 2.20313; -1.57539; -0.281656
604762.93196; 0.399741; 0.172365; 2.20303; 3.11502; -0.464426
604763.93196; 0.427825; 0.194859; 2.20294; 2.98788; 0.239698
604764.931959; 0.404429; 0.181907; 2.20284; 2.00707; -0.270128
604765.931959; 0.461796; 0.223107; 2.20273; 2.5799; 0.0918132
604766.931959; 0.438668; 0.191339; 2.20264; 4.66402; 0.0711598
604767.931959; 0.430682; 0.191146; 2.20254; -2.50672; 0.0826375
604768.931958; 0.401141; 0.169319; 2.20244; -2.03617; -0.0947428
604769.931958; 0.422386; 0.175813; 2.20234; 2.64443; -0.197243
604770.931958; 0.372771; 0.137562; 2.20224; -3.78836; 0.130159
604771.931958; 0.356154; 0.120209; 2.20214; 3.59548; -0.344843
604772.931957; 0.322523; 0.10813; 2.20204; -2.55863; 0.39244
604773.931957; 0.318758; 0.105792; 2.20194; 1.20283; -0.0212495
604774.931957; 0.342708; 0.120776; 2.20184; 2.11127; -0.700564
604775.931957; 0.321433; 0.106655; 2.20174; -2.67526; 0.332667
