tow; prn14; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
604586.931999773; 4; -148907.682617; 161.408203125; -161.408239803846; -158.688; -2.7205; 0; 0; -0; -0; 0; -161.686; -120.74; 0.277791; 2.99829
604587.931999545; 4; -148874.481445; 323.3193359375; -161.911169605633; -174.473; 12.5622; 0; 0; -0; -0; 0; -162.188; -121.115; 0.277146; -12.2851
604588.931999318; 4; -148843.908203; 485.7353515625; -162.416052532864; -160.664; -1.75254; 0; 0; -0; -0; 0; -162.691; -121.49; 0.274475; 2.02702
604589.931999091; 4; -148811.979492; 648.6494140625; -162.914099521041; -167.787; 4.87245; 0; 0; -0; -0; 0; -163.193; -121.865; 0.278723; -4.59372
604590.931998864; 4; -148779.671875; 812.0703125; -163.420935573716; -169.778; 6.35678; 0; 0; -0; -0; 0; -163.695; -122.24; 0.274026; -6.08275
604591.931998636; 4; -148749.75; 975.98828125; -163.918005999172; -157.241; -6.67746; 0; 0; -0; -0; 0; -164.197; -122.615; 0.279169; 6.95663
604592.931998409; 4; -148718.525391; 1140.4091796875; -164.420935839241; -164.086; -0.334469; 0; 0; -0; -0; 0; -164.699; -122.99; 0.27845; 0.612918
604593.931998182; 4; -148686.864258; 1305.3349609375; -164.92581872819; -166.38; 1.45459; 0; 0; -0; -0; 0; -165.201; -123.365; 0.275648; -1.17895
604594.931997954; 4; -148655.149414; 1470.7626953125; -165.427771967255; -166.663; 1.23489; 0; 0; -0; -0; 0; -165.704; -123.74; 0.275809; -0.959085
604595.931997727; 4; -148622.447266; 1636.69140625; -165.928748643598; -171.851; 5.92224; 0; 0; -0; -0; 0; -166.206; -124.115; 0.276926; -5.64531
604596.9319975; 4; -148591.885742; 1803.1220703125; -166.430701882663; -160.602; -5.82878; 0; 0; -0; -0; 0; -166.708; -124.49; 0.277034; 6.10581
604597.931997273; 4; -148561.381836; 1970.0556640625; -166.933631684451; -160.299; -6.63449; 0; 0; -0; -0; 0; -167.21; -124.864; 0.276144; 6.91063
604598.931997045; 4; -148528.803711; 2137.4912109375; -167.435584923516; -171.199; 3.76366; 0; 0; -0; -0; 0; -167.712; -125.239; 0.276214; -3.48744
604599.931996818; 4; -148497.530273; 2305.4296875; -167.938514725303; -164.343; -3.59545; 0; 0; -0; -0; 0; -168.214; -125.614; 0.275306; 3.87076
604600.931996591; 4; -148464.037109; 2473.869140625; -168.439491440864; -176.008; 7.56831; 0; 0; -0; -0; 0; -168.716; -125.989; 0.276224; -7.29209
604601.931996363; 4; -148433.364258; 2642.810546875; -168.941444640711; -161.187; -7.75449; 0; 0; -0; -0; 0; -169.218; -126.364; 0.27622; 8.0307
604602.931996136; 4; -148399.808594; 2812.251953125; -169.441444754333; -176.336; 6.8948; 0; 0; -0; -0; 0; -169.72; -126.739; 0.278171; -6.61663
604603.931995909; 4; -148367.648438; 2982.2001953125; -169.948280807008; -169.003; -0.945481; 0; 0; -0; -0; 0; -170.222; -127.113; 0.273244; 1.21872
604604.931995682; 4; -148335.129883; 3152.6455078125; -170.445351232463; -170.886; 0.440846; 0; 0; -0; -0; 0; -170.723; -127.488; 0.27806; -0.162786
604605.931995454; 4; -148301.292969; 3323.59375; -170.94828103425; -177.814; 6.86594; 0; 0; -0; -0; 0; -171.225; -127.863; 0.276941; -6.589
604606.931995227; 4; -148271.324219; 3495.0439453125; -171.450234273316; -157.487; -13.9634; 0; 0; -0; -0; 0; -171.727; -128.238; 0.276825; 14.2402
604607.931995; 4; -148237.242188; 3666.99609375; -171.952187512381; -179.102; 7.15014; 0; 0; -0; -0; 0; -172.229; -128.612; 0.276711; -6.87342
604608.931994773; 4; -148205.910156; 3839.451171875; -172.455117354321; -164.651; -7.80414; 0; 0; -0; -0; 0; -172.731; -128.987; 0.275559; 8.0797
604609.931994545; 4; -148172.503906; 4012.408203125; -172.957070553233; -175.551; 2.594; 0; 0; -0; -0; 0; -173.232; -129.362; 0.27538; -2.31862
604610.931994318; 4; -148138.681641; 4185.865234375; -173.457070666854; -177.737; 4.28018; 0; 0; -0; -0; 0; -173.734; -129.737; 0.277076; -4.0031
604611.931994091; 4; -148105.958008; 4359.826171875; -173.960977031364; -171.964; -1.99709; 0; 0; -0; -0; 0; -174.236; -130.111; 0.274936; 2.27202
604612.931993864; 4; -148073.400391; 4534.287109375; -174.460977144985; -171.091; -3.36951; 0; 0; -0; -0; 0; -174.738; -130.486; 0.276559; 3.64606
604613.931993636; 4; -148039.126953; 4709.2490234375; -174.961953821328; -180.108; 5.14622; 0; 0; -0; -0; 0; -175.239; -130.86; 0.277264; -4.86895
604614.931993409; 4; -148006.279297; 4884.712890625; -175.463907060393; -172.616; -2.84827; 0; 0; -0; -0; 0; -175.741; -131.235; 0.276957; 3.12523
604615.931993182; 4; -147971.563477; 5060.6806640625; -175.967813424902; -182.433; 6.4651; 0; 0; -0; -0; 0; -176.242; -131.61; 0.274667; -6.19043
604616.931992954; 4; -147938.222656; 5237.1484375; -176.467813579611; -175.207; -1.26058; 0; 0; -0; -0; 0; -176.744; -131.984; 0.276263; 1.53684
604617.931992727; 4; -147904.436523; 5414.1181640625; -176.969766777589; -177.547; 0.5776; 0; 0; -0; -0; 0; -177.246; -132.359; 0.275854; -0.301746
604618.9319925; 4; -147871.175781; 5591.5888671875; -177.470743453932; -174.786; -2.68432; 0; 0; -0; -0; 0; -177.747; -132.733; 0.276418; 2.96074
604619.931992273; 4; -147836.439453; 5769.560546875; -177.971720130276; -182.541; 4.56896; 0; 0; -0; -0; 0; -178.249; -133.108; 0.277002; -4.29196
604620.931992045; 4; -147802.945312; 5948.033203125; -178.472696806619; -176.013; -2.45976; 0; 0; -0; -0; 0; -178.75; -133.482; 0.277493; 2.73725
604621.931991818; 4; -147767.630859; 6127.009765625; -178.976603171128; -185.579; 6.60214; 0; 0; -0; -0; 0; -179.252; -133.857; 0.275073; -6.32707
604622.931991591; 4; -147736.177734; 6306.4892578125; -179.479532972915; -165.287; -14.1922; 0; 0; -0; -0; 0; -179.753; -134.231; 0.273545; 14.4658
604623.931991363; 4; -147700.704102; 6486.46484375; -179.975626877553; -186.415; 6.43961; 0; 0; -0; -0; 0; -180.255; -134.606; 0.278943; -6.16067
604624.931991136; 4; -147667.374023; 6666.9453125; -180.48050976288; -175.151; -5.32973; 0; 0; -0; -0; 0; -180.756; -134.98; 0.275428; 5.60515
604625.931990909; 4; -147631.640625; 6847.927734375; -180.982463001945; -187.78; 6.79786; 0; 0; -0; -0; 0; -181.257; -135.354; 0.274826; -6.52303
604626.931990682; 4; -147599.078125; 7029.4091796875; -181.481486552845; -171.117; -10.3644; 0; 0; -0; -0; 0; -181.759; -135.729; 0.277191; 10.6415
604627.931990454; 4; -147562.543945; 7211.39453125; -181.985392917354; -191.988; 10.0031; 0; 0; -0; -0; 0; -182.26; -136.103; 0.274583; -9.72848
604628.931990227; 4; -147529.233398; 7393.876953125; -182.482463342809; -175.048; -7.43432; 0; 0; -0; -0; 0; -182.761; -136.478; 0.27879; 7.71311
604629.93199; 4; -147493.546875; 7576.8642578125; -182.98734627004; -187.534; 4.54664; 0; 0; -0; -0; 0; -183.263; -136.852; 0.275197; -4.27145
604630.931989773; 4; -147459.208984; 7760.3525390625; -183.488322946383; -180.447; -3.04145; 0; 0; -0; -0; 0; -183.764; -137.226; 0.275437; 3.31689
604631.931989545; 4; -147423.874023; 7944.3408203125; -183.988323102843; -185.687; 1.69819; 0; 0; -0; -0; 0; -184.265; -137.601; 0.276718; -1.42147
604632.931989318; 4; -147389.69043; 8128.83203125; -184.491252861792; -179.636; -4.85521; 0; 0; -0; -0; 0; -184.766; -137.975; 0.275039; 5.13025
