tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518401.376; 6; -268599.224609; -6.8662109375; 45.7747395407023; -16.1483; 61.923; 0; 0; -0; -0; 0; 45.7466; 34.1614
518401.526; 6; -268601.892578; -13.7265625; 45.7356771117298; 93.4685; -47.7328; 0; 0; -0; -0; 0; 45.6443; 34.085
518401.676; 6; -268601.538086; -20.5654296875; 45.5924478742054; -12.4191; 58.0116; 0; 0; -0; -0; 0; 45.5419; 34.0086
518401.826; 6; -268606.125977; -27.392578125000003553; 45.5143229449257; 160.73; -115.216; 0; 0; -0; -0; 0; 45.4396; 33.9322
518401.976; 6; -268606.772461; -34.203125; 45.4036458615236; 22.6487; 22.755; 0; 0; -0; -0; 0; 45.3372; 33.8557
518402.126; 6; -268607.163086; -40.9873046875; 45.2278645412116; 13.685; 31.5429; 0; 0; -0; -0; 0; 45.2349; 33.7793
518402.276; 6; -268609.631836; -47.77734375; 45.2669271114387; 86.4891; -41.2222; 0; 0; -0; -0; 0; 45.1325; 33.7029
518402.426; 6; -268608.069336; -54.5361328125; 45.0585937080359; -54.74; 99.7985; 0; 0; -0; -0; 0; 45.0302; 33.6264
518402.576; 6; -268610.31543; -61.2783203125; 44.947916694574; 78.6887; -33.7408; 0; 0; -0; -0; 0; 44.9278; 33.55
518402.726; 6; -268610.78418; -68.021484375; 44.9544271112447; 16.422; 28.5324; 0; 0; -0; -0; 0; 44.8255; 33.4736
518402.876; 6; -268613.407227; -74.736328125; 44.7656249583088; 91.8947; -47.1291; 0; 0; -0; -0; 0; 44.7232; 33.3972
518403.026; 6; -268611.735352; -81.4345703125; 44.6549479443921; -58.5717; 103.227; 0; 0; -0; -0; 0; 44.6208; 33.3207
518403.176; 6; -268614.541992; -88.1220703125; 44.5833332918119; 98.3266; -53.7433; 0; 0; -0; -0; 0; 44.5185; 33.2443
518403.326; 6; -268615.870117; -94.796875000000014211; 44.4986979442952; 46.529; -2.03026; 0; 0; -0; -0; 0; 44.4161; 33.1679
518403.476; 6; -268618.25; -101.44921875; 44.3489583608687; 83.3758; -39.0268; 0; 0; -0; -0; 0; 44.3138; 33.0915
518403.626; 6; -268618.921875; -108.08984375; 44.2708332921029; 23.5382; 20.7327; 0; 0; -0; -0; 0; 44.2114; 33.015
518403.776; 6; -268621.357422; -114.7138671875; 44.1601562774182; 85.3259; -41.1657; 0; 0; -0; -0; 0; 44.1091; 32.9386
518403.926; 6; -268620.680664; -121.3251953125; 44.0755207922848; -23.7092; 67.7848; 0; 0; -0; -0; 0; 44.0068; 32.8622
518404.076; 6; -268623.464844; -127.91894531249998579; 43.9583333606262; 97.5398; -53.5814; 0; 0; -0; -0; 0; 43.9044; 32.7858
518404.226; 6; -268624.385742; -134.4990234375; 43.8671875272364; 32.2624; 11.6048; 0; 0; -0; -0; 0; 43.8021; 32.7093
518404.376; 6; -268623.811523; -141.0625; 43.7565103759152; -20.1169; 63.8734; 0; 0; -0; -0; 0; 43.6997; 32.6329
518404.526; 6; -268627.147461; -147.6064453125; 43.6263021104201; 116.87; -73.2435; 0; 0; -0; -0; 0; 43.5974; 32.5565
518404.676; 6; -268627.172852; -154.14453125; 43.5872395427396; 0.889524; 42.6977; 0; 0; -0; -0; 0; 43.495; 32.4801
518404.826; 6; -268627.211914; -160.6611328125; 43.4440104436403; 1.3685; 42.0755; 0; 0; -0; -0; 0; 43.3927; 32.4036
518404.976; 6; -268629.239258; -167.1650390625; 43.359375026921; 71.0251; -27.6657; 0; 0; -0; -0; 0; 43.2903; 32.3272
518405.126; 6; -268630.091797; -173.6474609375; 43.2161457930852; 29.8675; 13.3487; 0; 0; -0; -0; 0; 43.188; 32.2508
518405.276; 6; -268631.432617; -180.119140625; 43.1445312767877; 46.9737; -3.82919; 0; 0; -0; -0; 0; 43.0856; 32.1743
