time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518401.302001; 9.3338; 2.26914; 2.73252; 1.264; 0
518401.452001; 15.4779; 4.53377; 2.73256; -2.0567; 0.00158114
518401.602001; 6.0278; 2.82716; 2.73261; -8.10768; 0.42376
518401.752001; 1.99729; 1.76575; 2.73265; -12.7713; 0.830801
518401.902001; 6.07927; 3.16295; 2.73269; 22.7228; -0.824073
518402.052001; 4.53769; 2.94013; 2.73274; -4.17437; 0.35045
518402.202001; 4.37431; 2.70955; 2.73278; -5.26398; 0.041118
518402.352001; 2.30187; 1.88892; 2.73283; -12.7061; 0.513766
518402.502001; 1.75144; 1.40622; 2.73287; -3.76777; 0.595143
518402.652001; 3.36932; 1.84056; 2.73291; 13.058; -0.295197
518402.802001; 2.56932; 1.60883; 2.73296; -6.72358; 0.0964537
518402.952001; 2.39417; 1.61602; 2.733; 3.37164; 0.111719
518403.102001; 1.73959; 1.09636; 2.73305; -9.54409; 0.463252
518403.252001; 2.26169; 1.19574; 2.73309; 5.54537; -0.273634
518403.402001; 1.67749; 0.879503; 2.73314; -6.83609; 0.0370934
518403.552001; 1.72397; 0.964851; 2.73318; 1.00248; -0.0107729
518403.702001; 1.40782; 0.937471; 2.73323; -2.92139; 0.187056
518403.852001; 1.75766; 1.06958; 2.73327; 5.3363; 0.106039
518404.002001; 1.53655; 0.944419; 2.73331; -3.15373; 0.296258
518404.152001; 1.30095; 0.979605; 2.73336; -2.28536; 0.182806
518404.302001; 1.1973; 0.914645; 2.7334; -1.92063; 0.155346
518404.452001; 1.087; 0.870731; 2.73345; -1.29187; -0.148232
518404.602001; 0.996564; 0.853129; 2.73349; -1.4975; 0.0679957
518404.752001; 0.904247; 0.755791; 2.73353; -2.83835; 0.0152275
518404.902001; 1.03634; 0.778478; 2.73358; 2.76331; -0.324489
518405.052001; 0.880769; 0.658372; 2.73362; -3.93809; 0.201918
518405.202001; 0.756928; 0.577703; 2.73367; -2.37412; -0.313447
518405.352001; 1.00665; 0.64629; 2.73371; 6.08872; -0.293513
518405.502001; 0.842125; 0.556198; 2.73375; -3.60723; 0.0625415
518405.652001; 0.855378; 0.584876; 2.7338; 1.18714; -0.0608319
518405.802001; 0.766563; 0.4908; 2.73384; -3.62567; -0.0106518
518405.952001; 0.73718; 0.442147; 2.73389; 1.84227; 0.10199
518406.102001; 0.516984; 0.356668; 2.73393; -6.27061; 0.300562
518406.252001; 0.280253; 0.269258; 2.73398; -8.11183; 0.376373
518406.402001; 0.324898; 0.196514; 2.73402; -8.81675; 0.450116
518406.552001; 0.593669; 0.145552; 2.73406; -8.66927; 0.496777
518406.702001; 0.888658; 0.11705; 2.73411; -8.66238; 0.449815
518406.852001; 1.19246; 0.113829; 2.73415; -8.92722; 0.419624
518407.002001; 1.42351; 0.122424; 2.7342; -6.22263; 0.307455
518407.152001; 1.59965; 0.138365; 2.73424; -5.45521; 0.225613
518407.302001; 1.72746; 0.154491; 2.73428; -4.23065; 0.202702
518407.452001; 1.82257; 0.170771; 2.73433; -3.17885; 0.138042
518407.602001; 1.88538; 0.1865; 2.73437; -2.4021; 0.125039
518407.752001; 1.9244; 0.198588; 2.73442; -1.56614; 0.0611573
518407.902001; 1.91908; 0.201888; 2.73446; -0.358669; 0.0126507
518408.052001; 1.88576; 0.210929; 2.7345; 0.765607; -0.0463763
518408.202001; 1.82174; 0.217458; 2.73455; 1.31305; -0.1025
518408.352001; 1.72696; 0.219364; 2.73459; 2.111; -0.0912226
518408.502001; 1.61627; 0.21507; 2.73464; 3.16068; -0.222917
518408.652001; 1.54307; 0.210124; 2.73468; 2.35091; -0.145731
518408.802001; 1.48479; 0.210105; 2.73472; 1.59215; -0.0674191
518408.952001; 1.4305; 0.202375; 2.73477; 2.20212; -0.150917
518409.102001; 1.38848; 0.189935; 2.73481; 2.051; -0.138613
518409.252001; 1.34453; 0.178946; 2.73486; 1.94776; -0.165987
518409.402001; 1.30334; 0.168819; 2.7349; 1.79296; -0.142976
518409.552001; 1.26485; 0.159356; 2.73494; 1.68331; -0.0964179
518409.702001; 1.24113; 0.15225; 2.73499; 1.2996; -0.0816234
518409.852001; 1.21505; 0.146975; 2.73503; 1.2915; -0.0408542
518410.002001; 1.19451; 0.142678; 2.73508; 1.18917; -0.0490021
518410.152001; 1.17948; 0.137398; 2.73512; 0.980059; -0.0395025
518410.302001; 1.15293; 0.131934; 2.73516; 1.40464; -0.0599405
518410.452001; 1.14324; 0.128221; 2.73521; 0.645029; -0.0170431
518410.602001; 1.1373; 0.123326; 2.73525; 0.752512; 0.0227856
518410.752001; 1.14798; 0.119458; 2.7353; -0.822961; 0.0837444
518410.902001; 1.15982; 0.11588; 2.73534; -0.806651; 0.0969664
518411.052001; 1.16641; 0.112969; 2.73539; -0.799325; 0.113979
518411.202001; 1.17892; 0.110358; 2.73543; -0.799792; 0.126725
518411.352001; 1.18568; 0.108281; 2.73547; -0.645158; 0.0935706
518411.502001; 1.187; 0.106686; 2.73552; -0.541292; 0.0729003
518411.652001; 1.19213; 0.103844; 2.73556; -0.650534; 0.104284
518411.802001; 1.188; 0.0997828; 2.73561; 0.434507; 0.0693706
518411.952001; 1.18696; 0.095516; 2.73565; 0.497273; 0.0480199
518412.102001; 1.17973; 0.0903794; 2.73569; 0.536629; 0.0585302
518412.252001; 1.17295; 0.0854661; 2.73574; 0.546337; 0.051635
518412.402001; 1.16232; 0.0807828; 2.73578; 0.533673; 0.0200409
518412.552001; 1.14992; 0.0761425; 2.73583; 0.564401; 0.0134433
518412.702001; 1.13509; 0.0722099; 2.73587; 0.570237; 0.0211879
518412.852001; 1.11305; 0.0685757; 2.73591; 0.800149; 0.00508411
518413.002001; 1.09873; 0.0663104; 2.73596; 0.691592; -0.0119828
518413.152001; 1.08557; 0.0658303; 2.736; 0.606439; 0.0176589
518413.302001; 1.07149; 0.0663501; 2.73605; 0.790799; -0.0138261
518413.452001; 1.05956; 0.0679263; 2.73609; 0.840731; -0.0102778
518413.602001; 1.04344; 0.0681406; 2.73613; 1.10849; -0.0369066
518413.752001; 1.02233; 0.0671067; 2.73618; 1.19017; -0.0669847
518413.902001; 0.992878; 0.0653548; 2.73622; 1.62831; -0.0737972
518414.052001; 0.96444; 0.0642267; 2.73627; 1.49514; -0.0940819
518414.202001; 0.937247; 0.0641394; 2.73631; 1.46719; -0.0817278
518414.352001; 0.908704; 0.0647438; 2.73635; 1.48837; -0.0920607
518414.502001; 0.885872; 0.0670273; 2.7364; 1.23933; -0.0943394
518414.652001; 0.865924; 0.0682629; 2.73644; 0.970956; -0.0784753
518414.802001; 0.845408; 0.06883; 2.73649; 0.95799; -0.0826808
518414.952001; 0.822423; 0.0681257; 2.73653; 0.891354; -0.0768906
518415.102001; 0.802824; 0.0667681; 2.73658; 0.867358; -0.0734261
518415.252001; 0.784171; 0.0653477; 2.73662; 0.765891; -0.0853647
518415.402001; 0.764687; 0.0641096; 2.73666; 0.71128; -0.0695521
518415.552001; 0.739164; 0.0639886; 2.73671; 1.56286; -0.0705345
518415.702001; 0.713672; 0.0639974; 2.73675; 1.71736; -0.0772727
518415.852001; 0.690694; 0.0636784; 2.7368; 1.46736; -0.0532853
518416.002001; 0.669814; 0.0615039; 2.73684; 1.30731; -0.0687197
518416.152001; 0.652984; 0.0590999; 2.73688; 0.79396; -0.0373459
518416.302001; 0.644566; 0.0577343; 2.73693; 0.269194; -0.00928751
518416.452001; 0.634672; 0.0575861; 2.73697; 0.556755; 0.0172847
518416.602001; 0.628401; 0.05781; 2.73702; 0.285797; 0.0368571
518416.752001; 0.632894; 0.0578385; 2.73706; -0.487821; 0.0553267
518416.902001; 0.62543; 0.0577604; 2.7371; 0.565346; -0.0277997
518417.052001; 0.618908; 0.0570216; 2.73715; 0.321634; -0.0203889
518417.202001; 0.610781; 0.0552388; 2.73719; 0.511569; -0.0203323
518417.352001; 0.603714; 0.0545068; 2.73724; 0.479175; -0.0493743
518417.502001; 0.607278; 0.0542995; 2.73728; -0.898805; 0.0169088
518417.652001; 0.611994; 0.0548654; 2.73732; -1.01132; 0.0172333
518417.802001; 0.622302; 0.0559679; 2.73737; -1.54198; 0.0230045
518417.952001; 0.629667; 0.0577156; 2.73741; -1.41595; 0.0266974
518418.102001; 0.638934; 0.0602971; 2.73746; -1.69327; 0.0523351
518418.252001; 0.646473; 0.064462; 2.7375; -1.78108; 0.0719167
518418.402001; 0.646122; 0.0673938; 2.73754; -0.86876; 0.0161828
518418.552001; 0.649165; 0.0717304; 2.73759; -1.24909; 0.0215167
518418.702001; 0.646688; 0.0763239; 2.73763; -0.927079; -0.0122003
518418.852001; 0.644107; 0.0808193; 2.73768; -0.741857; -0.0196251
518419.002001; 0.641772; 0.085461; 2.73772; -0.729927; -0.0171757
518419.152001; 0.63486; 0.0877479; 2.73777; 0.479755; -0.0427364
518419.302001; 0.628955; 0.0909731; 2.73781; 0.48649; -0.0376735
518419.452001; 0.620301; 0.0933259; 2.73785; 0.468786; -0.0443879
518419.602001; 0.615959; 0.0960438; 2.7379; 0.38108; -0.0354458
518419.752001; 0.612035; 0.0986245; 2.73794; 0.353024; -0.0212612
518419.902001; 0.609292; 0.0995842; 2.73799; 0.156517; -0.0296483
518420.052001; 0.607811; 0.0988201; 2.73803; 0.212862; -0.0266918
518420.202001; 0.607697; 0.0970843; 2.73807; 0.332151; -0.0278764
518420.352001; 0.607006; 0.0943846; 2.73812; -0.430008; -0.0299659
518420.502001; 0.605793; 0.0918339; 2.73816; -0.593271; 0.0278638
518420.652001; 0.603364; 0.0880634; 2.73821; -0.664808; -0.00908417
518420.802001; 0.602855; 0.0841476; 2.73825; -0.759658; 0.0407312
518420.952001; 0.604675; 0.0798562; 2.73829; -0.904531; 0.0700128
518421.102001; 0.613333; 0.0765355; 2.73834; -0.982827; 0.1006
518421.252001; 0.614098; 0.07034; 2.73838; -1.00215; 0.0508929
518421.402001; 0.613744; 0.0647261; 2.73843; -0.894496; 0.034113
518421.552001; 0.613092; 0.0596519; 2.73847; -0.864526; 0.0681487
518421.702001; 0.608888; 0.0544705; 2.73851; 0.933136; 0.0298828
518421.852001; 0.604671; 0.0496026; 2.73856; 0.961114; 0.0274236
518422.002001; 0.59757; 0.0450409; 2.7386; 1.15774; 0.0171342
518422.152001; 0.592459; 0.042496; 2.73865; 0.782336; 0.011361
518422.302001; 0.58808; 0.0397914; 2.73869; 0.790928; 0.0125177
518422.452001; 0.582698; 0.0367143; 2.73873; 0.929746; -0.0196316
518422.602001; 0.571043; 0.0325685; 2.73878; 1.51496; -0.0450235
518422.752001; 0.556034; 0.0277548; 2.73882; 2.01734; -0.0678732
518422.902001; 0.548754; 0.0249884; 2.73887; 1.15778; -0.0489645
518423.052001; 0.543614; 0.0234484; 2.73891; 0.943023; 0.0107602
518423.202001; 0.543194; 0.0230491; 2.73895; 0.28408; -0.0192151
518423.352001; 0.538569; 0.0222519; 2.739; 1.0005; -0.051071
518423.502001; 0.532434; 0.0213744; 2.73904; 0.956674; -0.0685446
518423.652001; 0.526123; 0.0197648; 2.73909; 0.676001; -0.0701077
518423.802001; 0.516653; 0.0186583; 2.73913; 0.96383; -0.0653758
518423.952001; 0.514276; 0.0174255; 2.73917; 0.271546; -0.035079
518424.102001; 0.510996; 0.0168825; 2.73922; 0.262057; -0.0253389
518424.252001; 0.50899; 0.0168973; 2.73926; 0.229544; 0.0149747
518424.402001; 0.507856; 0.0171791; 2.73931; 0.161455; -0.0190365
518424.552001; 0.504858; 0.0179677; 2.73935; 0.228991; -0.0263008
518424.702001; 0.502293; 0.0182886; 2.7394; 0.274615; -0.0123176
518424.852001; 0.492092; 0.0182423; 2.73944; 0.910872; -0.0604726
518425.002001; 0.483785; 0.0178832; 2.73948; 0.697795; -0.0641673
518425.152001; 0.478126; 0.0174479; 2.73953; 0.421115; -0.0483535
518425.302001; 0.470425; 0.0172799; 2.73957; 0.665272; -0.0631631
518425.452001; 0.459714; 0.0174922; 2.73961; 0.927713; -0.106343
518425.602001; 0.4496; 0.0174857; 2.73966; 0.747509; -0.12014
518425.752001; 0.440849; 0.0177426; 2.7397; 0.836579; -0.123126
518425.902001; 0.426553; 0.0182201; 2.73975; 0.984915; -0.143356
518426.052001; 0.414892; 0.0195856; 2.73979; 1.00991; -0.145795
518426.202001; 0.401126; 0.0207245; 2.73984; 1.26356; -0.148177
518426.352001; 0.391078; 0.0217807; 2.73988; 0.932763; -0.106317
518426.502001; 0.383464; 0.0231082; 2.73992; 0.727364; -0.113829
518426.652001; 0.378101; 0.024113; 2.73997; 0.562432; -0.103688
518426.802001; 0.37474; 0.0251546; 2.74001; 0.379911; -0.0773049
518426.952001; 0.370879; 0.0257287; 2.74006; 0.267009; -0.0643206
518427.102001; 0.369825; 0.0266235; 2.7401; -0.259014; -0.0300946
518427.252001; 0.369145; 0.0260469; 2.74014; 0.148597; -0.0247385
518427.402001; 0.372973; 0.026029; 2.74019; -0.513486; 0.0696714
518427.552001; 0.376872; 0.02476; 2.74023; -0.456843; 0.0607504
518427.702001; 0.380559; 0.0231566; 2.74028; -0.518177; 0.0693089
518427.852001; 0.383021; 0.0216348; 2.74032; -0.459468; 0.0705459
518428.002001; 0.383889; 0.0205669; 2.74036; -0.290912; 0.05517
518428.152001; 0.381608; 0.019049; 2.74041; 0.372274; 0.0416631
518428.302001; 0.379818; 0.018157; 2.74045; 0.341292; 0.0264533
518428.452001; 0.377509; 0.0178023; 2.7405; -0.17186; 0.0285095
518428.602001; 0.373872; 0.0169839; 2.74054; 0.406363; -0.0148791
518428.752001; 0.372509; 0.0167345; 2.74058; 0.123519; -0.0218527
518428.902001; 0.370586; 0.0174662; 2.74063; 0.28506; -0.0254506
518429.052001; 0.367217; 0.0183664; 2.74067; 0.288113; -0.0389072
518429.202001; 0.362037; 0.0196807; 2.74072; 0.414275; -0.0363007
518429.352001; 0.3571; 0.0213592; 2.74076; 0.531809; -0.0437627
518429.502001; 0.351718; 0.0236358; 2.7408; 0.69465; -0.0358964
518429.652001; 0.346227; 0.0261391; 2.74085; 0.74787; -0.0454484
518429.802001; 0.342358; 0.0287752; 2.74089; 0.684555; -0.0510386
518429.952001; 0.339395; 0.0315404; 2.74094; 0.550255; -0.0420993
518430.102001; 0.337106; 0.0341917; 2.74098; -0.468153; -0.0502074
518430.252001; 0.334559; 0.0362527; 2.74102; -0.359573; -0.0175523
518430.402001; 0.332293; 0.0374659; 2.74107; 0.314797; -0.0372083
518430.552001; 0.32855; 0.0385393; 2.74111; 0.326671; -0.015013
518430.702001; 0.323692; 0.0397276; 2.74116; 0.355508; -0.0246539
518430.852001; 0.319504; 0.0417134; 2.7412; 0.563074; -0.0463976
518431.002001; 0.315847; 0.0439551; 2.74124; 0.566792; -0.0498879
518431.152001; 0.311181; 0.0456972; 2.74129; 0.537515; -0.0576386
518431.302001; 0.305521; 0.0473857; 2.74133; 0.528428; -0.0488769
518431.452001; 0.303919; 0.0503395; 2.74138; 0.493; -0.0193027
518431.602001; 0.30136; 0.0525524; 2.74142; 0.424799; -0.0252131
518431.752001; 0.301099; 0.0549158; 2.74146; -0.556416; 0.0147109
518431.902001; 0.3082; 0.0588813; 2.74151; -1.73022; 0.0519128
518432.052001; 0.313299; 0.0612567; 2.74155; -1.1213; 0.0313388
