tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518407.976; 6; -268653.308594; -293.982421875; 41.2760416922942; 19.159; 22.1171; 0; 0; -0; -0; 0; 41.2433; 30.7986
518408.126; 6; -268654.164062; -300.1611328125; 41.1914062116375; 29.9701; 11.2213; 0; 0; -0; -0; 0; 41.141; 30.7222
518408.276; 6; -268655.272461; -306.3232421875; 41.0807291921729; 38.8312; 2.24958; 0; 0; -0; -0; 0; 41.0386; 30.6457
518408.426; 6; -268656.310547; -312.4853515625; 41.0807291284073; 36.3679; 4.71287; 0; 0; -0; -0; 0; 40.9363; 30.5693
518408.576; 6; -268658.053711; -318.6171875; 40.878906275381; 61.0693; -20.1904; 0; 0; -0; -0; 0; 40.8339; 30.4929
518408.726; 6; -268659.057617; -324.732421875; 40.7682291919789; 35.1704; 5.59781; 0; 0; -0; -0; 0; 40.7316; 30.4164
518408.876; 6; -268660.430664; -330.8388671875; 40.7096353787529; 48.1027; -7.3931; 0; 0; -0; -0; 0; 40.6292; 30.34
518409.026; 6; -268662.018555; -336.9248046875; 40.5729166918576; 55.6295; -15.0566; 0; 0; -0; -0; 0; 40.5269; 30.2636
518409.176; 6; -268663.128906; -342.9951171875; 40.4687499623105; 38.8996; 1.56917; 0; 0; -0; -0; 0; 40.4246; 30.1872
518409.326; 6; -268664.270508; -349.05468749999994316; 40.3971354417481; 39.9944; 0.402757; 0; 0; -0; -0; 0; 40.3222; 30.1107
518409.476; 6; -268665.700195; -355.09765624999994316; 40.2864583583465; 50.0871; -9.8006; 0; 0; -0; -0; 0; 40.2198; 30.0343
518409.626; 6; -268666.795898; -361.12402343749994316; 40.1757812125834; 38.3864; 1.78939; 0; 0; -0; -0; 0; 40.1175; 29.9579
518409.776; 6; -268667.882812; -367.1318359375; 40.0520833582013; 38.0785; 1.9736; 0; 0; -0; -0; 0; 40.0151; 29.8814
518409.926; 6; -268669.069336; -373.13085937499994316; 39.9934895460861; 41.5682; -1.57466; 0; 0; -0; -0; 0; 39.9128; 29.805
518410.076; 6; -268670.400391; -379.11035156249994316; 39.8632812747504; 46.6316; -6.76832; 0; 0; -0; -0; 0; 39.8104; 29.7286
518410.226; 6; -268671.543945; -385.0751953125; 39.7656250246901; 40.0628; -0.297178; 0; 0; -0; -0; 0; 39.708; 29.6521
518410.376; 6; -268672.914062; -391.0244140625; 39.6614582963957; 48.0001; -8.33864; 0; 0; -0; -0; 0; 39.6057; 29.5757
518410.526; 6; -268674.325195; -396.95703125; 39.5507812745564; 49.437; -9.88624; 0; 0; -0; -0; 0; 39.5033; 29.4992
518410.676; 6; -268675.704102; -402.875; 39.4531249632564; 48.308; -8.85488; 0; 0; -0; -0; 0; 39.401; 29.4228
518410.826; 6; -268676.820312; -408.78125000000005684; 39.3750000244476; 39.1049; 0.270146; 0; 0; -0; -0; 0; 39.2986; 29.3464
518410.976; 6; -268677.916992; -414.6689453125; 39.2513021077034; 38.4206; 0.830698; 0; 0; -0; -0; 0; 39.1963; 29.2699
518411.126; 6; -268679.046875; -420.544921875; 39.1731770468505; 39.5838; -0.410651; 0; 0; -0; -0; 0; 39.0939; 29.1935
518411.276; 6; -268679.970703; -426.3994140625; 39.0299479408996; 32.365; 6.66495; 0; 0; -0; -0; 0; 38.9916; 29.1171
518411.426; 6; -268680.953125; -432.2421875; 38.95182288039; 34.4177; 4.53408; 0; 0; -0; -0; 0; 38.8892; 29.0406
518411.576; 6; -268681.959961; -438.068359375; 38.8411458574491; 35.2731; 3.56809; 0; 0; -0; -0; 0; 38.7869; 28.9642
518411.726; 6; -268682.942383; -443.880859375; 38.7500000240592; 34.4177; 4.33225; 0; 0; -0; -0; 0; 38.6845; 28.8878
518411.876; 6; -268683.919922; -449.67773437500005684; 38.645833297342; 34.2467; 4.39915; 0; 0; -0; -0; 0; 38.5823; 28.8114
518412.026; 6; -268685.027344; -455.4580078125; 38.5351562739254; 38.7969; -0.261785; 0; 0; -0; -0; 0; 38.4798; 28.7349
518412.176; 6; -268686.022461; -461.2236328125; 38.4374999642023; 34.8625; 3.57499; 0; 0; -0; -0; 0; 38.3774; 28.6585
518412.326; 6; -268687.000977; -466.97265625; 38.3268229404631; 34.2809; 4.04593; 0; 0; -0; -0; 0; 38.2751; 28.5821
518412.476; 6; -268688.143555; -472.708984375; 38.2421875237439; 40.0286; -1.7864; 0; 0; -0; -0; 0; 38.1727; 28.5056
518412.626; 6; -268689.208984; -478.42675781249994316; 38.1184895478323; 37.3258; 0.792684; 0; 0; -0; -0; 0; 38.0703; 28.4292
518412.776; 6; -268690.333008; -484.130859375; 38.0273437736109; 39.3786; -1.35121; 0; 0; -0; -0; 0; 37.968; 28.3527
518412.926; 6; -268691.469727; -489.8193359375; 37.9231770480146; 39.8233; -1.90014; 0; 0; -0; -0; 0; 37.8657; 28.2763
518413.076; 6; -268692.489258; -495.4912109375; 37.8125000234771; 35.7178; 2.09468; 0; 0; -0; -0; 0; 37.7633; 28.1999
518413.226; 6; -268693.493164; -501.150390625; 37.7278646067579; 35.1704; 2.55744; 0; 0; -0; -0; 0; 37.661; 28.1234
518413.376; 6; -268694.771484; -506.79199218749994316; 37.6106770483053; 44.7841; -7.17345; 0; 0; -0; -0; 0; 37.5586; 28.047
518413.526; 6; -268695.90625; -512.419921875; 37.5195312732956; 39.7549; -2.23536; 0; 0; -0; -0; 0; 37.4562; 27.9706
518413.676; 6; -268696.771484; -518.033203125; 37.4218749651482; 30.3122; 7.10963; 0; 0; -0; -0; 0; 37.3539; 27.8941
