tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518401.376; 6; -268597.682617; -6.8642578125; 45.7617187073811; -2.56594; 48.3277; 0; 0; -0; -0; 0; 45.7466; 34.1614
518401.526; 6; -268602.366211; -13.724609375; 45.7356771117298; 164.083; -118.347; 0; 0; -0; -0; 0; 45.6443; 34.085
518401.676; 6; -268601.676758; -20.5634765625; 45.5924478742054; -24.154; 69.7465; 0; 0; -0; -0; 0; 45.5419; 34.0086
518401.826; 6; -268605.616211; -27.389648437500003553; 45.507812528255; 138.013; -92.5053; 0; 0; -0; -0; 0; 45.4396; 33.9322
518401.976; 6; -268605.848633; -34.2041015625; 45.4296875282064; 8.14257; 37.2871; 0; 0; -0; -0; 0; 45.3372; 33.8557
518402.126; 6; -268606.306641; -40.984375; 45.2018228745692; 16.0456; 29.1562; 0; 0; -0; -0; 0; 45.2349; 33.7793
518402.276; 6; -268608.328125; -47.7744140625; 45.2669271114387; 70.8198; -25.5529; 0; 0; -0; -0; 0; 45.1325; 33.7029
518402.426; 6; -268608.811523; -54.533203125; 45.0585937080359; 16.9352; 28.1234; 0; 0; -0; -0; 0; 45.0302; 33.6264
518402.576; 6; -268609.62207; -61.27734375; 44.9609375279154; 28.3964; 16.5646; 0; 0; -0; -0; 0; 44.9279; 33.5501
518402.726; 6; -268612.796875; -68.0185546875; 44.9414062779033; 111.225; -66.2833; 0; 0; -0; -0; 0; 44.8255; 33.4736
518402.876; 6; -268612.612305; -74.7333984375; 44.7656249583088; -6.46616; 51.2318; 0; 0; -0; -0; 0; 44.7232; 33.3972
518403.026; 6; -268612.15918; -81.4326171875; 44.6614583610628; -15.8746; 60.536; 0; 0; -0; -0; 0; 44.6208; 33.3207
518403.176; 6; -268614.749023; -88.12109375; 44.5898437084725; 90.7315; -46.1416; 0; 0; -0; -0; 0; 44.5185; 33.2443
