time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518412.552001; 0.981855; 0.0780956; 2.73583; 0.445901; 0.0170013
518412.702001; 0.969849; 0.0766116; 2.73587; 0.442143; 0.0157355
518412.852001; 0.948222; 0.0767573; 2.73591; 0.7125; 0.00492407
518413.002001; 0.932172; 0.0772462; 2.73596; 0.629651; -0.0125678
518413.152001; 0.91747; 0.0780809; 2.736; 0.514186; 0.0196758
518413.302001; 0.904076; 0.0809823; 2.73605; 0.678316; 0.00600459
518413.452001; 0.892346; 0.0842456; 2.73609; 0.699849; -0.00814231
518413.602001; 0.876217; 0.086652; 2.73613; 0.996255; -0.0351892
518413.752001; 0.854505; 0.0866019; 2.73618; 1.14246; -0.073142
518413.902001; 0.825863; 0.0868863; 2.73622; 1.52791; -0.0739288
518414.052001; 0.797192; 0.0850845; 2.73627; 1.34262; -0.101372
518414.202001; 0.770079; 0.0826109; 2.73631; 1.24337; -0.0874937
518414.352001; 0.745222; 0.0813545; 2.73635; 1.15288; -0.0849186
518414.502001; 0.727575; 0.0809132; 2.7364; 0.806097; -0.0845877
518414.652001; 0.710201; 0.0799546; 2.73644; 0.822668; -0.0942176
518414.802001; 0.691401; 0.0786373; 2.73649; 0.869069; -0.0812691
518414.952001; 0.669384; 0.0758947; 2.73653; 0.913285; -0.0712719
518415.102001; 0.649656; 0.071261; 2.73658; 0.989003; -0.0728345
518415.252001; 0.632247; 0.0671618; 2.73662; 0.837658; -0.0743074
518415.402001; 0.614695; 0.063623; 2.73666; 0.707501; -0.0626946
518415.552001; 0.59167; 0.0635495; 2.73671; 1.48661; -0.071954
518415.702001; 0.56925; 0.0657515; 2.73675; 1.76129; -0.0866693
518415.852001; 0.547549; 0.0670081; 2.7368; 1.53029; -0.0653631
518416.002001; 0.528323; 0.0659576; 2.73684; 1.23393; -0.0543356
518416.152001; 0.513133; 0.0635785; 2.73688; 0.733084; -0.0333024
518416.302001; 0.507218; 0.0615346; 2.73693; 0.361692; 0.0168299
518416.452001; 0.499836; 0.0617371; 2.73697; 0.470575; 0.0382012
518416.602001; 0.495457; 0.0611891; 2.73702; 0.226524; 0.0387588
518416.752001; 0.499824; 0.0588827; 2.73706; -0.431822; 0.0587785
518416.902001; 0.492193; 0.0581751; 2.7371; 0.510928; -0.0247657
518417.052001; 0.48485; 0.0551609; 2.73715; 0.338366; -0.0212162
518417.202001; 0.476859; 0.0508064; 2.73719; 0.40026; 0.0121922
518417.352001; 0.470183; 0.0487947; 2.73724; 0.35805; -0.0316422
518417.502001; 0.473966; 0.0448545; 2.73728; -1.04938; 0.0370692
518417.652001; 0.478566; 0.041467; 2.73732; -1.09261; 0.0463514
518417.802001; 0.488808; 0.0372682; 2.73737; -1.71904; 0.0608465
518417.952001; 0.496512; 0.0354434; 2.73741; -1.50088; 0.0490409
518418.102001; 0.506322; 0.0348335; 2.73746; -1.73111; 0.0624911
518418.252001; 0.516195; 0.0363494; 2.7375; -1.9425; 0.0853533
518418.402001; 0.518722; 0.0386744; 2.73755; -1.11706; 0.0203714
518418.552001; 0.525165; 0.0426676; 2.73759; -1.46506; 0.0162556
518418.702001; 0.527091; 0.0471175; 2.73763; -1.15868; 0.00751421
518418.852001; 0.527484; 0.0517749; 2.73768; -0.891253; -0.0123443
518419.002001; 0.52809; 0.0563005; 2.73772; -0.835817; 0.0162502
518419.152001; 0.523901; 0.0583926; 2.73777; 0.408851; -0.0276818
518419.302001; 0.520531; 0.0614844; 2.73781; 0.417373; 0.00803004
518419.452001; 0.515029; 0.0642544; 2.73785; 0.411991; -0.0203812
518419.602001; 0.514226; 0.0675891; 2.7379; -0.482804; 0.0123463
518419.752001; 0.512697; 0.0699553; 2.73794; -0.293157; 0.0102899
518419.902001; 0.511815; 0.0710792; 2.73799; 0.152883; 0.00749463
518420.052001; 0.512613; 0.0701177; 2.73803; 0.247182; -0.00652907
518420.202001; 0.514814; 0.0679631; 2.73807; -0.433821; -0.00857491
518420.352001; 0.51661; 0.0646541; 2.73812; -0.636826; 0.00897334
518420.502001; 0.518277; 0.061412; 2.73816; -0.742981; 0.0333566
518420.652001; 0.518307; 0.0568581; 2.73821; -0.807027; -0.0103402
518420.802001; 0.520127; 0.052224; 2.73825; -0.856499; 0.03149
518420.952001; 0.523467; 0.0476303; 2.73829; -1.00024; 0.0681592
518421.102001; 0.534366; 0.0439944; 2.73834; -1.08005; 0.100562
518421.252001; 0.537347; 0.0380476; 2.73838; -1.06623; 0.0550522
518421.402001; 0.539142; 0.0330571; 2.73843; -0.944198; 0.0462991
518421.552001; 0.540369; 0.0289815; 2.73847; -0.865603; 0.0780035
518421.702001; 0.538897; 0.0260264; 2.73851; -0.843044; 0.0540783
518421.852001; 0.535668; 0.0248087; 2.73856; 0.851328; 0.0370803
