time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518401.302001; 10.3635; 2.11955; 2.73252; 1.26138; 0
518401.452001; 16.0931; 3.84451; 2.73256; -1.65008; 0.0012028
518401.602001; 6.41636; 2.5883; 2.73261; -8.10678; 0.676352
518401.752001; 2.13737; 1.96974; 2.73265; -12.4922; 0.952237
518401.902001; 5.93531; 3.00612; 2.73269; 23.0663; -0.803354
518402.052001; 4.31802; 2.82483; 2.73274; -4.13624; 0.337581
518402.202001; 4.13841; 2.66149; 2.73278; -5.04884; -0.00821006
518402.352001; 2.14828; 1.94084; 2.73283; -12.7732; 0.467421
518402.502001; 1.61458; 1.41687; 2.73287; -3.31044; 0.59695
518402.652001; 3.07273; 1.76353; 2.73291; 12.392; -0.183007
518402.802001; 2.23992; 1.46901; 2.73296; -6.96617; 0.233866
518402.952001; 2.09663; 1.49753; 2.733; 3.78348; 0.0881629
518403.102001; 1.48382; 0.998903; 2.73305; -8.90839; 0.389629
518403.252001; 2.02302; 1.07947; 2.73309; 5.74526; -0.34301
518403.402001; 1.47557; 0.763004; 2.73314; -6.37989; -0.0440078
518403.552001; 1.55704; 0.817416; 2.73318; 1.07574; -0.125813
518403.702001; 1.20032; 0.82047; 2.73323; -3.16096; 0.14668
518403.852001; 1.52375; 0.981892; 2.73327; 5.80401; 0.0753411
518404.002001; 1.31112; 0.869276; 2.73331; -2.95978; 0.281535
518404.152001; 1.09114; 0.901145; 2.73336; -2.16326; 0.144426
518404.302001; 1.01016; 0.840533; 2.7334; -1.74254; 0.0996287
518404.452001; 0.914451; 0.802111; 2.73345; 1.28712; -0.209278
518404.602001; 0.8411; 0.778009; 2.73349; -1.53634; 0.0216188
518404.752001; 0.767005; 0.711741; 2.73353; -2.45312; 0.0998307
518404.902001; 0.875365; 0.720399; 2.73358; 3.19552; -0.387428
518405.052001; 0.702873; 0.583805; 2.73362; -4.10184; 0.114041
518405.202001; 0.598691; 0.481143; 2.73367; -2.35031; -0.406207
518405.352001; 0.859018; 0.546892; 2.73371; 6.07826; -0.260847
518405.502001; 0.692294; 0.465452; 2.73375; -3.73251; 0.126101
518405.652001; 0.721422; 0.517448; 2.7338; 1.80214; -0.0933591
518405.802001; 0.623342; 0.423937; 2.73384; -3.90625; -0.057448
518405.952001; 0.600546; 0.375542; 2.73389; 1.99903; 0.10012
518406.102001; 0.386501; 0.300051; 2.73393; -6.14112; 0.258864
518406.252001; 0.236669; 0.227741; 2.73398; -7.9765; 0.327313
518406.402001; 0.450878; 0.175411; 2.73402; -8.70804; 0.383933
518406.552001; 0.760584; 0.151586; 2.73406; -8.62763; 0.423389
518406.702001; 1.07586; 0.152988; 2.73411; -8.65245; 0.387835
518406.852001; 1.39386; 0.168022; 2.73415; -8.94741; 0.375676
518407.002001; 1.63362; 0.180868; 2.7342; -6.27509; 0.267692
518407.152001; 1.81505; 0.194677; 2.73424; -5.51093; 0.19643
518407.302001; 1.94489; 0.206924; 2.73428; -4.24653; 0.168654
518407.452001; 2.03965; 0.220111; 2.73433; -3.24606; 0.123954
518407.602001; 2.10066; 0.232724; 2.73437; -2.3567; 0.120381
518407.752001; 2.13865; 0.240492; 2.73442; -1.4863; 0.048392
518407.902001; 2.12833; 0.241157; 2.73446; -0.293784; -0.0126303
518408.052001; 2.08856; 0.246269; 2.7345; 0.703948; -0.0583387
518408.202001; 2.0191; 0.249068; 2.73455; 1.46239; -0.10673
