tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518401.376; 6; -268599.176758; -6.8662109375; 45.7747395407023; -16.6273; 62.402; 0; 0; -0; -0; 0; 45.7466; 34.1614
518401.526; 6; -268601.927734; -13.7275390625; 45.7421875284005; 96.3765; -50.6343; 0; 0; -0; -0; 0; 45.6444; 34.0851
518401.676; 6; -268601.493164; -20.56640625; 45.5924478742054; -15.2245; 60.817; 0; 0; -0; -0; 0; 45.5419; 34.0086
518401.826; 6; -268606.128906; -27.392578125000003553; 45.507812528255; 162.407; -116.899; 0; 0; -0; -0; 0; 45.4396; 33.9322
518401.976; 6; -268606.727539; -34.203125; 45.4036458615236; 20.9722; 24.4314; 0; 0; -0; -0; 0; 45.3372; 33.8557
518402.126; 6; -268607.205078; -40.9873046875; 45.2278645412116; 16.7299; 28.498; 0; 0; -0; -0; 0; 45.2349; 33.7793
518402.276; 6; -268609.646484; -47.7783203125; 45.2734375281094; 85.5312; -40.2577; 0; 0; -0; -0; 0; 45.1325; 33.7029
518402.426; 6; -268608.071289; -54.5361328125; 45.0520832913753; -55.1847; 100.237; 0; 0; -0; -0; 0; 45.0302; 33.6265
518402.576; 6; -268610.295898; -61.279296875; 44.9544271112447; 77.936; -32.9816; 0; 0; -0; -0; 0; 44.9278; 33.55
518402.726; 6; -268610.783203; -68.021484375; 44.947916694574; 17.072; 27.8759; 0; 0; -0; -0; 0; 44.8255; 33.4736
518402.876; 6; -268613.402344; -74.736328125; 44.7656249583088; 91.7578; -46.9922; 0; 0; -0; -0; 0; 44.7232; 33.3972
518403.026; 6; -268611.756836; -81.4345703125; 44.6549479443921; -57.648; 102.303; 0; 0; -0; -0; 0; 44.6208; 33.3207
518403.176; 6; -268614.542969; -88.123046875; 44.5898437084725; 97.6082; -53.0183; 0; 0; -0; -0; 0; 44.5185; 33.2443
