tm; prn; seq_fract; phase
0; 2; 0.282873231918; 17889.9208984
8420; 2; 0.283264118712; 18289.8994141
9420; 2; 0.283627041848; 18681.0039062
10420; 2; 0.283995699137; 19071.6191406
11420; 2; 0.284387604566; 19463.0722656
12420; 24; 0.61227856786; 41009.1542969
14420; 24; 0.609625905287; 46117.1875
15420; 24; 0.607009499567; 51225.6699219
16420; 24; 0.60439641471; 56334.8408203
17420; 24; 0.601793790236; 61443.890625
18420; 6; 0.0159330177121; 57096.2421875
20420; 6; 0.014921549242; 59886.7695312
21420; 6; 0.0139592948835; 62678.3925781
22420; 6; 0.0129614735488; 65470.4716797
23420; 6; 0.0119930037763; 68263.7089844
24420; 6; 0.0110206757672; 71057.6083984
25420; 6; 0.0100106080063; 73853.6757812
26420; 6; 0.00902895443141; 76651.0878906
27420; 6; 0.00804304028861; 79449.1308594
28420; 6; 0.00708226277493; 82246.4511719
29420; 6; 0.00609360146336; 85044.9501953
30420; 6; 0.0051030414179; 87846.0302734
31420; 6; 0.00411422597244; 90647.1572266
32420; 6; 0.00312985503115; 93449.4824219
32420; 14; 0.679426156916; 3320.3203125
33420; 6; 0.00213868077844; 96251.5976562
33420; 14; 0.678374154726; 6265.38964844
34420; 6; 0.00114876125008; 99055.0878906
34420; 14; 0.677301855758; 9211.79101562
35420; 6; 0.000178508693352; 101857.979492
35420; 14; 0.67615726334; 12157.5888672
36420; 6; 0.999193261378; 104662.475586
36420; 14; 0.675111599267; 15104.9628906
37420; 6; 0.998188820668; 107467.645508
37420; 14; 0.674040508457; 18052.9785156
37420; 25; 0.160939660622; 121057.392578
38420; 6; 0.997204926098; 110273.845703
38420; 14; 0.672971994849; 21001.9814453
38420; 25; 0.161301326239; 121901.082031
39420; 6; 0.996215818217; 113081.188477
39420; 14; 0.671880114824; 23952.1347656
39420; 25; 0.161650611088; 122745.632812
40420; 6; 0.995225585299; 115888.487305
40420; 14; 0.670789869269; 26902.2089844
40420; 25; 0.16203701729; 123589.770508
41420; 6; 0.99422855326; 118695.530273
41420; 14; 0.669716888573; 29852.0058594
41420; 25; 0.162387851859; 124433.22168
42420; 6; 0.993240518263; 121501.058594
42420; 14; 0.668635954149; 32800.2626953
43420; 6; 0.992240761872; 124308.573242
43420; 14; 0.66755284043; 35750.4814453
43420; 12; 0.0479434141889; 147624.326172
44420; 6; 0.991258031223; 127120.761719
44420; 14; 0.666479985463; 38705.3466797
44420; 12; 0.0468145066407; 150916.711914
45420; 6; 0.990270649549; 129928.887695
45420; 14; 0.665404120693; 41656.1289062
45420; 12; 0.0456208297983; 154205.290039
46420; 6; 0.989267483354; 132736.765625
46420; 14; 0.664308287669; 44606.6347656
46420; 12; 0.0444204236846; 157493.391602
47420; 6; 0.988273984054; 135548.058594
47420; 14; 0.663225897122; 47560.5419922
47420; 12; 0.0432077331934; 160784.646484
48420; 6; 0.987286515767; 138360.733398
48420; 14; 0.662142610876; 50515.7910156
49420; 6; 0.986295651412; 141174.50293
49420; 14; 0.661069251131; 53472.1220703
50420; 6; 0.985301623819; 143988.643555
50420; 14; 0.659981626086; 56428.8046875
51420; 6; 0.984312728047; 146802.178711
51420; 14; 0.658896037145; 59384.8476562
52420; 6; 0.983313427074; 149616.658203
52420; 14; 0.657791434089; 62341.8076172
53420; 6; 0.982324583456; 152433.313477
53420; 14; 0.65672259219; 65300.921875
54420; 6; 0.981343899854; 155248.880859
54420; 14; 0.655644705519; 68258.9179688
55420; 6; 0.980321697891; 158062.996094
55420; 14; 0.654541017488; 71215.4423828
56420; 6; 0.979338231031; 160875.50293
56420; 14; 0.653465395328; 74170.3535156
57420; 6; 0.978341656504; 163691.267578
57420; 14; 0.652381842257; 77128.4707031
58420; 6; 0.977344053332; 166507
58420; 14; 0.651299343677; 80086.5488281
59420; 6; 0.976358520333; 169324.513672
59420; 14; 0.650208482519; 83046.3837891
60420; 6; 0.975343712838; 172143.314453
60420; 14; 0.64913100563; 86007.4619141
61420; 6; 0.974358773092; 174959.694336
61420; 14; 0.648032694357; 88966.109375
62420; 6; 0.973364810226; 177776.698242
62420; 14; 0.646947835339; 91925.3691406
63420; 6; 0.972379488871; 180594.092773
63420; 14; 0.645861512283; 94884.9619141
64420; 6; 0.971361295786; 183413.823242
64420; 14; 0.644770289538; 97846.890625
65420; 6; 0.970376397949; 186235.34375
65420; 14; 0.643682949245; 100810.582031
66420; 6; 0.969365976518; 189058.707031
66420; 14; 0.642598624807; 103776.084961
67420; 6; 0.968365584966; 191878.938477
67420; 14; 0.64151108684; 106738.433594
68420; 6; 0.967362693977; 194700.379883
68420; 14; 0.64041061746; 109701.967773
69420; 6; 0.96635747375; 197522.476562
69420; 14; 0.639328848571; 112666.149414
70420; 6; 0.965360282687; 200347.827148
70420; 14; 0.63822983834; 115633.53418
71420; 6; 0.964366119821; 203176.641602
71420; 14; 0.637137156213; 118604.365234
72420; 6; 0.96334472741; 206005.191406
72420; 14; 0.636054920731; 121574.914062
73420; 6; 0.962346233893; 208834.551758
73420; 14; 0.634935563197; 124546.243164
74420; 6; 0.961352420971; 211664.321289
74420; 14; 0.633842041017; 127517.962891
75420; 6; 0.960353059694; 214492.599609
75420; 14; 0.632767391857; 130488.164062
76420; 6; 0.959349162877; 217323.892578
76420; 14; 0.631655872101; 133461.347656
77420; 6; 0.958345175488; 220157.24707
77420; 14; 0.630574917886; 136436.574219
78420; 6; 0.957327124197; 222991.032227
78420; 14; 0.629482734948; 139412.205078
79420; 6; 0.956318417098; 225824.618164
79420; 14; 0.628378505586; 142387.612305
80420; 6; 0.9553092313; 228657.183594
80420; 14; 0.627265311312; 145361.975586
81420; 6; 0.954310883069; 231491.370117
81420; 14; 0.626182005741; 148337.943359
82420; 6; 0.953311395831; 234327.65918
82420; 14; 0.625076663448; 151314.972656
83420; 6; 0.952284252038; 237162.625
83420; 14; 0.623994655907; 154291.658203
84420; 6; 0.951286269818; 239998.411133
84420; 14; 0.622885131044; 157269.141602
85420; 6; 0.950278843986; 242836.076172
85420; 14; 0.621782802511; 160248.483398
86420; 6; 0.949267129879; 245675.364258
86420; 14; 0.620683385059; 163229.414062
87420; 6; 0.948246282758; 248515.793945
87420; 14; 0.619585207198; 166211.46875
88420; 6; 0.947228047531; 251356.227539
88420; 14; 0.618485934334; 169193.500977
89420; 6; 0.946221235441; 254196.348633
89420; 14; 0.617382711498; 172175.199219
90420; 6; 0.945206560194; 257036.4375
90420; 14; 0.61627078685; 175156.833984
91420; 6; 0.944190341048; 259878.716797
91420; 14; 0.615183739224; 178140.636719
92420; 6; 0.943190309918; 262720.780273
92420; 14; 0.614070619456; 181124.191406
93420; 6; 0.942175164353; 265563.066406
93420; 14; 0.612982135732; 184107.953125
94420; 6; 0.941161588067; 268406.249023
94420; 14; 0.61187527352; 187092.585938
95420; 6; 0.940146117471; 271250.129883
95420; 14; 0.610756897833; 190077.887695
96420; 6; 0.939125933219; 274093.917969
96420; 14; 0.609664690215; 193063.069336
97420; 6; 0.93811514671; 276936.720703
97420; 14; 0.608558493201; 196047.244141
98420; 6; 0.937111045467; 279780.000977
98420; 14; 0.607469772222; 199031.865234
99420; 6; 0.936095868004; 282622.558594
99420; 14; 0.606369243702; 202015.757812
100420; 6; 0.935079774819; 285467.273438
100420; 14; 0.605240371311; 205001.766602
101420; 6; 0.93407449103; 288312.263672
101420; 14; 0.604148559738; 207988.020508
102420; 6; 0.933053403394; 291157.998047
102420; 14; 0.603032370564; 210975.006836
103420; 6; 0.932055299403; 294005.333984
103420; 14; 0.601937838364; 213963.558594
104420; 6; 0.931045707315; 296853.491211
104420; 14; 0.600827282295; 216952.914062
105420; 6; 0.930013255682; 299702.055664
105420; 14; 0.599719754886; 219942.65625
106420; 6; 0.929006131133; 302550.355469
106420; 14; 0.598622884136; 222932.09668
107420; 6; 0.927966806339; 305400.25
107420; 14; 0.597521916265; 225923.106445
108420; 6; 0.926951158792; 308250.679688
108420; 14; 0.596403987613; 228914.625977
109420; 6; 0.925932665356; 311101.863281
109420; 14; 0.595290925819; 231906.886719
110420; 6; 0.924901438178; 313954.460938
110420; 14; 0.59419344156; 234900.524414
111420; 6; 0.923886995995; 316807.02832
111420; 14; 0.593082553009; 237894.110352
112420; 6; 0.922868862748; 319660.905273
112420; 14; 0.591967869317; 240888.981445
113420; 6; 0.92186156055; 322516.025391
113420; 14; 0.590862879297; 243885.063477
114420; 6; 0.920823272318; 325371.036133
114420; 14; 0.589753922541; 246881.016602
115420; 6; 0.919814392691; 328226.109375
115420; 14; 0.588634374551; 249877.010742
116420; 6; 0.918795229169; 331081.99707
116420; 14; 0.587517506443; 252873.791016
117420; 6; 0.917765288381; 333940.018555
117420; 14; 0.586408684496; 255872.675781
118420; 6; 0.91674389434; 336798.595703
118420; 14; 0.585288559319; 258872.09082
119420; 6; 0.915725459112; 339657.233398
119420; 14; 0.584192726528; 261871.540039
120420; 6; 0.9146923956; 342515.99707
120420; 14; 0.58308869903; 264871.094727
121420; 6; 0.913659924874; 345374.852539
121420; 14; 0.581972684246; 267870.712891
122420; 6; 0.912644979777; 348235.314453
122420; 14; 0.58084617136; 270871.914062
123420; 6; 0.911621976178; 351095.621094
123420; 14; 0.579746753909; 273872.933594
124420; 6; 0.9106024832; 353957.298828
124420; 14; 0.578615801176; 276875.311523
125420; 6; 0.909572042059; 356819.894531
125420; 14; 0.577506657457; 279878.544922
126420; 6; 0.908553380286; 359683.859375
126420; 14; 0.576387532055; 282883.147461
127420; 6; 0.907515718834; 362550.100586
127420; 14; 0.575272898655; 285890.00293
128420; 6; 0.90649791644; 365416.573242
128420; 14; 0.574152464746; 288897.057617
129420; 6; 0.905455945758; 368283.645508
129420; 14; 0.57303829235; 291904.697266
130420; 6; 0.904432961019; 371150.648438
130420; 14; 0.571919341804; 294911.234375
