tow; prn14; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
248773.366; 32; 2171309.88965; 12482.2958984375; -12482.2958984375; -1.14103e+07; 1.13978e+07; 0; 0; -0; -0; 0; -2950.88; -2203.58; -9531.42; -1.14074e+07
248774.366; 32; 2171883.45117; 15494.08984375; -3011.7939453125; -3014.09; 2.2922; 0; 0; -0; -0; 0; -2951.18; -2203.8; -60.6155; -62.9077
248775.366; 32; 2172454.89062; 18505.9814453125; -3011.8916015625; -3002.93; -8.95701; 0; 0; -0; -0; 0; -2951.48; -2204.03; -60.4122; -51.4552
248776.366; 32; 2173029.15039; 21518.0595703125; -3012.078125; -3017.76; 5.67731; 0; 0; -0; -0; 0; -2951.78; -2204.25; -60.2978; -65.9751
248777.366; 32; 2173601.50098; 24530.501953125; -3012.4423828125; -3007.72; -4.71975; 0; 0; -0; -0; 0; -2952.08; -2204.48; -60.3613; -55.6416
248778.366; 32; 2174175.41602; 27543.2373046875; -3012.7353515625; -3015.94; 3.20853; 0; 0; -0; -0; 0; -2952.38; -2204.7; -60.3536; -63.5622
248779.366; 32; 2174746.05566; 30556.2939453125; -3013.056640625; -2998.73; -14.325; 0; 0; -0; -0; 0; -2952.68; -2204.93; -60.3743; -46.0493
248780.366; 32; 2175319.84375; 33569.6904296875; -3013.396484375; -3015.28; 1.88026; 0; 0; -0; -0; 0; -2952.98; -2205.15; -60.4137; -62.294
248781.366; 32; 2175894.625; 36583.26171875; -3013.5712890625; -3020.5; 6.92457; 0; 0; -0; -0; 0; -2953.28; -2205.37; -60.288; -67.2126
248782.366; 32; 2176467.5332; 39597.119140625; -3013.857421875; -3010.65; -3.20449; 0; 0; -0; -0; 0; -2953.58; -2205.6; -60.274; -57.0695
248783.366; 32; 2177041.20605; 42611.3955078125; -3014.2763671875; -3014.67; 0.394815; 0; 0; -0; -0; 0; -2953.88; -2205.82; -60.3926; -60.7874
248784.366; 32; 2177614.29102; 45626.2138671875; -3014.818359375; -3011.58; -3.23656; 0; 0; -0; -0; 0; -2954.18; -2206.05; -60.6344; -57.3979
248785.366; 32; 2178187.85156; 48641.2890625; -3015.0751953125; -3014.08; -0.994178; 2177681.65527; 2520.9990234375; -2520.9990234375; -8.54569e+06; 8.54317e+06; -2954.48; -2206.27; -60.5912; -59.597
248786.366; 32; 2178762.70801; 51656.462890625; -3015.173828125; -3020.89; 5.71718; 2177548.15137; 4801.5888671875; -2280.58984375; 523.898; -2804.49; -2954.78; -2206.49; -60.3898; -66.107
248787.366; 32; 2179335.55762; 54671.9296875; -3015.466796875; -3010.35; -5.12178; 2177388.04004; 7099.7421875; -2298.1533203125; 628.311; -2926.46; -2955.08; -2206.72; -60.383; -55.2612
248788.366; 32; 2179908.86914; 57687.7958984375; -3015.8662109375; -3012.77; -3.09382; 2176511.54883; 9419.2197265625; -2319.4775390625; 3439.54; -5759.02; -2955.38; -2206.94; -60.4826; -57.3887
248789.366; 32; 2180483.55078; 60703.9013671875; -3016.10546875; -3019.97; 3.86694; 2176472.53711; 11710.892578125; -2291.6728515625; 153.09; -2444.76; -2955.68; -2207.17; -60.4221; -64.289
248790.366; 32; 2181058.7627; 63720.138671875; -3016.2373046875; -3022.76; 6.52171; 0; 0; 11710.892578125; 8.54095e+06; -8.52923e+06; -2955.98; -2207.39; -60.2543; -66.776
248791.366; 32; 2181628.49023; 66736.6884765625; -3016.5498046875; -2993.94; -22.6114; 0; 0; 11710.892578125; 8.54095e+06; -8.52923e+06; -2956.28; -2207.61; -60.2672; -37.6558
248792.366; 32; 2182204.68555; 69753.3583984375; -3016.669921875; -3027.93; 11.2569; 0; 0; 11710.892578125; 8.54095e+06; -8.52923e+06; -2956.58; -2207.84; -60.0878; -71.3447
248793.366; 32; 2182778.70898; 72770.39453125; -3017.0361328125; -3016.51; -0.522609; 2182425.75293; -127296.4091796875; 139007.301757812; -23361.7; 162369; -2956.88; -2208.06; -60.1547; -59.6321
248794.366; 32; 2183352.38965; 75787.8701171875; -3017.4755859375; -3014.71; -2.76335; 2182400.89453; -124985.111328125; -2311.2978515625; 97.5497; -2408.85; -2957.18; -2208.28; -60.2948; -57.5314
248795.366; 32; 2183926.94336; 78805.6728515625; -3017.802734375; -3019.3; 1.4974; 2182653.19238; -122718.2861328125; -2266.8251953125; -990.071; -1276.75; -2957.48; -2208.51; -60.3228; -61.8202
248796.366; 32; 2184500.58398; 81823.892578125; -3018.2197265625; -3014.5; -3.7179; 2182241.94824; -120507.7431640625; -2210.54296875; 1613.81; -3824.35; -2957.78; -2208.73; -60.4407; -56.7228
248797.366; 32; 2185077.88672; 84842.302734375; -3018.41015625; -3033.75; 15.3362; 2181761.67773; -118271.81640625; -2235.9267578125; 1884.68; -4120.61; -2958.08; -2208.95; -60.332; -75.6682
248798.366; 32; 2185652.84473; 87861.0009765625; -3018.6982421875; -3021.42; 2.72648; 0; 0; -118271.81640625; 8.5617e+06; -8.67997e+06; -2958.38; -2209.18; -60.3211; -63.0476
248799.366; 32; 2186226.3125; 90880.033203125; -3019.0322265625; -3013.59; -5.43874; 0; 0; -118271.81640625; 8.5617e+06; -8.67997e+06; -2958.68; -2209.4; -60.3562; -54.9175
248800.366; 32; 2186801.04688; 93899.33203125; -3019.298828125; -3020.25; 0.950698; 0; 0; -118271.81640625; 8.5617e+06; -8.67997e+06; -2958.97; -2209.62; -60.324; -61.2747
248801.366; 32; 2187375.00293; 96918.8623046875; -3019.5302734375; -3016.16; -3.37085; 0; 0; -118271.81640625; 8.5617e+06; -8.67997e+06; -2959.27; -2209.85; -60.2568; -56.8859
