prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
   124;      3;     -1;      5;      5;      5;      5;      1 
   125;      3;     -1;      5;      5;      5;      5;      1 
   126;      3;     -1;      5;      5;      5;      5;      1 
   127;      3;     -1;      5;      5;      5;      5;      1 
   128;      3;     -1;      5;      5;      5;      5;      1 
   129;      3;     -1;      5;      5;      5;      5;      1 
   130;      3;     -1;      5;      5;      5;      5;      1 
   131;      3;     -1;      5;      5;      5;      5;      1 
   132;      3;     -1;      5;      5;      5;      5;      1 
   133;      3;     -1;      5;      5;      5;      5;      1 
   134;      3;     -1;      5;      5;      5;      5;      1 
   135;      3;     -1;      5;      5;      5;      5;      1 
   136;      3;     -1;      5;      5;      5;      5;      1 
   137;      3;     -1;      5;      5;      5;      5;      1 
   138;      3;     -1;      5;      5;      5;      5;      1 
   139;      3;     -1;      5;      5;      5;      5;      1 
   140;      3;     -1;      5;      5;      5;      5;      1 
   141;      3;     -1;      5;      5;      5;      5;      1 
   142;      3;     -1;      5;      5;      5;      5;      1 
   143;      3;     -1;      5;      5;      5;      5;      1 
   144;      3;     -1;      5;      5;      5;      5;      1 
   145;      3;     -1;      5;      5;      5;      5;      1 
   146;      3;     -1;      5;      5;      5;      5;      1 
   147;      3;     -1;      5;      5;      5;      5;      1 
   148;      3;     -1;      5;      5;      5;      5;      1 
   149;      3;     -1;      5;      5;      5;      5;      1 
   150;      3;     -1;      5;      5;      5;      5;      1 
   151;      3;     -1;      5;      5;      5;      5;      1 
   152;      3;     -1;      5;      5;      5;      5;      1 
   153;      3;     -1;      5;      5;      5;      5;      1 
   154;      3;     -1;      5;      5;      5;      5;      1 
   155;      3;     -1;      5;      5;      5;      5;      1 
   156;      3;     -1;      5;      5;      5;      5;      1 
   157;      3;     -1;      5;      5;      5;      5;      1 
   158;      3;     -1;      5;      5;      5;      5;      1 
   159;      3;     -1;      5;      5;      5;      5;      1 
   160;      3;     -1;      5;      5;      5;      5;      1 
   161;      3;     -1;      5;      5;      5;      5;      1 
   162;      3;     -1;      5;      5;      5;      5;      1 
   163;      3;     -1;      5;      5;      5;      5;      1 
   164;      3;     -1;      5;      5;      5;      5;      1 
   165;      3;     -1;      5;      5;      5;      5;      1 
   166;      3;     -1;      5;      5;      5;      5;      1 
   167;      1;     -3;      7;     -1;      5;      5;      0 
   168;      1;     -3;      5;      5;      5;      5;      1 
   169;      1;     -3;      5;      5;      5;      5;      1 
   170;      1;     -3;      5;      5;      5;      5;      1 
   171;      1;     -3;      5;      5;      5;      5;      1 
   172;      1;     -3;      5;      5;      5;      5;      1 
   173;      1;     -3;      5;      5;      5;      5;      1 
   174;      1;     -3;      5;      5;      5;      5;      1 
   175;      1;     -3;      5;      5;      5;      5;      1 
