tm; rg; carr
184072.114175;0.429931; -102855.331
185095.114175;0.429803; -103669.930
186118.114175;0.429674; -104484.674
187141.114175;0.429544; -105299.837
188164.114175;0.429414; -106115.404
189187.114175;0.429285; -106931.435
190210.114175;0.429156; -107747.603
191233.114175;0.429025; -108564.245
192256.114175;0.428896; -109381.282
193279.114175;0.428766; -110198.564
194302.114175;0.428636; -111015.939
195325.114175;0.428507; -111833.441
196348.114175;0.428378; -112651.313
197371.114175;0.428247; -113469.465
198394.114175;0.428117; -114287.959
199417.114175;0.427987; -115106.720
200440.114175;0.427857; -115925.849
201463.114175;0.427728; -116745.615
202486.114175;0.427598; -117565.445
203509.114175;0.427466; -118385.334
204532.114175;0.427337; -119205.927
205555.114175;0.427206; -120026.991
206578.114175;0.427075; -120848.533
207601.114175;0.426945; -121670.754
208624.114175;0.426814; -122492.966
209647.114175;0.426683; -123315.358
210670.114175;0.426553; -124138.168
211693.114175;0.426423; -124961.084
212716.114175;0.426292; -125784.396
213739.114175;0.426162; -126608.063
214762.114175;0.426030; -127432.138
215785.114175;0.425901; -128256.659
216808.114175;0.425769; -129081.533
217831.114175;0.425638; -129906.789
218854.114175;0.425508; -130732.351
219877.114175;0.425375; -131558.306
220900.114175;0.425244; -132384.643
221923.114175;0.425113; -133211.452
222946.114175;0.424983; -134038.572
223969.114175;0.424851; -134866.087
224992.114175;0.424719; -135693.860
226015.114175;0.424588; -136522.312
227038.114175;0.424456; -137350.692
228061.114175;0.424325; -138179.426
229084.114175;0.424194; -139008.830
230107.114175;0.424063; -139838.357
231130.114175;0.423931; -140668.463
232153.114175;0.423799; -141499.056
233176.114175;0.423668; -142329.928
234199.114175;0.423536; -143161.106
235222.114175;0.423405; -143992.553
236245.114175;0.423272; -144824.254
237268.114175;0.423142; -145656.339
238291.114175;0.423009; -146488.763
239314.114175;0.422876; -147321.275
240337.114175;0.422745; -148154.258
241360.114175;0.422612; -148987.755
242383.114175;0.422479; -149821.841
243406.114175;0.422347; -150655.980
244429.114175;0.422215; -151490.319
245452.114175;0.422082; -152325.218
246475.114175;0.421949; -153160.676
247498.114175;0.421816; -153996.011
248521.114175;0.421684; -154831.479
249544.114175;0.421551; -155667.704
250567.114175;0.421418; -156504.413
251590.114175;0.421284; -157341.171
252613.114175;0.421153; -158178.172
253636.114175;0.421019; -159015.611
254659.114175;0.420887; -159853.452
255682.114175;0.420753; -160691.462
256705.114175;0.420620; -161529.790
257728.114175;0.420487; -162368.853
258751.114175;0.420353; -163208.177
259774.114175;0.420221; -164047.806
260797.114175;0.420087; -164887.615
261820.114175;0.419953; -165727.549
262843.114175;0.419821; -166567.785
263866.114175;0.419687; -167408.236
264889.114175;0.419552; -168249.068
265912.114175;0.419420; -169090.228
266935.114175;0.419285; -169931.890
267958.114175;0.419152; -170773.767
268981.114175;0.419018; -171615.977
270004.114175;0.418884; -172458.463
271027.114175;0.418750; -173301.125
272050.114175;0.418616; -174144.117
273073.114175;0.418483; -174987.462
274096.114175;0.418349; -175831.248
275119.114175;0.418215; -176675.517
276142.114175;0.418081; -177520.149
277165.114175;0.417948; -178365.115
278188.114175;0.417813; -179210.459
279211.114175;0.417679; -180056.208
280234.114175;0.417545; -180902.225
281257.114175;0.417411; -181748.748
282280.114175;0.417276; -182595.336
283303.114175;0.417142; -183442.434
284326.114175;0.417007; -184290.254
285349.114175;0.416873; -185138.150
286372.114175;0.416737; -185986.370
287395.114175;0.416604; -186834.824
288418.114175;0.416470; -187683.613
289441.114175;0.416334; -188532.792
290464.114175;0.416199; -189382.337
291487.114175;0.416064; -190232.383
292510.114175;0.415929; -191083.109
293533.114175;0.415794; -191934.221
294556.114175;0.415660; -192786.048
295579.114175;0.415524; -193637.909
296602.114175;0.415388; -194490.126
297625.114175;0.415254; -195342.769
298648.114175;0.415118; -196195.747
299671.114175;0.414983; -197049.218
300694.114175;0.414848; -197902.866
301717.114175;0.414712; -198756.751
302740.114175;0.414577; -199611.169
303763.114175;0.414441; -200465.863
304786.114175;0.414307; -201321.323
305809.114175;0.414170; -202176.223
306832.114175;0.414035; -203031.479
307855.114175;0.413898; -203887.109
308878.114175;0.413764; -204743.260
309901.114175;0.413627; -205599.794
310924.114175;0.413491; -206456.596
311947.114175;0.413355; -207313.509
312970.114175;0.413219; -208170.786
313993.114175;0.413083; -209028.777
315016.114175;0.412946; -209887.052
316039.114175;0.412810; -210745.714
317062.114175;0.412673; -211604.896
318085.114175;0.412538; -212464.600
319108.114175;0.412400; -213324.658
320131.114175;0.412264; -214185.035
321154.114175;0.412128; -215045.649
322177.114175;0.411992; -215906.550
323200.114175;0.411855; -216768.051
324223.114175;0.411718; -217629.728
325246.114175;0.411581; -218491.771
326269.114175;0.411445; -219354.058
327292.114175;0.411307; -220216.701
328315.114175;0.411171; -221079.743
329338.114175;0.411034; -221943.189
330361.114175;0.410896; -222807.068
331384.114175;0.410760; -223671.076
332407.114175;0.410622; -224535.627
333430.114175;0.410485; -225400.586
334453.114175;0.410347; -226265.868
335476.114175;0.410209; -227131.689
336499.114175;0.410071; -227997.749
337522.114175;0.409934; -228864.056
338545.114175;0.409795; -229730.745
339568.114175;0.409658; -230597.598
340591.114175;0.409521; -231464.874
341614.114175;0.409383; -232332.370
342637.114175;0.409244; -233200.464
343660.114175;0.409107; -234068.525
344683.114175;0.408970; -234936.581
345706.114175;0.408832; -235804.984
346729.114175;0.408694; -236673.796
347752.114175;0.408556; -237543.011
348775.114175;0.408418; -238412.496
349798.114175;0.408280; -239282.408
350821.114175;0.408142; -240152.641
351844.114175;0.408004; -241023.193
352867.114175;0.407866; -241894.058
353890.114175;0.407727; -242765.402
354913.114175;0.407589; -243636.982
355936.114175;0.407451; -244508.880
356959.114175;0.407312; -245381.123
357982.114175;0.407174; -246253.711
359005.114175;0.407035; -247126.496
360028.114175;0.406897; -247999.755
361051.114175;0.406758; -248873.396
362074.114175;0.406619; -249747.319
363097.114175;0.406481; -250621.468
364120.114175;0.406342; -251495.964
365143.114175;0.406203; -252370.617
366166.114175;0.406065; -253245.617
367189.114175;0.405926; -254120.991
368212.114175;0.405787; -254996.808
369235.114175;0.405648; -255872.924
370258.114175;0.405509; -256749.318
371281.114175;0.405370; -257626.037
372304.114175;0.405231; -258503.123
373327.114175;0.405092; -259380.475
374350.114175;0.404952; -260258.251
375373.114175;0.404813; -261136.350
376396.114175;0.404673; -262014.777
377419.114175;0.404535; -262893.531
378442.114175;0.404395; -263772.544
379465.114175;0.404255; -264651.783
380488.114175;0.404116; -265531.397
381511.114175;0.403976; -266411.305
382534.114175;0.403836; -267291.492
383557.114175;0.403698; -268172.092
384580.114175;0.403558; -269053.085
385603.114175;0.403418; -269934.433
386626.114175;0.403278; -270815.991
387649.114175;0.403139; -271697.980
388672.114175;0.402999; -272580.231
389695.114175;0.402858; -273462.702
390718.114175;0.402718; -274345.484
391741.114175;0.402578; -275228.580
392764.114175;0.402438; -276112.080
393787.114175;0.402297; -276995.880
394810.114175;0.402158; -277879.941
395833.114175;0.402018; -278764.351
396856.114175;0.401878; -279648.979
397879.114175;0.401736; -280533.904
398902.114175;0.401596; -281419.194
399925.114175;0.401456; -282305.025
400948.114175;0.401315; -283191.236
401971.114175;0.401175; -284077.715
402994.114175;0.401034; -284964.647
404017.114175;0.400894; -285851.984
405040.114175;0.400753; -286739.680
406063.114175;0.400611; -287627.614
407086.114175;0.400469; -288516.094
408109.114175;0.400328; -289404.898
409132.114175;0.400188; -290294.018
410155.114175;0.400047; -291183.455
411178.114175;0.399905; -292073.133
412201.114175;0.399763; -292963.062
413224.114175;0.399622; -293853.260
414247.114175;0.399480; -294743.759
415270.114175;0.399339; -295634.604
416293.114175;0.399198; -296525.773
417316.114175;0.399057; -297417.260
418339.114175;0.398915; -298309.225
419362.114175;0.398773; -299201.459
420385.114175;0.398632; -300094.148
421408.114175;0.398490; -300987.163
422431.114175;0.398348; -301880.497
423454.114175;0.398207; -302774.067
424477.114175;0.398065; -303668.042
425500.114175;0.397923; -304562.308
426523.114175;0.397781; -305457.035
427546.114175;0.397640; -306352.089
428569.114175;0.397498; -307247.563
429592.114175;0.397355; -308143.268
430615.114175;0.397213; -309039.407
431638.114175;0.397070; -309935.742
432661.114175;0.396928; -310832.504
433684.114175;0.396786; -311729.652
434707.114175;0.396642; -312627.113
435730.114175;0.396500; -313524.823
436753.114175;0.396358; -314422.673
437776.114175;0.396214; -315320.944
438799.114175;0.396073; -316219.479
439822.114175;0.395929; -317118.257
440845.114175;0.395787; -318017.537
441868.114175;0.395643; -318917.045
442891.114175;0.395501; -319816.987
443914.114175;0.395359; -320717.312
444937.114175;0.395215; -321617.848
445960.114175;0.395073; -322518.854
446983.114175;0.394930; -323420.194
448006.114175;0.394787; -324321.680
449029.114175;0.394644; -325223.529
450052.114175;0.394500; -326126.030
451075.114175;0.394357; -327029.045
452098.114175;0.394214; -327932.019
453121.114175;0.394070; -328835.520
454144.114175;0.393927; -329739.376
455167.114175;0.393783; -330643.610
456190.114175;0.393639; -331548.087
457213.114175;0.393495; -332453.066
458236.114175;0.393351; -333358.194
459259.114175;0.393207; -334263.689
460282.114175;0.393064; -335169.527
461305.114175;0.392919; -336075.672
462328.114175;0.392777; -336982.256
463351.114175;0.392633; -337889.029
464374.114175;0.392490; -338796.032
465397.114175;0.392346; -339703.079
466420.114175;0.392202; -340610.489
467443.114175;0.392058; -341518.229
468466.114175;0.391915; -342426.440
469489.114175;0.391771; -343334.983
470512.114175;0.391627; -344243.768
471535.114175;0.391483; -345152.939
472558.114175;0.391338; -346062.517
473581.114175;0.391193; -346972.225
474604.114175;0.391050; -347882.167
475627.114175;0.390904; -348792.559
476650.114175;0.390760; -349703.324
477673.114175;0.390615; -350614.496
478696.114175;0.390469; -351526.088
