tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
150325.679; 31; 1452917.48438; 4662.9794921875; -4662.9794921875; -7.63513e+06; 7.63047e+06; 0; 0; -0; -0; 0; -682.01; -509.293; -3980.97; -7.63445e+06; -0.770348; -0.00116608
150326.679; 31; 1453069.23633; 5424.580078125; -761.6005859375; -797.462; 35.8613; 0; 0; -0; -0; 0; -682.733; -509.833; -78.8674; -114.729; 2.41552; -0.441484
150327.679; 31; 1453214.97754; 6186.6826171875; -762.1025390625; -765.875; 3.77269; 0; 0; -0; -0; 0; -683.457; -510.373; -78.646; -82.4187; 2.07202; -0.242224
150328.679; 31; 1453362.26562; 6949.8056640625; -763.123046875; -774.004; 10.8811; 0; 0; -0; -0; 0; -684.18; -510.913; -78.9434; -89.8244; 2.61742; -0.475614
150329.679; 31; 1453501.51953; 7713.7763671875; -763.970703125; -731.784; -32.1865; 0; 0; -0; -0; 0; -684.903; -511.453; -79.0678; -46.8813; -2.05617; 0.450669
150330.679; 31; 1453649.92285; 8478.1337890625; -764.357421875; -779.865; 15.5073; 0; 0; -0; -0; 0; -685.626; -511.994; -78.7313; -94.2386; 0.643681; 0.339154
150331.679; 31; 1453792.44727; 9243.4228515625; -765.2890625; -748.971; -16.3182; 0; 0; -0; -0; 0; -686.349; -512.534; -78.9398; -62.6216; -1.79676; 0.658501
150332.679; 31; 1453937.77441; 10009.2021484375; -765.779296875; -763.699; -2.07998; 0; 0; -0; -0; 0; -687.072; -513.074; -78.7069; -76.6269; -2.16568; 0.375877
150333.679; 31; 1454084.99023; 10776.453125; -767.2509765625; -773.624; 6.37338; 0; 0; -0; -0; 0; -687.795; -513.613; -79.4555; -85.8289; -1.40568; -0.126581
150334.679; 31; 1454230.50098; 11544.2109375; -767.7578125; -764.664; -3.0937; 0; 0; -0; -0; 0; -688.519; -514.153; -79.2393; -76.1456; -1.54468; 0.23112
150335.679; 31; 1454370.10938; 12312.501953125; -768.291015625; -733.647; -34.6439; 0; 0; -0; -0; 0; -689.242; -514.693; -79.0495; -44.4056; -6.85677; 0.83479
150336.679; 31; 1454522.87793; 13081.3681640625; -768.8662109375; -802.804; 33.938; 0; 0; -0; -0; 0; -689.965; -515.233; -78.9017; -112.84; -1.2949; -0.0780917
150337.679; 31; 1454669.78027; 13851.0595703125; -769.69140625; -771.977; 2.28562; 0; 0; -0; -0; 0; -690.688; -515.773; -79.0039; -81.2895; -0.858725; -0.0364925
150338.679; 31; 1454818.99805; 14621.4228515625; -770.36328125; -784.145; 13.7814; 0; 0; -0; -0; 0; -691.41; -516.313; -78.9528; -92.7343; 1.48102; -0.133586
150339.679; 31; 1454965.34863; 15392.76953125; -771.3466796875; -769.078; -2.26916; 0; 0; -0; -0; 0; -692.133; -516.853; -79.2133; -76.9442; 0.569893; -0.473558
150340.679; 31; 1455106.82129; 16164.9970703125; -772.2275390625; -743.444; -28.7837; 0; 0; -0; -0; 0; -692.856; -517.393; -79.3713; -50.5876; -4.26568; -0.0468664
150341.679; 31; 1455253.50781; 16938.1494140625; -773.15234375; -770.843; -2.30946; 0; 0; -0; -0; 0; -693.579; -517.932; -79.5733; -77.2638; -4.4867; -0.0435072
150342.679; 31; 1455400.51953; 17711.9658203125; -773.81640625; -772.552; -1.26461; 0; 0; -0; -0; 0; -694.302; -518.472; -79.5146; -78.25; -4.86122; -0.392566
150343.679; 31; 1455548.37109; 18486.0244140625; -774.05859375; -776.965; 2.90661; 0; 0; -0; -0; 0; -695.025; -519.012; -79.0339; -81.9406; -4.60196; -1.01038
150344.679; 31; 1455700.61328; 19260.953125; -774.9287109375; -800.038; 25.1094; 0; 0; -0; -0; 0; -695.747; -519.552; -79.1813; -104.291; -0.156778; -1.35008
150345.679; 31; 1455848.39062; 20036.42578125; -775.47265625; -776.575; 1.10253; 0; 0; -0; -0; 0; -696.47; -520.091; -79.0025; -80.1051; -0.15308; -1.55903
150346.679; 31; 1455995.15918; 20812.4580078125; -776.0322265625; -771.274; -4.75827; 0; 0; -0; -0; 0; -697.193; -520.631; -78.8394; -74.0811; -0.412605; -0.934468
150347.679; 31; 1456145.14648; 21589.611328125; -777.1533203125; -788.189; 11.0353; 0; 0; -0; -0; 0; -697.915; -521.171; -79.2378; -90.2731; 1.55116; -0.976198
150348.679; 31; 1456290.35645; 22366.986328125; -777.375; -763.083; -14.2915; 0; 0; -0; -0; 0; -698.638; -521.71; -78.7368; -64.4453; -0.612738; -0.428691
150349.679; 31; 1456438.49219; 23145.23828125; -778.251953125; -778.459; 0.206626; 0; 0; -0; -0; 0; -699.361; -522.25; -78.8912; -79.0979; -0.602325; -0.479383
150350.679; 31; 1456586.41895; 23924.19921875; -778.9609375; -777.36; -1.60058; 0; 0; -0; -0; 0; -700.083; -522.789; -78.8777; -77.2771; -0.659251; -0.253813
150351.679; 31; 1456736.29785; 24704.3037109375; -780.1044921875; -787.619; 7.51448; 0; 0; -0; -0; 0; -700.806; -523.329; -79.2986; -86.8131; 0.632906; -0.359228
150352.679; 31; 1456886.24316; 25485.4033203125; -781.099609375; -787.968; 6.86833; 0; 0; -0; -0; 0; -701.528; -523.869; -79.5713; -86.4396; 1.93975; -0.255647
150353.679; 31; 1457034.78613; 26267.017578125; -781.6142578125; -780.599; -1.01569; 0; 0; -0; -0; 0; -702.251; -524.408; -79.3634; -78.3477; 1.29791; -0.607298
150354.679; 31; 1457185.03027; 27048.9189453125; -781.9013671875; -789.538; 7.63692; 0; 0; -0; -0; 0; -702.973; -524.948; -78.9281; -86.565; 2.61649; -0.611782
150355.679; 31; 1457333.10645; 27831.4033203125; -782.484375; -778.146; -4.33884; 0; 0; -0; -0; 0; -703.696; -525.487; -78.7887; -74.4499; 1.76389; -0.568217
150356.679; 31; 1457484.29395; 28614.52734375; -783.1240234375; -794.496; 11.3717; 0; 0; -0; -0; 0; -704.418; -526.026; -78.706; -90.0776; 4.03998; -0.325782
150357.679; 31; 1457633.0957; 29398.287109375; -783.759765625; -781.959; -1.80125; 0; 0; -0; -0; 0; -705.14; -526.566; -78.6193; -76.8181; 2.8823; -1.04913
150358.679; 31; 1457782.44922; 30182.8154296875; -784.5283203125; -784.858; 0.329702; 0; 0; -0; -0; 0; -705.863; -527.105; -78.6656; -78.9953; 3.30977; -0.590015
150359.679; 31; 1457931.11328; 30968.234375; -785.4189453125; -781.235; -4.18402; 0; 0; -0; -0; 0; -706.585; -527.645; -78.8339; -74.6499; 2.47485; -0.569576
150360.679; 31; 1458082.77539; 31754.2109375; -785.9765625; -796.99; 11.0132; 0; 0; -0; -0; 0; -707.307; -528.184; -78.6693; -89.6825; 4.1923; -0.836199
150361.679; 31; 1458232.80566; 32540.9404296875; -786.7294921875; -788.414; 1.68492; 0; 0; -0; -0; 0; -708.029; -528.723; -78.7; -80.3849; 4.79278; -0.449286
150362.679; 31; 1458385.25684; 33329.033203125; -788.0927734375; -801.136; 13.0435; 0; 0; -0; -0; 0; -708.752; -529.263; -79.3411; -92.3846; 7.01853; -0.534923
150363.679; 31; 1458534.24023; 34117.2548828125; -788.2216796875; -782.913; -5.30864; 0; 0; -0; -0; 0; -709.474; -529.802; -78.7478; -73.4392; 5.41655; -1.00669
150364.679; 31; 1458684.04004; 34906.5322265625; -789.27734375; -787.203; -2.07406; 0; 0; -0; -0; 0; -710.196; -530.341; -79.0813; -77.0073; 5.46191; -0.448726
150365.679; 31; 1458830.90918; 35696.3837890625; -789.8515625; -771.803; -18.049; 0; 0; -0; -0; 0; -710.918; -530.88; -78.9334; -60.8844; 2.22769; -0.189012
150366.679; 31; 1458983.91406; 36486.7626953125; -790.37890625; -804.046; 13.6672; 0; 0; -0; -0; 0; -711.64; -531.42; -78.7387; -92.4059; 4.46594; -0.443679
150367.679; 31; 1459132.95312; 37277.9208984375; -791.158203125; -783.206; -7.95264; 0; 0; -0; -0; 0; -712.362; -531.959; -78.796; -70.8433; 2.9432; -0.380131
150368.679; 31; 1459282.63379; 38070.1103515625; -792.189453125; -786.577; -5.61225; 0; 0; -0; -0; 0; -713.084; -532.498; -79.1052; -73.493; 1.66189; -0.538793
150369.679; 31; 1459434.15625; 38862.89453125; -792.7841796875; -796.256; 3.47173; 0; 0; -0; -0; 0; -713.806; -533.037; -78.9779; -82.4497; 2.49654; -0.300101
150370.679; 31; 1459583.83887; 39656.0302734375; -793.1357421875; -786.587; -6.54828; 0; 0; -0; -0; 0; -714.528; -533.576; -78.6076; -72.0593; 1.01396; -0.504009
150371.679; 31; 1459735.31641; 40449.96484375; -793.9345703125; -796.02; 2.08527; 0; 0; -0; -0; 0; -715.25; -534.115; -78.6845; -80.7698; 1.70056; -0.179006
150372.679; 31; 1459885.47266; 41244.912109375; -794.947265625; -789.076; -5.87085; 0; 0; -0; -0; 0; -715.972; -534.654; -78.9753; -73.1044; 0.520239; -0.236062
150373.679; 31; 1460037.59961; 42040.232421875; -795.3203125; -799.433; 4.11222; 0; 0; -0; -0; 0; -716.694; -535.193; -78.6265; -82.7387; 0.9886; -0.535658
150374.679; 31; 1460188.20801; 42836.771484375; -796.5390625; -791.452; -5.08659; 0; 0; -0; -0; 0; -717.416; -535.732; -79.1234; -74.0368; 0.627513; 0.0648768
150375.679; 31; 1460345.11133; 43633.9033203125; -797.1318359375; -824.533; 27.4007; 0; 0; -0; -0; 0; -718.137; -536.271; -78.9944; -106.395; 5.12256; -0.568143
150376.679; 31; 1460494.18555; 44431.55078125; -797.6474609375; -783.39; -14.2572; 0; 0; -0; -0; 0; -718.859; -536.81; -78.7882; -64.5311; 3.25425; 0.32068
