tow; prn16; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
151201.679; 4; -70744.9492188; -963645.1728515625; 799.2763671875; 821.638; -22.3618; 0; 0; -0; -0; 0; 876.832; 654.777; -77.5554; -55.1936; -3.08897; 0.628535
151202.679; 4; -70894.5439453; -964443.5712890625; 798.3984375; 786.126; 12.2728; 0; 0; -0; -0; 0; 876.309; 654.386; -77.9101; -90.183; -1.04324; 0.335823
151203.679; 4; -71052.1875; -965241.8251953125; 798.25390625; 828.422; -30.1686; 0; 0; -0; -0; 0; 875.785; 653.996; -77.5315; -47.3629; -6.20281; 0.909535
151204.679; 4; -71202.1035156; -966040.03125; 798.2060546875; 787.814; 10.3921; 0; 0; -0; -0; 0; 875.262; 653.605; -77.0561; -87.4482; -4.34206; 0.787076
151205.679; 4; -71353.5957031; -966837.6943359375; 797.6630859375; 796.097; 1.56627; 0; 0; -0; -0; 0; 874.739; 653.214; -77.0759; -78.6421; -3.99364; 0.832967
151206.679; 4; -71502.1982422; -967634.470703125; 796.7763671875; 780.912; 15.8648; 0; 0; -0; -0; 0; 874.216; 652.823; -77.4393; -93.3041; -1.75642; 0.0493992
151207.679; 4; -71656.9023438; -968431.154296875; 796.68359375; 812.976; -16.2919; 0; 0; -0; -0; 0; 873.693; 652.433; -77.0089; -60.717; -4.12506; 0.776739
151208.679; 4; -71810.4736328; -969227.3720703125; 796.2177734375; 807.023; -10.8048; 0; 0; -0; -0; 0; 873.169; 652.042; -76.9515; -66.1467; -5.98468; 0.967735
151209.679; 4; -71957.0351562; -970022.779296875; 795.4072265625; 770.186; 25.2212; 0; 0; -0; -0; 0; 872.646; 651.651; -77.2388; -102.46; -1.66536; 0.487046
151210.679; 4; -72111.8369141; -970816.921875; 794.142578125; 813.489; -19.3461; 0; 0; -0; -0; 0; 872.123; 651.261; -77.9803; -58.6341; -5.09655; 0.732987
151211.679; 4; -72261.9160156; -971611.185546875; 794.263671875; 788.671; 5.59267; 0; 0; -0; -0; 0; 871.6; 650.87; -77.3359; -82.9286; -4.44512; 0.31777
151212.679; 4; -72414.8427734; -972404.646484375; 793.4609375; 803.636; -10.1746; 0; 0; -0; -0; 0; 871.076; 650.479; -77.6154; -67.4408; -6.17932; 0.516026
151213.679; 4; -72564.7148438; -973197.6787109375; 793.0322265625; 787.583; 5.44918; 0; 0; -0; -0; 0; 870.553; 650.088; -77.5209; -82.9701; -5.27505; 0.37989
151214.679; 4; -72718.6904297; -973990.322265625; 792.6435546875; 809.147; -16.5036; 0; 0; -0; -0; 0; 870.03; 649.698; -77.3863; -60.8827; -8.30559; 0.483162
151215.679; 4; -72867.4160156; -974782.755859375; 792.43359375; 781.558; 10.8754; 0; 0; -0; -0; 0; 869.507; 649.307; -77.073; -87.9484; -6.27993; 0.433695
151216.679; 4; -73019.3300781; -975573.8291015625; 791.0732421875; 798.314; -7.24054; 0; 0; -0; -0; 0; 868.983; 648.916; -77.9101; -70.6696; -7.13455; 0.949609
151217.679; 4; -73167.1542969; -976364.2333984375; 790.404296875; 776.822; 13.5828; 0; 0; -0; -0; 0; 868.46; 648.525; -78.0558; -91.6386; -4.845; 0.648729
151218.679; 4; -73317.4882812; -977154.2626953125; 790.029296875; 790.01; 0.0188769; 0; 0; -0; -0; 0; 867.937; 648.135; -77.9076; -77.9264; -4.34742; 1.13655
151219.679; 4; -73466.5878906; -977944.2080078125; 789.9453125; 783.524; 6.42158; 0; 0; -0; -0; 0; 867.414; 647.744; -77.4683; -83.8899; -3.58567; 0.672506
151220.679; 4; -73617.0439453; -978733.2998046875; 789.091796875; 790.652; -1.56011; 0; 0; -0; -0; 0; 866.89; 647.353; -77.7986; -76.2385; -3.68884; 0.861822
151221.679; 4; -73766.4960938; -979521.9970703125; 788.697265625; 785.376; 3.32092; 0; 0; -0; -0; 0; 866.367; 646.962; -77.6699; -80.9908; -3.14738; 0.768041
151222.679; 4; -73916.1279297; -980310.2119140625; 788.21484375; 786.321; 1.89424; 0; 0; -0; -0; 0; 865.844; 646.572; -77.629; -79.5232; -2.73972; 0.810921
151223.679; 4; -74064.6054688; -981097.57421875; 787.3623046875; 780.255; 7.10757; 0; 0; -0; -0; 0; 865.321; 646.181; -77.9582; -85.0658; -1.3872; 0.808371
151224.679; 4; -74213.2460938; -981884.8955078125; 787.3212890625; 781.112; 6.20953; 0; 0; -0; -0; 0; 864.797; 645.79; -77.476; -83.6855; -0.455891; 0.556538
151225.679; 4; -74359.5478516; -982671.6953125; 786.7998046875; 768.821; 17.9789; 0; 0; -0; -0; 0; 864.274; 645.399; -77.4742; -95.4531; 2.7739; 0.3663
151226.679; 4; -74509.3496094; -983458.1865234375; 786.4912109375; 787.214; -0.72234; 0; 0; -0; -0; 0; 863.751; 645.009; -77.2595; -76.5372; 2.42248; 0.153116
151227.679; 4; -74659.9033203; -984243.9208984375; 785.734375; 791.165; -5.43072; 0; 0; -0; -0; 0; 863.227; 644.618; -77.4931; -72.0623; 2.10646; 0.870003
151228.679; 4; -74810.1337891; -985028.98828125; 785.0673828125; 789.466; -4.39906; 0; 0; -0; -0; 0; 862.704; 644.227; -77.6368; -73.2377; 0.893787; 0.49285
151229.679; 4; -74960.0527344; -985814.1494140625; 785.1611328125; 787.829; -2.66824; 0; 0; -0; -0; 0; 862.181; 643.836; -77.0197; -74.3515; 0.797863; 0.903522
