----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
  |     0   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -6 -6 -6 -6 -6   |   0   |  --
  |     0   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |     0   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |     1   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |     1   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |     2   |   1   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |     2   |   1   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  --
  |     3   |   1   |   1  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  --
  |     3   |   1   |   1  1  1  0  0   |   3  3  3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  --
  |     4   |   1   |   1  1  1  1  0   |   3  3  3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  --
  |     4   |   1   |   1  1  1  1  0   |   3  3  3  3 -3   |   1   ||   1  1  1  0  0   |   3  3  3 -3 -3   |   1   |  --
  |     5   |   0   |   1  1  1  1  1   |   3  3  3  3 -3   |   1   ||   1  1  1  0  0   |   3  3  3 -3 -3   |   1   |  --
  |     5   |   0   |   1  1  1  1  1   |   3  3  3  3  3   |   1   ||   1  1  1  1  0   |   3  3  3  3 -3   |   1   |  --
  |     6   |   1   |   0  1  1  1  1   |   3  3  3  3  3   |   1   ||   1  1  1  1  0   |   3  3  3  3 -3   |   1   |  --
  |     6   |   1   |   0  1  1  1  1   |  -3  3  3  3  3   |   0   ||   0  1  1  1  1   |  -3  3  3  3  3   |   0   |  --
  |     7   |   0   |   1  0  1  1  1   |  -3  3  3  3  3   |   0   ||   0  1  1  1  1   |  -3  3  3  3  3   |   0   |  --
  |     7   |   0   |   1  0  1  1  1   |   3 -3  3  3  3   |   1   ||   1  0  1  1  1   |   3 -3  3  3  3   |   1   |  --
  |     8   |   0   |   0  1  0  1  1   |   3 -3  3  3  3   |   1   ||   1  0  1  1  1   |   3 -3  3  3  3   |   1   |  --
  |     8   |   0   |   0  1  0  1  1   |  -3  3 -3  3  3   |   0   ||   0  1  0  1  1   |  -3  3 -3  3  3   |   0   |  --
  |     9   |   0   |   0  0  1  0  1   |  -3  3 -3  3  3   |   0   ||   0  1  0  1  1   |  -3  3 -3  3  3   |   0   |  --
  |     9   |   0   |   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   ||   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   |  --
  |    10   |   0   |   0  0  0  1  0   |  -3 -3  3 -3  3   |   0   ||   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   |  --
  |    10   |   0   |   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   ||   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   |  --
  |    11   |   0   |   0  0  0  0  1   |  -3 -3 -3  3 -3   |   0   ||   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   |  --
  |    11   |   0   |   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  --
  |    12   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  --
  |    12   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |    13   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  --
  |    13   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  --
  |    14   |   0   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  --
  |    14   |   0   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  --
  |    15   |   0   |   0  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  --
  |    15   |   0   |   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    16   |   0   |   0  0  1  1  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    16   |   0   |   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    17   |   0   |   0  0  0  1  1   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    17   |   0   |   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    18   |   0   |   0  0  0  0  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    18   |   0   |   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    19   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    19   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    20   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    20   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
