----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
-3 -3 -3 -3 -3   |   0   |  -6 -6 -6 -6 -6   |   1   |     0   |   0  0  0  0  0   |   0   |  --
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |     0   |   0  0  0  0  0   |   0   |  --
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |     0   |   0  0  0  0  0   |   0   |  --
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |     1   |   1  0  0  0  0   |   0   |  --
 3 -3 -3 -3 -3   |   1   |  -3 -3 -3 -3 -3   |   1   |     1   |   1  0  0  0  0   |   0   |  --
 3 -3 -3 -3 -3   |   1   |  -3 -3 -3 -3 -3   |   1   |     2   |   1  1  0  0  0   |   0   |  --
 3  3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |     2   |   1  1  0  0  0   |   1   |  --
 3  3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |     3   |   1  1  1  0  0   |   1   |  --
 3  3  3 -3 -3   |   1   |   3  3 -3 -3 -3   |   1   |     3   |   1  1  1  0  0   |   1   |  --
 3  3  3 -3 -3   |   1   |   3  3 -3 -3 -3   |   1   |     4   |   1  1  1  1  0   |   1   |  --
 3  3  3  3 -3   |   1   |   3  3  3 -3 -3   |   1   |     4   |   1  1  1  1  0   |   1   |  --
 3  3  3  3 -3   |   1   |   3  3  3 -3 -3   |   0   |     5   |   1  1  1  1  1   |   1   |  --
 3  3  3  3  3   |   1   |   3  3  3  3 -3   |   0   |     5   |   1  1  1  1  1   |   1   |  --
 3  3  3  3  3   |   1   |   3  3  3  3 -3   |   1   |     6   |   0  1  1  1  1   |   1   |  --
-3  3  3  3  3   |   0   |  -3  3  3  3  3   |   1   |     6   |   0  1  1  1  1   |   0   |  --
-3  3  3  3  3   |   0   |  -3  3  3  3  3   |   0   |     7   |   1  0  1  1  1   |   0   |  --
 3 -3  3  3  3   |   1   |   3 -3  3  3  3   |   0   |     7   |   1  0  1  1  1   |   1   |  --
 3 -3  3  3  3   |   1   |   3 -3  3  3  3   |   0   |     8   |   0  1  0  1  1   |   1   |  --
-3  3 -3  3  3   |   0   |  -3  3 -3  3  3   |   0   |     8   |   0  1  0  1  1   |   0   |  --
-3  3 -3  3  3   |   0   |  -3  3 -3  3  3   |   0   |     9   |   0  0  1  0  1   |   0   |  --
-3 -3  3 -3  3   |   0   |  -3 -3  3 -3  3   |   0   |     9   |   0  0  1  0  1   |   0   |  --
-3 -3  3 -3  3   |   0   |  -3 -3  3 -3  3   |   0   |    10   |   0  0  0  1  0   |   0   |  --
-3 -3 -3  3 -3   |   0   |  -3 -3 -3  3 -3   |   0   |    10   |   0  0  0  1  0   |   0   |  --
-3 -3 -3  3 -3   |   0   |  -3 -3 -3  3 -3   |   0   |    11   |   0  0  0  0  1   |   0   |  --
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   0   |    11   |   0  0  0  0  1   |   0   |  --
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   1   |    12   |   0  0  0  0  0   |   0   |  --
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    12   |   0  0  0  0  0   |   0   |  --
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    13   |   1  0  0  0  0   |   0   |  --
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |    13   |   1  0  0  0  0   |   1   |  --
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   0   |    14   |   1  1  0  0  0   |   1   |  --
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    14   |   1  1  0  0  0   |   1   |  --
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    15   |   0  1  1  0  0   |   1   |  --
-3  3  3 -3 -3   |   0   |  -3  3  3 -3 -3   |   0   |    15   |   0  1  1  0  0   |   0   |  OK
