tow; prn13; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
568077.824; 69; 2653841.57324; 13981.9423828125; -13981.9423828125; -1.3946e+07; 1.3932e+07; 0; 0; -0; -0; 0; -2330.97; -1740.66; -11651; -1.39437e+07; 450488; 450489
568078.824; 69; 2654294.79004; 16401.8310546875; -2419.888671875; -2381.67; -38.2183; 0; 0; -0; -0; 0; -2331.32; -1740.92; -88.5721; -50.3537; 450418; 450419
568079.824; 69; 2654765.14258; 18822.1240234375; -2420.29296875; -2471.72; 51.4263; 0; 0; -0; -0; 0; -2331.66; -1741.17; -88.6334; -140.06; 450355; 450356
568080.824; 69; 2655230.33105; 21242.859375; -2420.7353515625; -2444.58; 23.8466; 0; 0; -0; -0; 0; -2332; -1741.43; -88.733; -112.58; 450289; 450290
568081.824; 69; 2655694.19238; 23663.8720703125; -2421.0126953125; -2437.61; 16.595; 0; 0; -0; -0; 0; -2332.35; -1741.69; -88.6676; -105.263; 450222; 450223
568082.824; 69; 2656153.34277; 26085.1689453125; -2421.296875; -2412.85; -8.44529; 0; 0; -0; -0; 0; -2332.69; -1741.94; -88.6089; -80.1636; 450154; 450156
568083.824; 69; 2656612.03906; 28507.025390625; -2421.8564453125; -2410.47; -11.3912; 0; 0; -0; -0; 0; -2333.03; -1742.2; -88.8258; -77.4346; 450085; 450086
568084.824; 69; 2657067.14062; 30929.1865234375; -2422.1611328125; -2391.57; -30.5863; 0; 0; -0; -0; 0; -2333.37; -1742.45; -88.7879; -58.2016; 450015; 450017
568085.824; 69; 2657527.75684; 33351.6005859375; -2422.4140625; -2420.55; -1.85954; 0; 0; -0; -0; 0; -2333.72; -1742.71; -88.6983; -86.8387; 449947; 449948
568086.824; 69; 2657992.83984; 35774.3544921875; -2422.75390625; -2444.03; 21.2738; 0; 0; -0; -0; 0; -2334.06; -1742.97; -88.6957; -109.969; 449879; 449880
568087.824; 69; 1459284.19531; 38197.32421875; -2422.9697265625; 6.29926e+06; -6.30168e+06; 0; 0; -0; -0; 0; -2334.4; -1743.22; -88.5679; 6.30159e+06; 3.65512; 0.0119375
568088.824; 69; 1459744.46191; 40620.7294921875; -2423.4052734375; -2418.72; -4.68796; 0; 0; -0; -0; 0; -2334.74; -1743.48; -88.6611; -83.9731; 2.76076; 0.00433359
568089.824; 69; 1460203.78711; 43044.5517578125; -2423.822265625; -2413.77; -10.0521; 0; 0; -0; -0; 0; -2335.09; -1743.73; -88.7357; -78.6836; 1.12378; 0.141065
568090.824; 69; 1460667.2998; 45468.6875; -2424.1357421875; -2435.78; 11.6399; 0; 0; -0; -0; 0; -2335.43; -1743.99; -88.707; -100.347; 2.89044; -0.173159
568091.824; 69; 1461131.05664; 47893.19921875; -2424.51171875; -2437.06; 12.5469; 0; 0; -0; -0; 0; -2335.77; -1744.24; -88.741; -101.288; 5.57578; 0.100914
568092.824; 69; 1461592.85938; 50318.029296875; -2424.830078125; -2426.79; 1.95967; 0; 0; -0; -0; 0; -2336.11; -1744.5; -88.7172; -90.6768; 5.91297; 0.0698261
568093.824; 69; 1462052.21875; 52743.0556640625; -2425.0263671875; -2413.95; -11.0766; 0; 0; -0; -0; 0; -2336.45; -1744.76; -88.5715; -77.4949; 3.83088; 0.0921866
568094.824; 69; 1462515.66113; 55168.4521484375; -2425.396484375; -2435.41; 10.0097; 0; 0; -0; -0; 0; -2336.8; -1745.01; -88.5997; -98.6094; 5.67588; 0.0549856
568095.824; 69; 1462979.10449; 57594.2197265625; -2425.767578125; -2435.41; 9.64371; 0; 0; -0; -0; 0; -2337.14; -1745.27; -88.6289; -98.2727; 7.33035; -0.0603268
568096.824; 69; 1463435.53223; 60020.314453125; -2426.0947265625; -2398.54; -27.5508; 0; 0; -0; -0; 0; -2337.48; -1745.52; -88.6144; -61.0636; 1.96787; -0.145832
568097.824; 69; 1463898.31152; 62446.69140625; -2426.376953125; -2431.92; 5.54467; 0; 0; -0; -0; 0; -2337.82; -1745.78; -88.5549; -94.0996; 3.17664; 0.010046
568098.824; 69; 1464364.02344; 64873.478515625; -2426.787109375; -2447.33; 20.5455; 0; 0; -0; -0; 0; -2338.16; -1746.03; -88.6233; -109.169; 6.82607; -0.178778
568099.824; 69; 1464822.37109; 67300.4375; -2426.958984375; -2408.63; -18.3258; 0; 0; -0; -0; 0; -2338.51; -1746.29; -88.4536; -70.1278; 3.32878; -0.158471
568100.824; 69; 1465283.26562; 69727.7802734375; -2427.3427734375; -2422.02; -5.32566; 0; 0; -0; -0; 0; -2338.85; -1746.54; -88.496; -83.1703; 2.75956; 0.254908
568101.824; 69; 1465744.54492; 72155.3603515625; -2427.580078125; -2424.04; -3.54101; 0; 0; -0; -0; 0; -2339.19; -1746.8; -88.3918; -84.8508; 2.07412; 0.22109
568102.824; 69; 1466209; 74583.2333984375; -2427.873046875; -2440.73; 12.8549; 0; 0; -0; -0; 0; -2339.53; -1747.05; -88.3434; -101.198; 4.66734; 0.34004
568103.824; 69; 1466669.8252; 77011.6162109375; -2428.3828125; -2421.65; -6.73007; 0; 0; -0; -0; 0; -2339.87; -1747.31; -88.5118; -81.7818; 3.2258; 0.175685
568104.824; 69; 1467131.41895; 79440.4208984375; -2428.8046875; -2425.69; -3.11316; 0; 0; -0; -0; 0; -2340.21; -1747.56; -88.5926; -85.4795; 2.89702; 0.401453
568105.824; 69; 1467593.25586; 81869.568359375; -2429.1474609375; -2426.97; -2.1781; 0; 0; -0; -0; 0; -2340.55; -1747.82; -88.5941; -86.416; 2.34494; 0.256182
568106.824; 69; 1468061.20117; 84299.0673828125; -2429.4990234375; -2459.07; 29.5702; 0; 0; -0; -0; 0; -2340.89; -1748.07; -88.6046; -118.175; 8.04789; 0.345622
568107.824; 69; 1468517.55957; 86729.0751953125; -2430.0078125; -2398.18; -31.8282; 0; 0; -0; -0; 0; -2341.24; -1748.33; -88.7723; -56.9441; 2.07616; 0.408517
568108.824; 69; 1468983.20117; 89159.2587890625; -2430.18359375; -2446.96; 16.7795; 0; 0; -0; -0; 0; -2341.58; -1748.58; -88.6072; -105.387; 5.13542; 0.285756
568109.824; 69; 1469444.0957; 91589.8427734375; -2430.583984375; -2422.02; -8.56688; 0; 0; -0; -0; 0; -2341.92; -1748.83; -88.6667; -80.0998; 3.15139; -0.0446643
568110.824; 69; 1469904.57227; 94020.583984375; -2430.7412109375; -2419.82; -10.9205; 0; 0; -0; -0; 0; -2342.26; -1749.09; -88.4832; -77.5627; 1.78152; 0.617287
568111.824; 69; 1470366.93359; 96451.673828125; -2431.08984375; -2429.73; -1.36467; 0; 0; -0; -0; 0; -2342.6; -1749.34; -88.491; -87.1263; 1.57578; 0.631082
568112.824; 69; 1470828.66602; 98883.1123046875; -2431.4384765625; -2426.42; -5.01822; 0; 0; -0; -0; 0; -2342.94; -1749.6; -88.4989; -83.4807; 0.499041; 0.478256
568113.824; 69; 1471290.53809; 101314.8349609375; -2431.72265625; -2427.15; -4.56854; 0; 0; -0; -0; 0; -2343.28; -1749.85; -88.4425; -83.8739; -0.39817; 0.415852
568114.824; 69; 1471757.36621; 103746.8564453125; -2432.021484375; -2453.2; 21.1769; 0; 0; -0; -0; 0; -2343.62; -1750.11; -88.4009; -109.578; 3.32886; 0.120478
568115.824; 69; 1472220.25098; 106179.1455078125; -2432.2890625; -2432.48; 0.186799; 0; 0; -0; -0; 0; -2343.96; -1750.36; -88.3279; -88.5147; 3.11098; -0.105483
568116.824; 69; 1472681.53027; 108611.8076171875; -2432.662109375; -2424.04; -8.62304; 0; 0; -0; -0; 0; -2344.3; -1750.61; -88.3606; -79.7376; 1.84367; 0.256436
568117.824; 69; 1473145.60156; 111044.625; -2432.8173828125; -2438.71; 5.8937; 0; 0; -0; -0; 0; -2344.64; -1750.87; -88.1756; -94.0693; 2.57285; -0.112103
568118.824; 69; 1473612.46387; 113477.8486328125; -2433.2236328125; -2453.38; 20.1543; 0; 0; -0; -0; 0; -2344.98; -1751.12; -88.2414; -108.396; 5.98056; -0.474487
568119.824; 69; 1474069.06641; 115911.46875; -2433.6201171875; -2399.46; -34.1576; 0; 0; -0; -0; 0; -2345.32; -1751.38; -88.2978; -54.1402; -0.45314; -0.384415
568120.824; 69; 1474532.96289; 118345.58984375; -2434.12109375; -2437.79; 3.67139; 0; 0; -0; -0; 0; -2345.66; -1751.63; -88.4586; -92.1299; 0.31424; -0.298243
568121.824; 69; 1474995.95215; 120780.20703125; -2434.6171875; -2433.02; -1.59222; 0; 0; -0; -0; 0; -2346; -1751.89; -88.6146; -87.0224; 0.0475333; -0.256095
568122.824; 69; 1475457.23145; 123215.15234375; -2434.9453125; -2424.04; -10.9062; 0; 0; -0; -0; 0; -2346.34; -1752.14; -88.6029; -77.6966; -1.7632; -0.00576776
568123.824; 69; 1475917.9873; 125650.3935546875; -2435.2412109375; -2421.29; -13.9528; 0; 0; -0; -0; 0; -2346.68; -1752.39; -88.5587; -74.6059; -4.35684; 0.0244228
568124.824; 69; 1476385.12988; 128085.9150390625; -2435.521484375; -2454.85; 19.3293; 0; 0; -0; -0; 0; -2347.02; -1752.65; -88.4993; -107.829; -0.921135; -0.21033
568125.824; 69; 1476847.10645; 130521.634765625; -2435.7197265625; -2427.7; -8.0165; 0; 0; -0; -0; 0; -2347.36; -1752.9; -88.3576; -80.3411; -2.56834; -0.325309
568126.824; 69; 1477309.85156; 132957.646484375; -2436.01171875; -2431.74; -4.26972; 0; 0; -0; -0; 0; -2347.7; -1753.15; -88.31; -84.0403; -2.91675; 0.121624
568127.824; 69; 1477779.15723; 135393.99609375; -2436.349609375; -2466.22; 29.8683; 0; 0; -0; -0; 0; -2348.04; -1753.41; -88.3081; -118.176; 2.14832; -0.46368
568128.824; 69; 1478240.08789; 137830.66796875; -2436.671875; -2422.21; -14.4649; 0; 0; -0; -0; 0; -2348.38; -1753.66; -88.2909; -73.826; -0.330995; -0.189859
568129.824; 69; 1478700.63379; 140267.7275390625; -2437.0595703125; -2420.19; -16.8745; 0; 0; -0; -0; 0; -2348.72; -1753.91; -88.339; -71.4644; -3.02667; 0.292987
568130.824; 69; 1479166.62402; 142705.1728515625; -2437.4453125; -2448.8; 11.3499; 0; 0; -0; -0; 0; -2349.06; -1754.17; -88.3852; -99.7351; -0.902284; 0.244204
568131.824; 69; 1479627.79883; 145142.919921875; -2437.7470703125; -2423.49; -14.2571; 0; 0; -0; -0; 0; -2349.4; -1754.42; -88.3476; -74.0905; -3.58567; 0.245274
568132.824; 69; 1480093.37012; 147581.078125; -2438.158203125; -2446.59; 8.43543; 0; 0; -0; -0; 0; -2349.74; -1754.68; -88.4195; -96.8549; -1.76184; 0.440115
568133.824; 69; 1480555.06836; 150019.8095703125; -2438.7314453125; -2426.24; -12.4908; 0; 0; -0; -0; 0; -2350.08; -1754.93; -88.6535; -76.1627; -4.16207; 0.383038
568134.824; 69; 1481023.3623; 152458.9736328125; -2439.1640625; -2460.9; 21.7372; 0; 0; -0; -0; 0; -2350.42; -1755.18; -88.7469; -110.484; -0.470819; -0.0612037
568135.824; 69; 1481486.28223; 154898.478515625; -2439.5048828125; -2432.66; -6.84427; 0; 0; -0; -0; 0; -2350.76; -1755.43; -88.7488; -81.9045; -1.1102; 0.582255
