tow; prn14; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
567889.824; 63; 2272879.58691; -38479.8740234375; 38479.8740234375; -1.19441e+07; 1.19825e+07; 0; 0; -0; -0; 0; 2471.27; 1845.43; 36008.6; -1.19465e+07; 0.172732; 0.000638444
567890.824; 63; 2272427.17285; -40862.560546875; 2382.6865234375; 2377.45; 5.23458; 0; 0; -0; -0; 0; 2471.19; 1845.37; -88.5044; -93.739; 0.681278; 0.167884
567891.824; 63; 2271971.93164; -43245.220703125; 2382.66015625; 2392.31; -9.64855; 0; 0; -0; -0; 0; 2471.12; 1845.31; -88.4556; -78.8071; -1.14478; -0.0544548
567892.824; 63; 2271519.09863; -45627.7119140625; 2382.4912109375; 2379.65; 2.83769; 0; 0; -0; -0; 0; 2471.04; 1845.26; -88.5497; -91.3874; -0.47164; -0.0130947
567893.824; 63; 2271066.2998; -48010.3046875; 2382.5927734375; 2379.47; 3.11887; 0; 0; -0; -0; 0; 2470.97; 1845.2; -88.3731; -91.4919; -0.257924; -0.259987
567894.824; 63; 2270612.55957; -50392.484375; 2382.1796875; 2384.42; -2.24134; 0; 0; -0; -0; 0; 2470.89; 1845.15; -88.711; -86.4696; -0.176049; 0.15396
567895.824; 63; 2270157.91211; -52774.5068359375; 2382.0224609375; 2389.19; -7.16607; 0; 0; -0; -0; 0; 2470.82; 1845.09; -88.7931; -81.6271; -1.49516; 0.0248008
567896.824; 63; 2269704.24121; -55156.546875; 2382.0400390625; 2384.06; -2.01662; 0; 0; -0; -0; 0; 2470.74; 1845.03; -88.7006; -86.684; -1.35617; 0.365418
567897.824; 63; 2269253.15234; -57538.498046875; 2381.951171875; 2370.49; 11.4632; 0; 0; -0; -0; 0; 2470.67; 1844.98; -88.7144; -100.178; 0.41679; 0.0444699
567898.824; 63; 2268798.08594; -59920.6015625; 2382.103515625; 2391.39; -9.28659; 0; 0; -0; -0; 0; 2470.59; 1844.92; -88.4869; -79.2003; -0.910127; 0.465217
567899.824; 63; 2268349.23145; -62302.8701171875; 2382.2685546875; 2358.75; 23.5223; 0; 0; -0; -0; 0; 2470.52; 1844.87; -88.2467; -111.769; 2.89973; 0.0436403
567900.824; 63; 2267890.43066; -64685.0185546875; 2382.1484375; 2411.01; -28.8659; 0; 0; -0; -0; 0; 2470.44; 1844.81; -88.2917; -59.4258; -2.33487; 0.147709
567901.824; 63; 2267439.62109; -67066.9775390625; 2381.958984375; 2369.02; 12.9387; 0; 0; -0; -0; 0; 2470.36; 1844.75; -88.406; -101.345; 0.212096; 0.305079
567902.824; 63; 2266986.05566; -69448.9130859375; 2381.935546875; 2383.5; -1.56687; 0; 0; -0; -0; 0; 2470.29; 1844.7; -88.3543; -86.7874; 0.00592365; 0.370675
567903.824; 63; 2266534.72266; -71830.9951171875; 2382.08203125; 2371.77; 10.3111; 0; 0; -0; -0; 0; 2470.21; 1844.64; -88.1324; -98.4435; 2.21534; 0.686088
567904.824; 63; 2266082.34375; -74212.8056640625; 2381.810546875; 2377.27; 4.54335; 0; 0; -0; -0; 0; 2470.14; 1844.58; -88.3287; -92.8721; 2.35613; 0.0741976
567905.824; 63; 2265625.77637; -76594.5126953125; 2381.70703125; 2399.28; -17.5708; 0; 0; -0; -0; 0; 2470.06; 1844.53; -88.3572; -70.7864; -0.739097; 0.281757
567906.824; 63; 2265171.75586; -78975.927734375; 2381.4150390625; 2385.89; -4.47883; 0; 0; -0; -0; 0; 2469.99; 1844.47; -88.5738; -84.095; -1.57003; 0.215239
567907.824; 63; 2264721.19141; -81357.2841796875; 2381.3564453125; 2367.73; 13.6243; 0; 0; -0; -0; 0; 2469.91; 1844.42; -88.5573; -102.182; 0.989664; 0.241881
567908.824; 63; 2264266.99707; -83738.5048828125; 2381.220703125; 2386.81; -5.58664; 0; 0; -0; -0; 0; 2469.84; 1844.36; -88.6178; -83.0311; -0.545084; -0.237258
567909.824; 63; 2263815.07129; -86119.6376953125; 2381.1328125; 2374.89; 6.2468; 0; 0; -0; -0; 0; 2469.76; 1844.3; -88.6304; -94.8772; 0.738023; -0.0977886
567910.824; 63; 2263360.7373; -88500.77734375; 2381.1396484375; 2387.54; -6.40155; 0; 0; -0; -0; 0; 2469.69; 1844.25; -88.5482; -82.1467; -0.524049; -0.13271
567911.824; 63; 2262909.02148; -90881.8427734375; 2381.0654296875; 2373.78; 7.28277; 0; 0; -0; -0; 0; 2469.61; 1844.19; -88.5471; -95.8298; 0.630373; -0.293904
567912.824; 63; 2262455.00195; -93262.8662109375; 2381.0234375; 2385.89; -4.8653; 0; 0; -0; -0; 0; 2469.54; 1844.13; -88.5139; -83.6485; -0.295369; -0.26197
567913.824; 63; 2262002.09863; -95643.8671875; 2381.0009765625; 2380.02; 0.977964; 0; 0; -0; -0; 0; 2469.46; 1844.08; -88.461; -89.4389; -0.221221; -0.351781
567914.824; 63; 2261548.32324; -98024.9375; 2381.0703125; 2384.61; -3.53546; 0; 0; -0; -0; 0; 2469.39; 1844.02; -88.3163; -84.7808; -0.983615; -0.452799
567915.824; 63; 2261096.46777; -100405.9345703125; 2380.9970703125; 2374.52; 6.48056; 0; 0; -0; -0; 0; 2469.31; 1843.97; -88.314; -94.7946; -0.281888; -0.976684
567916.824; 63; 2260641.0166; -102786.771484375; 2380.8369140625; 2393.41; -12.5751; 0; 0; -0; -0; 0; 2469.24; 1843.91; -88.3988; -75.8237; -2.00278; -0.34665
567917.824; 63; 2260189.50977; -105167.4150390625; 2380.6435546875; 2372.68; 7.95912; 0; 0; -0; -0; 0; 2469.16; 1843.85; -88.5169; -96.4761; -0.589499; -0.470812
567918.824; 63; 2259735.59473; -107547.78125; 2380.3662109375; 2385.34; -4.97342; 0; 0; -0; -0; 0; 2469.09; 1843.8; -88.7189; -83.7455; -1.61605; -0.565127
567919.824; 63; 2259282.23828; -109928.0595703125; 2380.2783203125; 2382.4; -2.12588; 0; 0; -0; -0; 0; 2469.01; 1843.74; -88.7312; -86.6053; -2.16974; -0.743119
567920.824; 63; 2258830.55664; -112308.318359375; 2380.2587890625; 2373.6; 6.65575; 0; 0; -0; -0; 0; 2468.93; 1843.68; -88.6755; -95.3312; -0.815943; -0.670058
567921.824; 63; 2258379.39844; -114688.6396484375; 2380.3212890625; 2370.85; 9.46893; 0; 0; -0; -0; 0; 2468.86; 1843.63; -88.5375; -98.0064; 0.613122; -1.01314
567922.824; 63; 2257926.80957; -117068.88671875; 2380.2470703125; 2378.37; 1.87652; 0; 0; -0; -0; 0; 2468.78; 1843.57; -88.5362; -90.4128; 0.962364; -0.965906
567923.824; 63; 2257472.96484; -119449.29296875; 2380.40625; 2384.97; -4.56389; 0; 0; -0; -0; 0; 2468.71; 1843.52; -88.3016; -83.7377; 0.567973; -0.463263
567924.824; 63; 2257019.43359; -121829.54296875; 2380.25; 2383.32; -3.0728; 0; 0; -0; -0; 0; 2468.63; 1843.46; -88.3824; -85.3096; -0.225921; -0.661583
567925.824; 63; 2256566.25098; -124209.626953125; 2380.083984375; 2381.49; -1.40674; 0; 0; -0; -0; 0; 2468.56; 1843.4; -88.4727; -87.066; -0.517132; -0.672977
567926.824; 63; 2256114.18555; -126589.7216796875; 2380.0947265625; 2375.62; 4.47486; 0; 0; -0; -0; 0; 2468.48; 1843.35; -88.3866; -92.8615; 0.377094; -0.594639
567927.824; 63; 2255659.99121; -128969.73046875; 2380.0087890625; 2386.81; -6.79856; 0; 0; -0; -0; 0; 2468.41; 1843.29; -88.397; -81.5985; -0.62303; -0.28105
567928.824; 63; 2255207.8916; -131349.76171875; 2380.03125; 2375.8; 4.23177; 0; 0; -0; -0; 0; 2468.33; 1843.23; -88.299; -92.5308; -0.19564; -0.634382
567929.824; 63; 2254754.46484; -133729.859375; 2380.09765625; 2382.77; -2.67604; 0; 0; -0; -0; 0; 2468.25; 1843.18; -88.157; -85.481; -0.414506; -0.32252
567930.824; 63; 2254304.14453; -136109.857421875; 2379.998046875; 2366.45; 13.5488; 0; 0; -0; -0; 0; 2468.18; 1843.12; -88.1811; -101.73; 1.90335; -0.505292
567931.824; 63; 2253849.00781; -138489.8330078125; 2379.9755859375; 2391.76; -11.784; 0; 0; -0; -0; 0; 2468.1; 1843.06; -88.1279; -76.3439; 0.1505; 0.000560089
567932.824; 63; 2253395.75586; -140869.7548828125; 2379.921875; 2381.86; -1.93321; 0; 0; -0; -0; 0; 2468.03; 1843.01; -88.1059; -86.1727; -0.129024; 0.0895843
