tm; rg; carr
11368.601025;12391.601025;13414.601025;14437.601025;15460.601025;16483.601025;0.965648; -4057.744
17506.601025;0.965422; -5402.517
18529.601025;0.965224; -6747.570
19552.601025;0.965010; -8092.639
20575.601025;0.964789; -9438.135
21598.601025;0.964454; -11787.315
22621.601025;0.964239; -13132.674
23644.601025;0.964025; -14478.974
24667.601025;0.963814; -15824.998
25690.601025;0.963605; -17172.018
26713.601025;0.963385; -18519.595
27736.601025;0.963173; -19866.746
28759.601025;0.962956; -21214.803
29782.601025;0.962744; -22563.676
30805.601025;0.962529; -23912.521
31828.601025;0.962315; -25261.052
32851.601025;0.962101; -26609.825
33874.601025;0.961888; -27959.592
34897.601025;0.961671; -29308.275
35920.601025;0.961459; -30658.085
36943.601025;0.961243; -32007.717
37966.601025;0.961030; -33358.247
38989.601025;0.960815; -34708.898
40012.601025;0.960602; -36060.104
41035.601025;0.960387; -37411.568
42058.601025;0.960173; -38762.716
43081.601025;0.959958; -40114.414
44104.601025;0.959744; -41466.420
45127.601025;0.959529; -42818.718
46150.601025;0.959313; -44172.073
47173.601025;0.959098; -45524.217
48196.601025;0.958885; -46877.530
49219.601025;0.958670; -48230.480
50242.601025;0.958455; -49583.468
51265.601025;0.958241; -50937.156
52288.601025;0.958027; -52290.940
53311.601025;0.957812; -53644.980
54334.601025;0.957597; -54998.879
55357.601025;0.957380; -56353.577
56380.601025;0.957167; -57709.126
57403.601025;0.956952; -59064.246
58426.601025;0.956736; -60419.938
59449.601025;0.956521; -61774.966
60472.601025;0.956306; -63130.518
61495.601025;0.956091; -64487.123
62518.601025;0.955875; -65843.965
63541.601025;0.955660; -67200.622
64564.601025;0.955444; -68557.973
65587.601025;0.955229; -69915.725
66610.601025;0.955013; -71273.739
67633.601025;0.954797; -72631.253
68656.601025;0.954583; -73989.582
69679.601025;0.954367; -75349.109
70702.601025;0.954152; -76708.187
71725.601025;0.953937; -78066.625
72748.601025;0.953722; -79426.377
73771.601025;0.953506; -80785.576
74794.601025;0.953290; -82145.646
75817.601025;0.953072; -83506.458
76840.601025;0.952857; -84866.777
77863.601025;0.952642; -86227.247
78886.601025;0.952426; -87588.731
79909.601025;0.952210; -88949.128
80932.601025;0.951994; -90310.921
81955.601025;0.951778; -91672.863
82978.601025;0.951561; -93034.843
84001.601025;0.951345; -94396.617
85024.601025;0.951130; -95758.765
86047.601025;0.950913; -97121.658
87070.601025;0.950697; -98484.256
88093.601025;0.950480; -99847.389
89116.601025;0.950264; -101210.461
90139.601025;0.950047; -102574.052
91162.601025;0.949832; -103937.479
92185.601025;0.949614; -105302.109
93208.601025;0.949398; -106666.516
94231.601025;0.949182; -108031.150
95254.601025;0.948965; -109395.299
96277.601025;0.948749; -110760.763
97300.601025;0.948532; -112125.399
98323.601025;0.948315; -113491.413
99346.601025;0.948098; -114857.624
100369.601025;0.947881; -116224.260
101392.601025;0.947664; -117591.576
102415.601025;0.947447; -118958.390
103438.601025;0.947230; -120325.742
104461.601025;0.947013; -121693.488
105484.601025;0.946796; -123061.568
106507.601025;0.946580; -124429.226
107530.601025;0.946361; -125797.483
108553.601025;0.946145; -127166.407
109576.601025;0.945928; -128535.294
110599.601025;0.945712; -129904.462
111622.601025;0.945494; -131273.886
112645.601025;0.945277; -132643.623
113668.601025;0.945059; -134013.544
114691.601025;0.944843; -135384.333
115714.601025;0.944625; -136753.841
116737.601025;0.944408; -138124.227
117760.601025;0.944190; -139495.275
118783.601025;0.943973; -140866.205
119806.601025;0.943755; -142237.521
120829.601025;0.943537; -143609.637
121852.601025;0.943319; -144981.974
122875.601025;0.943101; -146354.021
123898.601025;0.942884; -147726.319
124921.601025;0.942666; -149099.052
125944.601025;0.942450; -150472.035
126967.601025;0.942231; -151845.460
127990.601025;0.942012; -153219.284
129013.601025;0.941794; -154593.197
130036.601025;0.941575; -155967.482
131059.601025;0.941358; -157341.883
132082.601025;0.941140; -158716.854
133105.601025;0.940922; -160091.528
134128.601025;0.940704; -161466.570
135151.601025;0.940485; -162842.363
136174.601025;0.940268; -164217.960
137197.601025;0.940049; -165593.735
138220.601025;0.939830; -166970.027
139243.601025;0.939612; -168346.047
140266.601025;0.939392; -169723.434
141289.601025;0.939174; -171100.223
142312.601025;0.938955; -172477.532
143335.601025;0.938736; -173855.166
144358.601025;0.938519; -175232.899
145381.601025;0.938299; -176611.706
146404.601025;0.938081; -177989.935
147427.601025;0.937863; -179368.921
148450.601025;0.937644; -180748.623
149473.601025;0.937426; -182128.087
150496.601025;0.937207; -183507.727
151519.601025;0.936987; -184887.729
152542.601025;0.936769; -186267.822
153565.601025;0.936550; -187648.218
154588.601025;0.936330; -189029.220
155611.601025;0.936110; -190410.446
156634.601025;0.935894; -191791.622
157657.601025;0.935673; -193173.148
158680.601025;0.935453; -194555.176
159703.601025;0.935232; -195937.922
160726.601025;0.935015; -197320.484
161749.601025;0.934794; -198703.381
162772.601025;0.934575; -200086.491
163795.601025;0.934355; -201469.715
164818.601025;0.934136; -202853.253
165841.601025;0.933918; -204237.481
166864.601025;0.933698; -205621.812
167887.601025;0.933477; -207006.599
168910.601025;0.933258; -208391.089
169933.601025;0.933039; -209775.766
170956.601025;0.932818; -211161.202
171979.601025;0.932597; -212547.002
173002.601025;0.932377; -213932.467
174025.601025;0.932157; -215317.440
175048.601025;0.931936; -216703.592
176071.601025;0.931717; -218090.351
177094.601025;0.931496; -219476.650
178117.601025;0.931277; -220863.442
179140.601025;0.931056; -222250.700
180163.601025;0.930836; -223638.109
181186.601025;0.930616; -225026.168
182209.601025;0.930395; -226414.220
183232.601025;0.930173; -227802.473
184255.601025;0.929953; -229190.272
185278.601025;0.929733; -230579.045
186301.601025;0.929514; -231968.112
187324.601025;0.929292; -233357.273
188347.601025;0.929071; -234747.075
189370.601025;0.928851; -236136.733
190393.601025;0.928629; -237526.834
191416.601025;0.928409; -238917.324
192439.601025;0.928189; -240307.876
193462.601025;0.927967; -241698.904
194485.601025;0.927747; -243089.846
195508.601025;0.927525; -244481.060
196531.601025;0.927304; -245872.876
197554.601025;0.927084; -247264.584
198577.601025;0.926862; -248656.914
199600.601025;0.926642; -250048.921
200623.601025;0.926420; -251441.157
201646.601025;0.926199; -252834.143
202669.601025;0.925979; -254227.111
203692.601025;0.925759; -255620.246
204715.601025;0.925537; -257014.038
205738.601025;0.925315; -258408.145
206761.601025;0.925095; -259802.412
207784.601025;0.924873; -261196.664
208807.601025;0.924652; -262591.553
209830.601025;0.924431; -263986.386
210853.601025;0.924209; -265381.968
211876.601025;0.923988; -266777.396
212899.601025;0.923767; -268172.647
213922.601025;0.923545; -269569.001
214945.601025;0.923323; -270965.383
215968.601025;0.923103; -272362.107
216991.601025;0.922880; -273759.023
218014.601025;0.922659; -275155.995
219037.601025;0.922436; -276553.702
220060.601025;0.922215; -277951.304
221083.601025;0.921994; -279348.943
222106.601025;0.921771; -280747.396
223129.601025;0.921550; -282145.797
224152.601025;0.921327; -283543.960
225175.601025;0.921106; -284942.720
226198.601025;0.920883; -286341.343
227221.601025;0.920661; -287741.111
228244.601025;0.920439; -289140.089
229267.601025;0.920217; -290539.864
230290.601025;0.919995; -291940.568
231313.601025;0.919773; -293340.980
232336.601025;0.919551; -294741.199
233359.601025;0.919328; -296142.627
234382.601025;0.919106; -297543.850
235405.601025;0.918884; -298944.670
236428.601025;0.918661; -300346.147
237451.601025;0.918438; -301748.562
238474.601025;0.918216; -303150.985
239497.601025;0.917993; -304553.098
240520.601025;0.917770; -305955.333
241543.601025;0.917548; -307357.817
242566.601025;0.917325; -308760.989
243589.601025;0.917103; -310164.347
244612.601025;0.916881; -311567.682
245635.601025;0.916658; -312971.256
246658.601025;0.916435; -314375.307
247681.601025;0.916213; -315779.558
248704.601025;0.915990; -317183.358
249727.601025;0.915766; -318587.998
250750.601025;0.915544; -319993.075
251773.601025;0.915320; -321398.578
252796.601025;0.915098; -322804.179
253819.601025;0.914873; -324210.269
254842.601025;0.914652; -325616.361
255865.601025;0.914428; -327022.568
256888.601025;0.914204; -328429.041
257911.601025;0.913981; -329835.977
