----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |     0   |   1   |   0  0  0  0  0   |      7    -1     7    -1     7    -1     7    -1     7    -1   |   1   ||     0  |   0  0  0  0  0   |      7     7     7     7     7 
  |     0   |   1   |   0  0  0  0  0   |     12     4    12     4    12     4    12     4    12     4   |   1   ||     0  |   0  0  0  0  0   |     12    12    12    12    12 
  |     0   |   1   |   0  0  0  0  0   |     17     9    17     9    17     9    17     9    17     9   |   1   ||     0  |   1  0  0  0  0   |      7    17    17    17    17 
  |     0   |   1   |   0  0  0  0  0   |     22    14    22    14    22    14    22    14    22    14   |   1   ||     0  |   1  0  0  0  0   |      2    22    22    22    22 
  |     1   |   1   |   1  0  0  0  0   |     27    19    27    19    27    19    27    19    27    19   |   1   ||     1  |   1  1  0  0  0   |     -3    17    27    27    27 
  |     1   |   1   |   1  0  0  0  0   |     22    14    32    24    32    24    32    24    32    24   |   0   ||     1  |   1  1  0  0  0   |     -8    12    32    32    32 
  |     2   |   1   |   1  1  0  0  0   |     17     9    37    29    37    29    37    29    37    29   |   0   ||     1  |   1  1  1  0  0   |    -13     7    27    37    37 
  |     2   |   1   |   1  1  0  0  0   |     12     4    32    24    42    34    42    34    42    34   |   0   ||     1  |   1  1  1  0  0   |    -18     2    22    42    42 
  |     3   |   0   |   1  1  1  0  0   |     17     9    37    29    37    29    37    29    37    29   |   0   ||     2  |   1  1  1  1  0   |    -13     7    27    47    37 
  |     3   |   0   |   1  1  1  0  0   |     22    14    42    34    42    34    32    24    32    24   |   0   ||     2  |   1  1  1  1  0   |     -8    12    32    52    32 
  |     4   |   0   |   0  1  1  1  0   |     27    19    47    39    47    39    27    19    27    19   |   0   ||     2  |   1  1  1  1  1   |     -3    17    37    57    37 
  |     4   |   0   |   0  1  1  1  0   |     22    14    52    44    52    44    32    24    22    14   |   0   ||     2  |   1  1  1  1  1   |      2    22    42    62    42 
