----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |    12   |   1   |   0  1  0  1  1   |    -57   -49   -57   -49    -7     1    33    41    53    61   |   1   ||     4  |   0  0  0  0  1   |     30    10   -10    30    60   |   1   |  ERR
  |    13   |   0   |   1  0  1  0  1   |    -62   -54   -52   -44   -12    -4    38    46    58    66   |   1   ||     4  |   0  0  0  0  1   |     25     5   -15    25    65   |   1   |  ERR
  |    13   |   0   |   1  0  1  0  1   |    -67   -59   -47   -39   -17    -9    43    51    53    61   |   1   ||     5  |   1  0  0  0  0   |     20     0   -20    20    70   |   0   |  ERR
  |    13   |   0   |   1  0  1  0  1   |    -72   -64   -42   -34   -22   -14    48    56    48    56   |   0   ||     5  |   1  0  0  0  0   |     15     5   -15    25    75   |   1   |  ERR
  |    14   |   0   |   0  1  0  1  0   |    -77   -69   -37   -29   -27   -19    53    61    43    51   |   1   ||     5  |   1  1  0  0  0   |     10    10   -10    30    80   |   1   |  ERR
  |    14   |   0   |   0  1  0  1  0   |    -72   -64   -42   -34   -22   -14    48    56    48    56   |   1   ||     5  |   1  1  0  0  0   |      5     5    -5    35    85   |   1   |  ERR
  |    15   |   1   |   0  0  1  0  1   |    -67   -59   -47   -39   -17    -9    43    51    53    61   |   1   ||     6  |   0  1  1  0  0   |      0     0     0    40    90   |   1   |  ERR
  |    15   |   1   |   0  0  1  0  1   |    -62   -54   -42   -34   -22   -14    48    56    48    56   |   1   ||     6  |   0  1  1  0  0   |      5    -5    -5    45    95   |   1   |  ERR
  |    16   |   0   |   1  0  0  1  0   |    -57   -49   -37   -29   -27   -19    53    61    43    51   |   1   ||     6  |   0  0  1  1  0   |     10   -10   -10    50   100   |   1   |  ERR
  |    16   |   0   |   1  0  0  1  0   |    -62   -54   -32   -24   -22   -14    48    56    48    56   |   1   ||     6  |   0  0  1  1  0   |     15    -5   -15    45   105   |   0   |  ERR
  |    17   |   0   |   0  1  0  0  1   |    -57   -49   -37   -29   -27   -19    53    61    43    51   |   0   ||     7  |   1  0  0  1  1   |     20     0   -20    40   110   |   1   |  ERR
  |    17   |   0   |   0  1  0  0  1   |    -62   -54   -32   -24   -32   -24    48    56    48    56   |   1   ||     7  |   1  0  0  1  1   |     25    -5   -25    45   115   |   0   |  ERR
  |    18   |   1   |   0  0  1  0  0   |    -67   -59   -27   -19   -37   -29    43    51    53    61   |   0   ||     7  |   1  1  0  0  1   |     30   -10   -30    50   120   |   1   |  ERR
  |    18   |   1   |   0  0  1  0  0   |    -72   -64   -32   -24   -32   -24    38    46    48    56   |   1   ||     7  |   1  1  0  0  1   |     35    -5   -35    45   125   |   1   |  ERR
  |    19   |   0   |   1  0  0  1  0   |    -77   -69   -37   -29   -27   -19    33    41    43    51   |   1   ||     7  |   1  1  0  0  1   |     40     0   -40    40   130   |   1   |  ERR
  |    19   |   0   |   1  0  0  1  0   |    -82   -74   -32   -24   -22   -14    28    36    48    56   |   1   ||     8  |   1  1  1  0  0   |     45     5   -45    35   135   |   1   |  ERR
  |    19   |   0   |   1  0  0  1  0   |    -87   -79   -27   -19   -17    -9    23    31    53    61   |   1   ||     8  |   1  1  1  0  0   |     40     0   -50    40   140   |   0   |  ERR
  |    20   |   0   |   0  1  0  0  1   |    -92   -84   -22   -14   -12    -4    18    26    58    66   |   0   ||     8  |   1  1  1  1  0   |     35    -5   -55    45   145   |   1   |  ERR
  |    20   |   0   |   0  1  0  0  1   |    -87   -79   -27   -19    -7     1    23    31    53    61   |   1   ||     8  |   1  1  1  1  0   |     30   -10   -60    40   150   |   0   |  ERR
  |    21   |   0   |   0  0  1  0  0   |    -92   -84   -22   -14   -12    -4    18    26    58    66   |   0   ||     9  |   0  1  1  1  1   |     25   -15   -65    35   155   |   0   |  ERR
  |    21   |   0   |   0  0  1  0  0   |    -97   -89   -27   -19    -7     1    13    21    53    61   |   0   ||     9  |   0  1  1  1  1   |     20   -10   -60    40   160   |   0   |  ERR
  |    22   |   1   |   0  0  0  1  0   |   -102   -94   -32   -24    -2     6     8    16    48    56   |   0   ||     9  |   0  0  1  1  1   |     15    -5   -55    45   165   |   0   |  ERR
  |    22   |   1   |   0  0  0  1  0   |   -107   -99   -37   -29    -7     1    13    21    43    51   |   0   ||     9  |   0  0  1  1  1   |     10   -10   -50    50   170   |   0   |  ERR
  |    23   |   1   |   1  0  0  0  1   |   -102   -94   -32   -24    -2     6     8    16    48    56   |   0   ||    10  |   1  0  0  1  1   |      5   -15   -45    55   175   |   0   |  ERR
  |    23   |   1   |   1  0  0  0  1   |   -107   -99   -27   -19     3    11    13    21    43    51   |   0   ||    10  |   1  0  0  1  1   |      0   -10   -40    50   170   |   0   |  ERR
  |    24   |   1   |   1  1  0  0  0   |   -112  -104   -22   -14     8    16    18    26    38    46   |   0   ||    10  |   1  1  0  0  1   |     -5    -5   -35    45   165   |   0   |  ERR
