tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
232648.624; 80; -1153207.16699; 1348.68359375; -1348.68359375; -1364.19; 15.5113; 0; 0; -0; -0; 0; -1279.29; -955.317; -69.3894; -84.9007; 0; 0
232649.624; 80; -1152952.49805; 2698.4931640625; -1349.8095703125; -1338.29; -11.5152; 0; 0; -0; -0; 0; -1279.56; -955.517; -70.2473; -58.732; 0; 0
232650.624; 80; -1152694.15625; 4048.125; -1349.6318359375; -1357.6; 7.96347; 0; 0; -0; -0; 0; -1279.83; -955.718; -69.8014; -77.7648; 0; 0
232651.624; 80; -1152437.79492; 5398.6552734375; -1350.5302734375; -1347.19; -3.3424; 0; 0; -0; -0; 0; -1280.1; -955.918; -70.4317; -67.0893; 0; 0
232652.624; 80; -1152180.66602; 6749.306640625; -1350.6513671875; -1351.22; 0.570155; 0; 0; -0; -0; 0; -1280.37; -956.118; -70.2847; -70.8548; 0; 0
232653.624; 80; -1151924.95117; 8100.5126953125; -1351.2060546875; -1343.79; -7.41548; 0; 0; -0; -0; 0; -1280.63; -956.318; -70.5714; -63.1559; 0; 0
232654.624; 80; -1151666.81836; 9451.9765625; -1351.4638671875; -1356.5; 5.03322; 0; 0; -0; -0; 0; -1280.9; -956.518; -70.5612; -75.5944; 0; 0
232655.624; 80; -1151411.01562; 10803.1240234375; -1351.1474609375; -1344.25; -6.89502; 0; 0; -0; -0; 0; -1281.17; -956.718; -69.9768; -63.0818; 0; 0
232656.624; 80; -1151152.08105; 12154.822265625; -1351.6982421875; -1360.71; 9.01211; 0; 0; -0; -0; 0; -1281.44; -956.918; -70.2596; -79.2717; 0; 0
232657.624; 80; -1150895.95508; 13506.828125; -1352.005859375; -1345.95; -6.05477; 0; 0; -0; -0; 0; -1281.71; -957.119; -70.2993; -64.2446; 0; 0
232658.624; 80; -1150638.16309; 14859.1259765625; -1352.2978515625; -1354.71; 2.40821; 0; 0; -0; -0; 0; -1281.97; -957.319; -70.3235; -72.7317; 0; 0
232659.624; 80; -1150379.32422; 16212.4814453125; -1353.35546875; -1360.21; 6.85196; 0; 0; -0; -0; 0; -1282.24; -957.519; -71.1132; -77.9652; 0; 0
232660.624; 80; -1150121.77637; 17564.625; -1352.1435546875; -1353.42; 1.27954; 0; 0; -0; -0; 0; -1282.51; -957.719; -69.6335; -70.9131; 0; 0
232661.624; 80; -1149865.73828; 18917.9384765625; -1353.3134765625; -1345.49; -7.82425; 0; 0; -0; -0; 0; -1282.78; -957.918; -70.5357; -62.7115; 0; 0
232662.624; 80; -1149607.87598; 20270.888671875; -1352.9501953125; -1355.08; 2.12536; 0; 0; -0; -0; 0; -1283.05; -958.118; -69.9047; -72.0301; 0; 0
232663.624; 80; -1149350.58984; 21623.8759765625; -1352.9873046875; -1352.05; -0.939551; 0; 0; -0; -0; 0; -1283.31; -958.318; -69.6741; -68.7346; 0; 0
232664.624; 80; -1149093.47852; 22977.564453125; -1353.6884765625; -1351.13; -2.55933; 0; 0; -0; -0; 0; -1283.58; -958.518; -70.1077; -67.5484; 0; 0
232665.624; 80; -1148836.68945; 24331.3486328125; -1353.7841796875; -1349.44; -4.34855; 0; 0; -0; -0; 0; -1283.85; -958.718; -69.9358; -65.5872; 0; 0
232666.624; 80; -1148579.09863; 25685.388671875; -1354.0400390625; -1353.65; -0.391142; 0; 0; -0; -0; 0; -1284.12; -958.918; -69.924; -69.5329; 0; 0
232667.624; 80; -1148321.34082; 27039.287109375; -1353.8984375; -1354.53; 0.628009; 0; 0; -0; -0; 0; -1284.38; -959.118; -69.5148; -70.1429; 0; 0
232668.624; 80; -1148061.11523; 28393.9853515625; -1354.6982421875; -1367.49; 12.7964; 0; 0; -0; -0; 0; -1284.65; -959.317; -70.0471; -82.8436; 0; 0
232669.624; 80; -1147805.87012; 29749.5341796875; -1355.548828125; -1341.32; -14.2267; 0; 0; -0; -0; 0; -1284.92; -959.517; -70.6303; -56.4036; 0; 0
232670.624; 80; -1147547.46777; 31104.654296875; -1355.1201171875; -1357.91; 2.79336; 0; 0; -0; -0; 0; -1285.19; -959.717; -69.9341; -72.7274; 0; 0
232671.624; 80; -1147289.4834; 32460.3466796875; -1355.6923828125; -1355.72; 0.0246581; 0; 0; -0; -0; 0; -1285.45; -959.917; -70.2389; -70.2636; 0; 0
232672.624; 80; -1147031.63086; 33815.3740234375; -1355.02734375; -1355.02; -0.00310532; 0; 0; -0; -0; 0; -1285.72; -960.116; -69.3065; -69.3034; 0; 0
232673.624; 80; -1146773.33203; 35170.92578125; -1355.5517578125; -1357.37; 1.81775; 0; 0; -0; -0; 0; -1285.99; -960.316; -69.5635; -71.3813; 0; 0
232674.624; 80; -1146515.33984; 36527.53125; -1356.60546875; -1355.76; -0.847373; 0; 0; -0; -0; 0; -1286.26; -960.515; -70.35; -69.5027; 0; 0
232675.624; 80; -1146256.05566; 37884.373046875; -1356.841796875; -1362.55; 5.70576; 0; 0; -0; -0; 0; -1286.52; -960.715; -70.3191; -76.0248; 0; 0
232676.624; 80; -1145998.36816; 39241.0302734375; -1356.6572265625; -1354.16; -2.50027; 0; 0; -0; -0; 0; -1286.79; -960.915; -69.8672; -67.3669; 0; 0
