tow; prn14; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
236547.624; 68; 1621475.73242; -38192.3896484375; 38192.3896484375; -8.52091e+06; 8.5591e+06; 0; 0; -0; -0; 0; 1451.03; 1083.57; 36741.4; -8.52236e+06; 0; 0
236548.624; 68; 1621213.76074; -39573.0498046875; 1380.66015625; 1376.67; 3.98969; 0; 0; -0; -0; 0; 1450.59; 1083.23; -69.9279; -73.9176; 0; 0
236549.624; 68; 1620951.96387; -40953.287109375; 1380.2373046875; 1375.75; 4.48544; 0; 0; -0; -0; 0; 1450.14; 1082.9; -69.9037; -74.3891; 0; 0
236550.624; 68; 1620689.35645; -42332.1611328125; 1378.8740234375; 1380.01; -1.13729; 0; 0; -0; -0; 0; 1449.69; 1082.56; -70.8199; -69.6826; 0; 0
236551.624; 68; 1620426.25; -43711.291015625; 1379.1298828125; 1382.63; -3.50382; 0; 0; -0; -0; 0; 1449.25; 1082.23; -70.117; -66.6132; 0; 0
236552.624; 68; 1620166.58203; -45089.951171875; 1378.66015625; 1364.56; 14.0958; 0; 0; -0; -0; 0; 1448.8; 1081.9; -70.1397; -84.2355; 0; 0
236553.624; 68; 1619904.90723; -46467.974609375; 1378.0234375; 1375.11; 2.91306; 0; 0; -0; -0; 0; 1448.35; 1081.56; -70.3293; -73.2423; 0; 0
236554.624; 68; 1619641.74121; -47845.7978515625; 1377.8232421875; 1382.95; -5.1235; 0; 0; -0; -0; 0; 1447.91; 1081.23; -70.0822; -64.9587; 0; 0
236555.624; 68; 1619380.72949; -49224.02734375; 1378.2294921875; 1371.63; 6.60365; 0; 0; -0; -0; 0; 1447.46; 1080.89; -69.2287; -75.8324; 0; 0
236556.624; 68; 1619117.39648; -50601.37890625; 1377.3515625; 1383.82; -6.47273; 0; 0; -0; -0; 0; 1447.01; 1080.56; -69.6593; -63.1866; 0; 0
236557.624; 68; 1618860.46875; -51976.99609375; 1375.6171875; 1350.16; 25.4528; 0; 0; -0; -0; 0; 1446.56; 1080.23; -70.9463; -96.3992; 0; 0
236558.624; 68; 1618596.24609; -53354.0234375; 1377.02734375; 1388.5; -11.4721; 0; 0; -0; -0; 0; 1446.12; 1079.89; -69.0888; -57.6167; 0; 0
236559.624; 68; 1618333.0791; -54729.2958984375; 1375.2724609375; 1382.95; -7.67942; 0; 0; -0; -0; 0; 1445.67; 1079.56; -70.3961; -62.7167; 0; 0
236560.624; 68; 1618071.49219; -56104.421875; 1375.1259765625; 1374.65; 0.477465; 0; 0; -0; -0; 0; 1445.22; 1079.22; -70.0951; -70.5725; 0; 0
236561.624; 68; 1617808.5166; -57479.09375; 1374.671875; 1381.95; -7.27416; 0; 0; -0; -0; 0; 1444.77; 1078.89; -70.1016; -62.8275; 0; 0
236562.624; 68; 1617545.40234; -58853.0380859375; 1373.9443359375; 1382.67; -8.73042; 0; 0; -0; -0; 0; 1444.33; 1078.56; -70.3817; -61.6512; 0; 0
236563.624; 68; 1617281.91309; -60227.12890625; 1374.0908203125; 1384.65; -10.5546; 0; 0; -0; -0; 0; 1443.88; 1078.22; -69.7875; -59.2329; 0; 0
236564.624; 68; 1617022.12305; -61600.76953125; 1373.640625; 1365.21; 8.43476; 0; 0; -0; -0; 0; 1443.43; 1077.89; -69.7899; -78.2247; 0; 0
236565.624; 68; 1616760.65723; -62973.7412109375; 1372.9716796875; 1374.01; -1.04048; 0; 0; -0; -0; 0; 1442.98; 1077.55; -70.0112; -68.9707; 0; 0
236566.624; 68; 1616500.22168; -64346.400390625; 1372.6591796875; 1368.6; 4.06114; 0; 0; -0; -0; 0; 1442.54; 1077.22; -69.8759; -73.937; 0; 0
236567.624; 68; 1616237.90137; -65718.6435546875; 1372.2431640625; 1378.5; -6.25938; 0; 0; -0; -0; 0; 1442.09; 1076.88; -69.844; -63.5846; 0; 0
236568.624; 68; 1615977.53516; -67090.2236328125; 1371.580078125; 1368.23; 3.3464; 0; 0; -0; -0; 0; 1441.64; 1076.55; -70.0592; -73.4056; 0; 0
236569.624; 68; 1615716.41895; -68461.005859375; 1370.7822265625; 1372.17; -1.39272; 0; 0; -0; -0; 0; 1441.19; 1076.21; -70.409; -69.0163; 0; 0
236570.624; 68; 1615456.40234; -69832.4423828125; 1371.4365234375; 1366.4; 5.04006; 0; 0; -0; -0; 0; 1440.74; 1075.88; -69.3067; -74.3468; 0; 0
236571.624; 68; 1615195.25977; -71203.12890625; 1370.6865234375; 1372.31; -1.62699; 0; 0; -0; -0; 0; 1440.3; 1075.55; -69.6087; -67.9817; 0; 0
